nO,N%,Psi_i_t,SpMax7_Bh(m),SpMax1_Bh(i),P_VSA_m_2,P_VSA_i_2,RDF140u,RDF140e,RDF140i,Mor24p,Mor20s,HATS4p,H8s,SP17,SP19,nCbH,nRNR2,nPyrrolidines,C-001,F-084,SaaCH,CATS2D_08_DA,B10[C-N],F02[C-O],CATS3D_12_LL,alvo
4,4.34782608695652,0.0,3.18901846794556,4.04142937277802,102.934499819634,81.7994352426082,0.0098281948353797,0.0117137133753382,0.0136677969406184,0.382211093000945,7.14036804376936,0.149328504336701,1.10472884462173,8.70576980869752,7.90202389231558,3,0,0,0,0,4.6950720147257,0,0,6,0,5.029002634427515
4,4.08163265306122,0.0,3.2009276531947,4.0483862001724,129.135357664812,93.1138562987512,0.0,0.0,0.0,0.316900890636773,-0.227729254666064,0.0958317036748164,0.634362596114987,6.84568063493639,5.72145669451105,4,0,0,0,0,5.08661084548676,1,0,6,0,7.455931955649724
4,3.84615384615385,0.0,3.19875201725232,4.05023012304475,118.889156956962,97.7540923799362,0.0,0.0,0.0,0.346965445728677,2.33335114624186,0.108168147607547,1.13304406704715,6.70797485575614,5.59312701241132,4,0,0,0,0,5.1291966297006,0,0,6,0,8.022276394711152
3,3.92156862745098,0.0,3.19727951148242,4.05556271418241,114.773450669273,93.6383860922478,0.0,0.0,0.0,0.371940102209804,3.3103035539172,0.119536584938917,1.47133639386976,6.90157547150618,5.77048809397285,4,0,0,0,0,4.64508523514278,0,0,4,0,8.522878745280337
3,2.08333333333333,0.0,2.98299267435101,4.05129445909265,126.738573056593,108.727822373563,0.0,0.0,0.0,0.299395707305627,5.50449647942017,0.123127068040448,1.399102092756,6.95386782693024,5.83880241387243,4,0,0,3,0,4.5947037360437,0,0,5,0,6.047207556955908
5,4.0,0.0,3.17610253783857,4.0435803759045,120.47033150545,99.3352669284245,0.0,0.0,0.0,0.364725641197979,2.07431705815171,0.12862134363636,0.713205528094647,8.07370162802191,7.12504528681261,4,0,0,0,0,4.78124050669287,0,1,8,0,6.125518182300533
3,4.0,0.0003928574476741,2.87069187763625,4.05361603146281,91.9473267633367,55.9258253972762,0.0,0.0,0.0,0.0734396226320819,2.02735956314207,0.0829450006658048,1.23748207661424,6.08905993482691,4.86875414761538,0,0,0,0,0,0.0,0,0,3,0,7.1487416512809245
2,5.45454545454545,0.0,2.89361049504693,4.06500438016135,74.9566518702488,50.6972733992284,0.0,0.0,0.0,0.125266377994362,4.16402024650059,0.111500511325755,0.607446879551655,6.84572851259883,5.76834239858149,0,1,1,0,0,0.0,0,1,2,0,6.679853713888946
4,4.08163265306122,0.0,3.18179613304843,4.04988406302249,116.354625217762,95.2195606407362,0.0,0.0,0.0,0.360697447745912,5.34990155109149,0.123831951689001,1.49482434251968,6.93917018280791,5.80861893200626,4,0,0,0,0,4.58894421221854,0,0,6,0,7.455931955649724
5,4.0,0.0,3.1820648664839,4.04384838739673,120.47033150545,99.3352669284245,0.0,0.0,0.0,0.333252361536088,-0.304746140306264,0.106191078556384,1.24801686881407,6.76633427516887,5.63568346013288,4,0,0,0,0,5.07305560677637,0,0,8,0,6.987162775294828
