nO,MATS5i,SpMax1_Bh(i),Eta_beta_A,SM09_AEA(dm),Eig15_EA(ri),VE2_RG,RDF130v,RDF100i,Mor20e,Mor23p,P2m,HATS4i,SP20,nROR,SaaCH,T(N..S),B06[N-Cl],B08[S-Cl],B09[C-S],F04[C-O],F06[N-Cl],F09[C-S],G(O..O),CATS3D_03_AA,CATS3D_12_AL,alvo
4,0.13590501830261,4.04142937277802,1.15178571428571,-0.315009550340312,-0.276660907820969,0.0834028813088591,0.151458161603871,7.69844211697393,2.46694297179252,-0.475512364644683,0.229329572467491,0.488461172658202,7.4289989108435,2,4.6950720147257,6,1,1,0,10,1,0,39.0900001525879,0,1,5.029002634427515
4,-0.157389922306832,4.0483862001724,1.125,-0.235870661953357,-0.216228024845897,0.061824772248306,0.0033664995939733,12.1498779563418,1.74635932290333,-0.384768844847315,0.267981181586552,0.356369099618672,5.08907268792175,1,5.08661084548676,6,0,0,0,9,0,0,35.4289970397949,0,0,7.455931955649724
4,-0.112179173395701,4.05023012304475,1.11290322580645,0.0350256716178749,0.0305354953628031,0.0752146827412882,0.0037265851304765,7.9905100557638,2.06388492688305,-0.587808605186109,0.262951352128731,0.418855471035248,4.96539155079058,1,5.1291966297006,6,0,0,0,10,0,0,35.6730003356934,1,0,8.022276394711152
3,0.171294825405352,4.05556271418241,1.1,-0.199741275475942,-0.183750436738684,0.0774370714762479,0.0068839478517653,11.4468441311951,2.11975405495122,-0.525237166780224,0.318625268305863,0.527931258600919,5.13474162325221,1,4.64508523514278,6,0,0,0,10,0,0,18.5149993896484,0,0,8.522878745280337
3,0.1543033212423,4.05129445909265,1.09821428571429,-0.840430448418216,-0.7,0.0790624547101457,0.0077616304955168,12.1165624697748,2.61859711098645,-0.403277377102857,0.228140134860817,0.632465470099546,5.20980319204833,1,4.5947037360437,2,0,0,0,8,0,0,18.5249996185303,0,0,6.047207556955908
5,0.0117539226534147,4.0435803759045,1.12903225806452,-0.100574763032,-0.0863026712574427,0.0799162568901745,0.0056232583359534,8.23216016042466,2.17256818767626,-0.580827521411789,0.267382136442153,0.471445880655868,6.58025099590909,2,4.78124050669287,6,0,0,0,12,0,0,68.8739929199219,0,0,6.125518182300533
3,0.104931085053744,4.05361603146281,0.9375,-0.840540328205611,-0.774518523594686,0.0488867282847421,0.0,17.8292950876567,1.44256058510751,-0.26869968324655,0.339746502882218,0.48823856969158,4.19031599838146,1,0.0,6,0,0,0,7,0,0,16.7900009155273,0,0,7.1487416512809245
2,-0.0709227258955671,4.06500438016135,0.928571428571429,-0.166567715248298,-0.155309259384239,0.0633010396061206,0.18895464326026,11.7155122984495,1.73196498337022,-0.141903960712169,0.375890968716886,0.513597613351736,5.15981521401964,0,0.0,11,0,0,0,7,0,0,5.83099985122681,0,0,6.679853713888946
4,0.171112295623148,4.04988406302249,1.11666666666667,-0.199741275475942,-0.183528872318993,0.0809842793995441,0.0077616304955168,11.0622023188637,2.6983441669998,-0.437892013567094,0.314665176535907,0.509401017809835,5.17303124551433,2,4.58894421221854,6,0,0,0,11,0,0,39.1319999694824,0,0,7.455931955649724
5,-0.11062218182255,4.04384838739673,1.12903225806452,0.0350256716178752,0.0305309664575425,0.0766768186167524,0.00360093056439,14.5764780609401,2.22602655128999,-0.520292042970649,0.262717614114209,0.395206914412864,5.00151586344866,2,5.07305560677637,6,0,0,0,11,0,0,64.3310012817383,1,0,6.987162775294828
