NNRS,GATS5v,GATS7i,P_VSA_LogP_4,P_VSA_s_5,Eta_betaP,Chi1_EA(dm),SM11_AEA(ri),Mor13v,B07[N-F],F05[N-F],F05[O-O],LLS_01,alvo
0.75,0.857987,1.16673,121.268295,33.190527,25,6.140888,4.575986,-0.879274,1,1,0,0.166667,6.431798
0.75,1.052524,0.904085,88.67815,18.010751,22.5,14.11328,4.609386,-1.088973,0,0,0,0.333333,6.468521
0.75,1.099461,0.896545,88.67815,18.010751,22.5,14.431509,4.609387,-1.073499,0,0,0,0.333333,5.388277
0.75,0.955099,0.962914,88.67815,18.010751,22.5,14.537082,4.609386,-1.026023,0,0,0,0.333333,5.643974
0.75,0.940595,1.017227,88.67815,63.964844,22.5,13.867552,4.609385,-1.106635,0,0,0,0.333333,6.124939
0.75,1.058833,0.800661,88.67815,18.010751,22.5,17.345583,4.609386,-1.204221,0,0,0,0.333333,5.681937
0.8,0.971291,0.71291,118.527727,36.021501,30.5,30.538284,4.615912,-1.689961,0,0,0,0.166667,5.882729
0.8,1.080571,0.814319,118.527727,36.021501,30,29.568001,4.61594,-1.495334,0,0,0,0.166667,6.744727
0.75,1.010164,0.96966,83.9735,36.021501,23,20.830267,4.609377,-1.218798,0,0,0,0.333333,5.943095
0.75,1.064457,0.828276,83.9735,36.021501,23,20.031751,4.609377,-1.293068,1,2,0,0.333333,6.036212
0.75,1.054974,0.971704,83.9735,36.021501,23,22.737217,4.609377,-1.186107,0,0,0,0.333333,5.300162
0.75,1.090559,0.962503,83.9735,36.021501,23,18.946695,4.609377,-1.083187,0,0,0,0.333333,5.896196
0.75,1.023141,0.647163,88.67815,18.010751,22.5,17.345583,4.609385,-1.179925,1,0,0,0.333333,5.152427
0.75,1.122757,0.747345,88.67815,18.010751,22.5,22.969878,4.609387,-1.326165,0,0,0,0.333333,5.079877
0.8,0.946629,0.654978,85.266445,54.032252,30.5,34.71204,4.615896,-1.675743,1,3,0,0.166667,5.634512
0.8,0.926665,0.709508,89.971095,36.021501,30.5,26.7658,4.615904,-1.588805,1,0,1,0.166667,4.522879
0.8,0.93799,0.764239,89.971095,36.021501,30.5,26.7658,4.615904,-1.509939,0,0,0,0.166667,4.672028
0.75,0.996223,1.018393,88.67815,18.010751,22.5,13.191876,4.609385,-1.049094,0,0,0,0.5,6.070581
0.75,1.05377,0.964701,88.67815,18.010751,22.5,15.664963,4.609388,-1.16266,0,0,0,0.333333,5.139063
0.75,1.052269,0.937502,88.67815,18.010751,22.5,15.178631,4.609386,-1.174091,0,2,0,0.333333,6.337242
0.75,1.086856,1.007476,88.67815,18.010751,22.5,14.576898,4.609389,-1.1362,0,0,0,0.333333,6.19382
0.75,1.015888,1.016056,88.67815,18.010751,22.5,14.098424,4.609386,-0.991229,0,0,0,0.333333,5.917215
0.75,1.068897,1.004306,88.67815,18.010751,22.5,15.114953,4.609386,-0.963851,0,0,0,0.333333,5.531653
0.8,0.888978,0.961584,89.971095,36.021501,30,25.049643,4.615907,-1.574041,0,0,0,0.166667,4.522879
0.8,1.060484,0.962314,89.971095,36.021501,30,25.795518,4.615905,-1.481433,0,0,0,0.166667,4.522879
0.8,0.953678,0.948263,89.971095,36.021501,31,29.323784,4.615905,-1.551092,0,0,1,0.333333,5.02365
0.8,0.934609,0.971024,85.266445,54.032252,30.5,30.929093,4.615896,-1.406969,0,0,0,0.166667,5.133122
