F03[C-N],SpMin1_Bh(p),RNCG,SpMax_B(v),SpMax_B(p),Tv,SpDiam_B(p),H4s,H6i,Eig07_EA,SpMin1_Bh(e),SpMax1_Bh(i),F05[C-C],RDF145s,F06[C-N],SpMax1_Bh(e),H7u,Eig12_EA(ri),SM02_AEA(ri),DP18,SP18,SpMax5_Bh(e),Eig07_EA(ed),nHet,CATS3D_07_LL,Eig12_EA(bo),F10[N-Cl],SM6_B(i),SM11_EA(bo),VE2_B(s),Eta_sh_p,RDF150s,nCb-,T(O..O),F03[N-F],Mor08s,RDF085u,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
10,2.06619545627947,0.150586894151745,3.96559315824151,3.95496578428625,15.321535096307,5.88740643086387,16.6410466054512,0.696593077904272,2.04175179551789,1.98635321747897,4.17947390944095,26,0.0,9,4.1515181027797,0.139915815933435,1.0,6.06520454741165,4.66274064050154,4.90445820414445,3.41225523267846,6.06520454741165,10,7,1.44465232041382,0,9.66303421916538,17.5644426760335,0.139686300228099,0.176098735701385,0.0,6,16,1,4.00514738872186,17.5658903435684,9,99.3781056446234,0.1893458185439,0,6.431798275933005
9,2.0860263639504,0.153070870033617,3.90790530332113,3.87394118668875,22.656809117069,5.81360215202647,5.97112074593844,0.671057120493831,1.54755973755737,1.95307888375824,4.18462279930907,19,7.42023348909804,8,4.13557734323005,0.237653187417651,0.679503139922546,3.67563296206769,10.6045556309853,10.7342514147137,3.26740730304314,3.67563296206769,8,5,1.03795372492131,1,9.47978999797342,17.0528983822452,0.148614272621964,0.135064935064935,14.9390187266633,5,0,0,-3.42203130386422,14.2672654301659,6,40.1050403034302,-0.0619575663288104,0,6.468521082957745
9,2.08573258080707,0.150630953418243,3.90902373291,3.87594617072494,23.1010011262075,5.8157631103903,6.80479008158369,0.674238014629608,1.78229778538887,1.95258147595368,4.1846125907593,19,8.40586969078612,8,4.1356640447088,0.238733230071688,0.679515658687581,5.22488835159337,10.5756802184287,10.7352078563132,3.26876090257378,5.22488835159337,9,4,1.03797421016501,2,9.51595616712239,17.1307505819987,0.155294528769455,0.18066783831283,14.8452867896304,6,0,0,-2.37574200545678,13.6175180546656,7,40.1050403034302,-0.0467445547842982,0,5.388276691992658
9,2.0863418790973,0.159800840019806,3.90799891767132,3.87420408920662,24.0966731317824,5.81383171869221,5.88730114211353,0.662008624910751,1.54755973755737,1.95747220831746,4.18495225322104,20,6.78264405708544,9,4.13596277149691,0.253419025244891,0.679517274752758,3.67563296206769,10.6313707798835,10.7640268299443,3.28871755141218,3.67563296206769,7,7,1.03795372492131,1,9.46629058176469,17.0528983822452,0.15459621215981,0.149270072992701,16.1972916378985,5,0,0,-3.05212693424972,14.7012937659469,7,25.1449270324178,-0.207506763028361,0,5.6439741428068775
9,2.08594024176855,0.163573424861437,3.90737605429951,3.87337050789927,22.4940767426887,5.81291036290411,4.62598664061148,0.661822441775028,1.54755346745117,1.95408266064458,4.18454361700854,19,1.69926760753675,8,4.13542073287751,0.239261414497417,0.679464539049028,3.67452144824141,9.92987583549807,10.0449616640063,3.26172800912353,3.67452144824141,7,5,1.03794870064793,0,9.42921049593308,16.9877054534146,0.151084984274208,0.156962025316456,1.41909280106706,4,0,0,-2.76128764136999,12.7413556311114,5,25.1449270324178,-0.0884208255649043,0,6.1249387366083
9,2.0870028368817,0.134243550335054,3.90785843774006,3.87370951016758,24.7066277533379,5.81337402654049,9.35848355501896,0.828063464276495,1.69651910641302,1.95712618473005,4.18513320157173,19,0.261130536745629,8,4.13616032971546,0.279161998156336,0.951805957551812,4.83133959414419,11.8697155400072,11.9180799360358,3.3044222545367,4.83133959414419,9,7,1.4772713623155,0,9.54009107707522,17.0569939474963,0.13963285755002,0.12057761732852,32.7605348684065,4,0,0,2.27133176956751,16.2546883420225,6,70.0252668454551,-0.071686438669294,0,5.681936665037238
12,2.09330762417941,0.110475722938088,3.91377484368388,3.88002156786439,49.8739500976107,5.82974957719216,20.1871468887152,1.9588830259971,2.35718527862919,1.95774810700654,4.19186695281194,28,74.4385390783607,14,4.14444666507868,0.708920908724766,1.3250293459989,7.071334727584,19.7661809938392,19.7453831363499,3.47337095265845,7.071334727584,15,5,1.90826933338881,0,9.89484101887124,17.232236506987,0.108746725279711,0.159313725490196,52.3249883900019,7,34,0,0.98105623890476,29.7353686658763,9,151.050421578517,-0.0566460900649625,1,5.882728704344236
12,2.09496805780448,0.096258603742711,3.91481216108337,3.8815030518489,46.2898436980635,5.83191537005261,18.0837857633435,1.85949911487972,2.26834921038088,1.96219070540602,4.19282890639965,27,32.2989394469648,14,4.14547681139231,0.769103067327394,1.29745983469001,6.60116699146359,17.6555473913302,17.6375575266547,3.44070644224461,6.60116699146359,11,5,1.89179736837592,0,9.82940465290175,17.2546264638094,0.123769672669175,0.172808132147395,46.6309941703762,8,12,0,-2.4083529815486,31.9732492591085,12,95.1701938778729,-0.0676070557230224,1,6.7447274948966935
11,2.08521245223812,0.145390832683488,3.90619885937806,3.87161244427657,25.1676972378121,5.81092879741412,4.29237411166693,0.800332615472111,1.54702149620521,1.94714833430867,4.18427839213182,16,6.67425153842937,11,4.13471956513554,0.322451379140471,0.679718727310907,3.67237046097541,11.1368923574344,11.3002853834317,3.28838396601354,3.67237046097541,7,3,1.03820645579258,0,9.4146275455085,16.9305048799705,0.14447853933834,0.0599455040871935,7.61149027016803,3,0,0,-3.21285862774229,8.82688647956601,7,25.1449270324178,-0.144365207384437,0,5.943095148663527
11,2.08525417543728,0.133763223895318,3.90661078942767,3.87205574203491,26.0510104374739,5.81144540858591,9.64276044548635,0.837215633773858,1.71104761281999,1.94677418614307,4.18439485707832,16,4.02256270927796,11,4.13491354437138,0.320566001149159,0.679775301957316,4.90686711179175,12.2831501067824,12.3381851854295,3.28962464424985,4.90686711179175,9,2,1.03825128007084,0,9.50961560045579,17.0263015906338,0.135513253714173,0.101896615842321,8.1287487246967,5,0,1,-3.47264215831481,9.34136274759996,7,55.0651535744427,0.150102684439297,0,6.036212172654444
