F03[C-N],SpMin1_Bh(p),RNCG,SpDiam_B(p),F05[C-C],F06[C-N],CATS3D_07_LL,F10[N-Cl],nCb-,CATS2D_05_AL,P_VSA_m_3,MATS7s,F06[N-Cl],alvo
10,2.06619545627947,0.150586894151745,5.88740643086387,26,9,7,0,6,9,99.3781056446234,0.1893458185439,0,6.431798275933005
9,2.0860263639504,0.153070870033617,5.81360215202647,19,8,5,1,5,6,40.1050403034302,-0.0619575663288104,0,6.468521082957745
9,2.08573258080707,0.150630953418243,5.8157631103903,19,8,4,2,6,7,40.1050403034302,-0.0467445547842982,0,5.388276691992658
9,2.0863418790973,0.159800840019806,5.81383171869221,20,9,7,1,5,7,25.1449270324178,-0.207506763028361,0,5.6439741428068775
9,2.08594024176855,0.163573424861437,5.81291036290411,19,8,5,0,4,5,25.1449270324178,-0.0884208255649043,0,6.1249387366083
9,2.0870028368817,0.134243550335054,5.81337402654049,19,8,7,0,4,6,70.0252668454551,-0.071686438669294,0,5.681936665037238
12,2.09330762417941,0.110475722938088,5.82974957719216,28,14,5,0,7,9,151.050421578517,-0.0566460900649625,1,5.882728704344236
12,2.09496805780448,0.096258603742711,5.83191537005261,27,14,5,0,8,12,95.1701938778729,-0.0676070557230224,1,6.7447274948966935
11,2.08521245223812,0.145390832683488,5.81092879741412,16,11,3,0,3,7,25.1449270324178,-0.144365207384437,0,5.943095148663527
11,2.08525417543728,0.133763223895318,5.81144540858591,16,11,2,0,5,7,55.0651535744427,0.150102684439297,0,6.036212172654444
11,2.08506564352015,0.146303706524086,5.81119089889248,16,11,2,0,4,6,25.1449270324178,-0.17009504117066,1,5.300162274132754
11,2.08490830692647,0.143091485721548,5.81190257626986,16,11,4,1,5,7,25.1449270324178,-0.143096641039822,1,5.896196279044043
9,2.08691350922283,0.134307147447364,5.81317139359221,20,9,7,0,4,6,70.0252668454551,0.346089824918613,0,5.152427340857888
9,2.08794321269317,0.115396358000517,5.81591053382654,19,8,7,0,5,6,114.905606658493,-0.0749660645619357,0,5.079876673709276
15,2.09898601626382,0.0959822119974778,5.81414767986047,28,14,7,0,6,10,95.1701938778729,0.276865232255014,0,5.634512015109101
13,2.09964145368162,0.130249133270545,5.814826737443,32,11,10,0,5,9,106.170081765479,0.199148773305273,0,4.522878745280337
13,2.09963830267315,0.130412421036889,5.81470678117088,31,10,11,0,5,8,106.170081765479,-0.0307207240426112,0,4.672028376376989
9,2.08635950387746,0.160380919819661,5.8121775097366,19,8,7,0,3,6,25.1449270324178,-0.0696197769992576,0,6.070581074285707
9,2.08646359850713,0.146777119096961,5.81373161063582,19,8,5,0,5,5,55.0651535744427,-0.125016859715146,0,5.139063379299906
9,2.08645048357548,0.14938087488123,5.81334172719985,19,8,4,0,5,6,55.0651535744427,0.0106355824522343,0,6.337242168318426
9,2.08559786896648,0.158158999834749,5.81507790454784,19,8,7,2,5,7,25.1449270324178,-0.0882737018290419,0,6.1938200260161125
9,2.08575397895544,0.160350682281801,5.81397275687355,19,8,5,1,5,6,25.1449270324178,-0.0646312703128973,1,5.91721462968355
9,2.08571046051047,0.162565111551043,5.81391888953644,19,8,5,2,5,8,25.1449270324178,-0.0150653283632217,0,5.531652669587842
13,2.100315590279,0.118869953518586,5.81601962252365,32,10,18,0,6,10,50.2898540648355,-0.0372180501284215,0,4.522878745280337
13,2.1001994768437,0.118955393491684,5.8154959316774,30,10,14,0,6,11,50.2898540648355,-0.0390532136845027,0,4.522878745280337
13,2.09968011700452,0.152393647823095,5.81532815018943,34,11,10,0,6,8,72.2896298400484,-0.0982805248570025,0,5.023650020996727
15,2.09889675568643,0.111841114650388,5.81323949554472,27,13,7,0,5,9,50.2898540648355,-0.130219066723786,1,5.133122185662502
15,2.09881867871683,0.109691432302794,5.81390911129692,27,13,8,1,6,10,50.2898540648355,-0.112605696352474,1,4.799149501908922
15,2.09885133000887,0.111169157848155,5.81368944132382,27,13,6,0,6,9,50.2898540648355,-0.0104008875196409,1,5.350665141287858
15,2.0990711683359,0.0963391729421129,5.81352319516937,28,14,7,0,5,10,95.1701938778729,0.233087715566334,0,5.367542707815276
