Embaralhado, Normal
-0.21, 0.64
-0.03, 0.63
-0.24, 0.62
-0.20, 0.64
-0.30, 0.63
-0.07, 0.63
-0.01, 0.63
-0.15, 0.63
-0.16, 0.63
-0.10, 0.64
-0.38, 0.63
-0.11, 0.64
-0.31, 0.62
-0.21, 0.62
-0.11, 0.62
-0.10, 0.63
-0.15, 0.63
-0.19, 0.64
-0.10, 0.63
-0.11, 0.63
-0.20, 0.64
-0.20, 0.63
-0.18, 0.63
-0.09, 0.63
-0.15, 0.64
-0.30, 0.64
-0.18, 0.62
-0.05, 0.62
-0.19, 0.63
-0.16, 0.63
-0.10, 0.63
-0.25, 0.62
-0.06, 0.63
-0.27, 0.61
-0.24, 0.64
-0.23, 0.63
-0.10, 0.64
-0.26, 0.62
-0.19, 0.63
-0.14, 0.64
-0.12, 0.62
-0.23, 0.63
-0.09, 0.63
-0.21, 0.63
-0.30, 0.64
-0.13, 0.62
-0.28, 0.64
-0.13, 0.63
-0.16, 0.64
-0.01, 0.64

