Mi,PW4,VE2sign_D,VE2_H2,SpMAD_D/Dt,MATS8i,GGI10,SpMax6_Bh(e),SpMax6_Bh(i),SpMin1_Bh(s),SM14_EA,CMBL,TDB10p,Mor10i,P2v,G1e,E3e,G2i,HATS7u,HATS5p,HATS6p,HATS2i,R6p,R8p+,B04[N-N],B06[C-N],B06[N-Cl],B10[O-Cl],BLTF96,alvo
1.116935,0.196685,0.005234,0.155737,1.363919,-0.032871,0.103763,3.111052,3.206102,1.229103,16.968017,1.715,4.000889,-0.708314,0.262311,0.159149,0.388432,0.15329,0.343943,0.099936,0.122595,0.400685,0.427325,0.015357,1,1,1,1,-3.422957,5.029003
1.141333,0.174485,0.001357,0.151157,1.472159,-0.195561,0.170591,3.335077,3.382304,1.212855,17.228178,1.715,2.594896,0.534125,0.279442,0.151178,0.336791,0.161364,0.272385,0.098826,0.102303,0.472278,0.333523,0.008838,1,1,0,0,-3.516373,7.455932
1.141163,0.189054,0.00367,0.149514,1.424712,-0.156057,0.182936,3.277171,3.307281,1.395804,17.295607,1.715,2.90416,0.964235,0.275998,0.15872,0.449529,0.15872,0.293291,0.096367,0.109468,0.406376,0.410687,0.008373,1,1,0,0,-3.700638,8.022276
1.139825,0.195404,0.002116,0.152274,1.403313,-0.195315,0.163763,3.276872,3.307285,1.395804,17.663415,1.715,2.831475,0.529766,0.329716,0.149871,0.407938,0.159572,0.299544,0.091937,0.103463,0.401911,0.391967,0.008812,1,1,0,0,-4.356802,8.522879
1.138183,0.179607,0.003645,0.162947,1.479146,-0.07147,0.101728,3.193024,3.212542,1.245566,18.011237,1.715,2.649861,0.528267,0.222252,0.151861,0.384069,0.151861,0.346771,0.093368,0.117011,0.423575,0.430967,0.009917,0,0,0,0,-4.496951,6.047208
1.142694,0.183576,0.006681,0.141205,1.43953,-0.040911,0.266305,3.227748,3.245447,1.2291,17.220244,1.715,3.219963,-0.360462,0.283007,0.150515,0.306659,0.160453,0.363211,0.113241,0.122536,0.394141,0.427949,0.009416,1,1,0,0,-2.871108,6.125518
1.130544,0.187803,0.00149,0.159156,1.384754,-0.142811,0.032346,3.16504,3.221757,1.394893,16.682348,1.712,2.389916,0.460109,0.304462,0.160453,0.347476,0.178587,0.257537,0.05221,0.070802,0.411641,0.28828,0.008558,1,1,0,0,-3.254091,7.148742
1.143831,0.181616,0.004243,0.148512,1.367022,-0.1978,0.060508,3.178851,3.22247,1.396593,17.269106,1.712,2.879029,1.357044,0.294619,0.156317,0.471645,0.172355,0.295921,0.086575,0.094046,0.385876,0.38752,0.008489,1,1,0,0,-3.834505,6.679854
1.141333,0.195404,0.002116,0.152274,1.403313,-0.202729,0.163763,3.245515,3.258753,1.229145,17.663415,1.715,2.965949,-0.572549,0.306835,0.151178,0.389778,0.161364,0.325673,0.097154,0.10654,0.42235,0.392371,0.008797,1,1,0,0,-3.516373,7.455932
1.142694,0.189054,0.00367,0.149514,1.424712,-0.161811,0.182936,3.245526,3.25913,1.229102,17.295607,1.715,3.200716,-0.13245,0.255462,0.150515,0.419139,0.178587,0.31137,0.09689,0.112441,0.43154,0.407639,0.008102,1,1,0,0,-2.871108,6.987163
1.118152,0.194408,0.00577,0.153987,1.341082,-0.032371,0.074074,3.111052,3.206102,1.2291,16.86483,1.715,3.606936,-1.082929,0.295933,0.179367,0.258008,0.15329,0.380896,0.111812,0.12379,0.414023,0.421363,0.009676,1,1,0,1,-3.233412,5.847406
