SM1_DzZ,MATS7c,TDB1v,TDB1r,Mv,ATSC7c,MIC5,AATSC7c,AATS2v,AATS1v,VE2_Dzm,TDB1m,TDB5r,ETA_Eta_F_L,TDB2r,TDB2m,GATS1m,AATS0v,ZMIC2,SpMin7_Bhi,RDF15m,nH,VE2_DzZ,TDB1u,SpMax3_Bhm,SpMin7_Bhe,AATS2m,VE1_D,AATS7v,SpMin7_Bhv,ZMIC1,VE3_DzZ,AMW,AATS5m,ETA_dAlpha_B,VP-7,ETA_dEpsilon_B,RDF10m,CrippenLogP,AATSC3p,TDB3i,MLFER_BO,TDB2v,ETA_Shape_Y,MIC4,ALogP,RDF10i,MIC1,TDB6m,MLFER_A,GATS7m,MIC0,MIC2,TDB3v,MW,ATS0e,GATS8i,ATSC6v,FPSA-2,MATS3s,VE3_D,SpAD_Dzs,E1m,VP-3,RDF80m,GRAV-2,RDF70u,TDB3m,AATSC4v,SpAbs_Dzs,ATS2m,ATSC3p,Spe,SpMax4_Bhm,SPC-4,MIC3,RDF10v,RDF15e,GATS8v,RDF10e,EE_Dzs,SpMax_Dzs,VE3_Dzi,VE3_Dze,maxdssC,ATS3e,L2m,AATSC2v,RDF150s,nBase,topoRadius,MATS4i,SM1_Dzp,RDF25e,ATSC5c,RDF95m,pIC50
1.5,0.001259108,352.6386899,0.533471697,0.637934948,0.002458469,40.16923102,2.53e-05,222.3224393,262.2951041,0.004355085,134.3865311,1.453079044,6.52947,0.815849029,195.2458853,0.77240502,221.4853485,43.81909427,0.925767157,11.85900067,20,0.004359559,1.265552332,3.426017773,1.00207447,81.23467085,0.112774321,146.9852661,1.295107614,59.71457909,-5.541271437,7.647244186,56.9294124,0.04,0.394794625,0.07699,0.713216582,3.13999,-0.017325603,468.1380245,1.233,525.2932697,0.34783,40.50073767,-0.0446,10.00905979,26.74744714,343.0604907,0.546,0.975444863,13.02598729,33.28244379,776.1954633,344.1259884,357.74938,0.925671797,-965.9183333,1.541438531,0.003541837,-5.455916534,214.1909333,0.383064436,3.598209889,4.355279949,46.57859609,8.896233195,296.4444891,-13.31775839,212.3041163,6011.365643,-1.386048268,44.34901961,3.10201805,3.916793417,38.03856936,2.142728643,11.85660499,0.865202596,7.916783124,106.6009797,106.6009797,-5.822880085,-5.546534962,0.58118975,646.178352,2.654196624,15.07316713,1.392082351,0,7,-0.278457289,-6.493765586,32.8648957,0.006804445,1.659050471,4.890421453
1.25,-0.003839178,355.5936194,0.533999274,0.636188035,-0.006382385,39.59531432,-6.79e-05,224.2203749,264.0807264,0.005805703,130.1622,1.473305485,6.13869,0.819410715,190.1527585,0.796632549,221.6011342,34.96357402,0.923698165,11.78117069,20,0.005814307,1.264462665,3.424394488,0.998409943,78.89372704,0.122560352,145.3076292,1.26957284,52.22683795,-4.726511727,7.457524403,56.17377326,0.03472,0.376658906,0.07369,0.710057471,3.15941,-0.033912426,466.2026534,1.057,530.944446,0.35821,39.40601128,0.9004,9.968260898,28.16630088,327.2063001,0.546,0.896000734,12.50162571,35.38514929,760.9226386,328.1310737,344.397664,0.900491819,-888.2365037,1.402769374,0.0,-5.037964077,202.1020152,0.370433989,3.546544916,3.145309884,45.16030261,14.28586467,278.623214,-9.019427139,200.5410015,5759.242074,-2.746906531,43.0,3.098043972,3.821271387,37.88182653,2.133300846,11.78204323,0.924104148,7.88492333,100.4881675,100.4881675,-5.128537579,-4.733800713,0.993226787,642.756408,2.745985509,14.00069812,0.297331992,0,6,-0.209825987,-5.411471322,32.41226773,-0.158254606,2.681334443,4.906578315
2.078571429,-0.019991617,381.0088973,0.572059311,0.669958075,-0.032404048,50.1433196,-0.000381,241.4209947,277.6598338,0.004288332,175.9499296,1.570213084,5.88027,0.892621105,275.158847,0.504839422,242.3680545,39.48432572,0.825015754,10.67220588,17,0.004333085,1.284748025,3.734320198,0.841399778,109.7134069,0.122560352,156.9165638,1.019486232,56.02563983,-5.432212226,9.561608189,81.70560638,0.0,0.411108893,0.08381,0.615906139,3.89389,-0.036968512,469.7269707,1.007,578.7481427,0.33333,49.94016512,0.9067,8.610901021,38.11734217,439.0232333,0.722,0.525965757,23.02121278,45.62509372,814.0049119,392.0259357,327.063717,0.899305407,-926.6604652,1.194268847,0.033979338,-5.037964077,205.2781217,1.172296153,3.846340872,3.053170958,47.42715759,12.82770948,393.6324589,-11.91782627,204.1393223,7350.798264,-2.772638421,40.57254902,3.395114801,3.821271387,48.30445465,1.828667843,10.67124281,0.845938171,6.824197507,101.9173308,101.9173308,-5.171259409,-4.849060001,1.227023083,605.100364,2.441800557,14.21892722,1.53e-06,0,6,-0.249548854,-4.959012305,28.38545669,-0.101287985,2.775803185,4.952335805
1.892857143,-0.112354705,364.4475937,0.552502803,0.659699852,-0.1948419,44.28258518,-0.00214112,236.3923289,270.3598224,0.002568733,145.4984665,1.549810508,7.13799,0.866953166,219.4384224,0.686708671,230.4599418,36.80788275,0.922909072,12.06345832,17,0.002572877,1.274016124,3.468777357,0.987651711,91.54452156,0.087971061,152.5927502,1.274662415,53.07840034,-7.032048752,8.351174462,65.69037794,0.04872,0.393969281,0.09234,0.643505941,2.89859,-0.027307827,473.9641818,0.813,560.135331,0.375,44.08887974,0.6673,8.656735651,32.81595553,398.452059,0.722,0.979943445,15.43060873,39.97450933,790.0848947,359.1005019,353.606824,0.969510899,-827.9144585,1.276950077,0.0,-6.319943171,228.2712409,0.621402789,3.622120551,4.382025602,48.48057651,11.40826195,315.9323547,-11.14844905,226.2791429,6408.116509,-2.157318355,43.30196078,3.281428011,4.469294604,42.52924883,1.841773812,12.05834061,0.912542694,6.866057879,113.5891453,113.5891453,-8.566580444,-7.029568653,0.353572411,644.969,2.613170693,12.25564374,2.051201481,0,7,-0.234742535,-8.094241669,30.66192071,-0.140779394,1.15112101,4.394694954
1.5,0.012431389,352.3545184,0.533026069,0.637934948,0.022644105,39.99006213,0.000249,222.3224393,262.2951041,0.004923542,134.2107019,1.457315468,6.53123,0.81557541,195.0545534,0.77240502,221.4853485,43.18988844,0.865897843,11.51294645,20,0.004927498,1.264635218,3.395777731,0.951189158,81.23467085,0.128753753,165.3126318,1.27462461,59.71457909,-5.235120219,7.647244186,58.39011094,0.04,0.393732552,0.07699,0.715533242,3.13999,-0.014391611,468.0162562,1.553,525.1510992,0.34783,39.38927878,-0.0446,10.00371369,26.74744714,331.1584028,0.546,0.95896964,13.02598729,33.48374712,779.0527802,344.1259884,357.74938,0.71051967,-873.0169066,1.550732406,-0.108305463,-5.124633971,211.3086904,0.33363659,3.610398587,6.124147359,46.64743853,22.14260884,291.4900545,-13.22261108,209.4218733,6011.365643,-1.151328916,44.34901961,3.10518761,3.758197228,35.87684547,2.142519008,11.51042445,0.656306203,7.913407124,105.0085373,105.0085373,-5.452478338,-5.23923725,0.573618116,644.24976,2.415250463,15.07316713,0.411033528,0,7,-0.227773264,-6.493765586,32.82133139,0.012376262,2.523766226,4.823330067
1.25,0.018099567,355.2880548,0.533506074,0.636188035,0.027985346,38.79817114,0.000318,224.2203749,264.0807264,0.006271466,130.0128662,1.478584048,6.14045,0.818743843,189.8963156,0.796632549,221.6011342,34.96357402,0.864342234,11.51257475,20,0.00627974,1.263245322,3.393764226,0.950105784,78.89372704,0.133683152,164.1454071,1.267703097,52.22683795,-4.54169472,7.457524403,57.73233341,0.03472,0.375596834,0.07369,0.72350505,3.15941,-0.031014657,465.8663986,1.377,530.5217539,0.35821,38.81474651,0.9004,10.12815682,28.16630088,315.8727849,0.546,0.871788958,12.50162571,35.38514929,763.5855837,328.1310737,344.397664,0.678749177,-795.4794329,1.446044706,-0.092358116,-4.829478763,199.3932894,0.328338719,3.558733613,5.30812242,45.21858493,16.94014528,273.6712413,-8.91521319,197.8322758,5759.242074,-2.512187179,43.0,3.089932205,3.662675197,36.33491311,2.170522758,11.51219446,0.693142299,8.010201041,98.98247153,98.98247153,-4.896218839,-4.548184628,0.985655153,640.827816,2.359644436,14.00069812,2.15e-13,0,6,-0.161243341,-5.411471322,28.67471249,-0.155228508,2.253638473,4.0
1.897058824,0.007331468,375.4813434,0.563430111,0.665131408,0.011100572,43.54488184,0.000141,238.9191686,275.6643296,0.004998755,150.5917439,1.558145749,6.18024,0.879386179,229.0784288,0.618995011,237.5037251,37.13222972,0.825112315,10.4213229,17,0.005033239,1.280412258,3.490769016,0.848212782,93.77498919,0.133683152,176.9628769,1.039772908,53.67354383,-5.072730561,8.489669544,69.44122073,0.02579,0.38038191,0.08766,0.621675003,3.78479,-0.027451809,471.5248443,1.327,570.2361597,0.35146,43.56267004,0.8227,8.658127109,32.37437514,370.0832079,0.722,0.721670824,17.27824575,39.88212668,804.7203044,348.0764513,328.777381,0.68881158,-793.7199199,1.233435474,-0.087457062,-4.829478763,200.3700226,0.626367783,3.600375034,5.260334389,46.08831735,17.38942627,325.0765289,-12.02881251,199.0194827,6282.924276,-2.058885644,40.65098039,3.275473346,3.662675197,40.90138541,1.840336975,10.40535704,0.636375549,6.861723909,99.38831284,99.38831284,-5.014063663,-4.712238591,1.1492354,605.904828,2.178705525,13.6583609,8.06e-38,0,6,-0.204342327,-5.177526368,27.45763486,-0.077812135,6.520557158,4.380906669
2.078571429,0.003100754,380.6964654,0.571572197,0.669958075,0.00464091,49.28784887,5.87e-05,241.4209947,277.6598338,0.004651904,175.7692428,1.578916316,5.88203,0.892220392,274.9281844,0.504839422,242.3680545,39.48432572,0.830291404,10.33255047,17,0.004698634,1.283728967,3.730792934,0.851360992,109.7134069,0.133683152,178.7821089,1.036850326,56.02563983,-5.237831207,9.561608189,82.87836835,0.0,0.410046821,0.08381,0.618513548,3.89389,-0.033838921,469.5099265,1.327,578.5268657,0.33333,49.30563707,0.9067,8.617773265,38.11734217,424.8292878,0.722,0.544304934,23.02121278,45.62509372,817.0528446,392.0259357,327.063717,0.661966915,-830.1968099,1.217015298,-0.081894221,-4.829478763,202.5981265,1.06402077,3.858529569,3.747509088,47.49093388,20.6270711,388.2427958,-12.04157136,201.459327,7350.798264,-2.537919069,40.57254902,3.363493998,3.662675197,46.64435245,1.831051012,10.3306138,0.617368319,6.830158305,100.4271491,100.4271491,-4.937690404,-4.662316289,1.219451449,603.171772,1.716093097,14.21892722,5.64e-12,0,6,-0.196308798,-4.959012305,28.08658778,-0.096492765,2.317808574,4.834755674
2.136792453,-0.005487285,387.853491,0.580454054,0.677061018,-0.008108678,55.55829323,-0.000103,245.1026921,280.5964258,0.004550712,204.5991284,1.601840742,5.80868,0.907131352,326.4163667,0.482984287,250.9977817,41.83642172,0.836745037,10.35213712,17,0.004592597,1.28627843,3.744365397,0.859625743,126.5648292,0.133683152,181.4592981,1.034983246,58.37773583,-5.292613995,10.73200175,97.08523959,0.0,0.430471121,0.08189,0.618263478,3.73599,-0.055871319,467.0715717,1.327,590.80743,0.32495,55.57608143,0.7365,8.613498575,44.38778653,483.106838,0.722,0.510539883,29.29165714,51.89553807,835.4159283,440.0120716,324.41904,0.622245989,-885.132387,1.145037554,-0.081098458,-4.829478763,203.0229621,1.567741037,4.036269034,11.36017251,48.74290517,18.88898239,458.0775851,-12.07578703,201.9236836,8479.843554,-4.190348904,40.45490196,3.367528881,3.662675197,52.9147968,1.829999386,10.35022771,0.589290837,6.826920057,100.6255055,100.6255055,-4.828767926,-4.5570057,1.229432931,598.463656,1.610848913,15.03582451,1.92e-10,0,6,-0.176901248,-4.723620854,28.1226842,-0.132617746,15.96223541,4.773915884
1.892857143,-0.08901592,364.1149826,0.551965666,0.659699852,-0.143298823,43.46690378,-0.001685869,236.3923289,270.3598224,0.003187263,145.2817216,1.557671168,7.13975,0.866866145,219.2683848,0.686708671,230.4599418,36.80788275,0.864144585,11.64606545,17,0.003190954,1.272876638,3.447939352,0.949072153,91.54452156,0.107108969,172.6096347,1.269395094,53.07840034,-6.47228071,8.351174462,67.108178,0.04872,0.392907209,0.09234,0.644518633,2.89859,-0.024336696,474.3190513,1.133,560.1535639,0.375,43.48386462,0.6673,8.649128676,32.81595553,386.1399966,0.722,0.963316322,15.43060873,39.97450933,793.9852604,359.1005019,353.606824,0.730548691,-732.7810368,1.270635346,-0.067837052,-5.808162259,225.2499266,0.552733979,3.634309249,5.636369218,48.55724654,17.20669752,311.2404709,-11.19426824,223.2581884,6408.116509,-1.922599003,43.30196078,3.268829876,4.310698415,40.94636068,1.841444211,11.64115498,0.674440036,6.860097541,111.9283206,111.9283206,-7.627506266,-6.468962732,0.454220559,643.040408,2.727162685,12.25564374,4.8699999999999997e-23,0,7,-0.18411556,-8.094241669,33.05370123,-0.134891025,3.047375846,4.414764937
