SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],F05[C-N],TPSA(NO),RDF115v,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,GGI8,RDF045m,Mor26p,alvo
2.06619545627947,100.3,7.31397812032684,25,7,91.92,0.262611783405263,6.06520454741165,6.06520454741165,9,0.57418430335097,22.4937442678981,-0.401653256552952,6.431798275933005
2.0860263639504,85.31,18.9492209314067,18,7,85.31,2.49638729108369,3.67563296206769,3.67563296206769,7,0.273376480221718,12.3553421118759,-0.21047407243673,6.468521082957745
2.08573258080707,85.31,19.0328634219781,18,7,85.31,3.04776354353789,5.22488835159337,5.22488835159337,5,0.294288548752835,15.3190273769054,-0.312364175122979,5.388276691992658
2.0863418790973,85.31,20.1442680959814,18,7,85.31,2.61057977698656,3.67563296206769,3.67563296206769,7,0.273376480221718,12.2286039009656,-0.188763808392079,5.6439741428068775
2.08594024176855,85.31,18.5234552832771,18,7,85.31,3.48794566217624,3.67452144824141,3.67452144824141,9,0.252464411690602,9.46390871082634,-0.165766132062706,6.1249387366083
2.0870028368817,85.31,21.1613743533249,19,8,85.31,3.52656049759849,4.83133959414419,4.83133959414419,9,0.30663422776518,9.63810602634387,-0.169609050270491,5.681936665037238
2.09330762417941,97.62,45.5405471390169,29,13,97.62,9.62338466451644,7.071334727584,7.071334727584,9,0.573719765684051,19.974583924327,-0.344336955724936,5.882728704344236
2.09496805780448,88.39,41.4681164417656,30,15,88.39,9.63645191590146,6.60116699146359,6.60116699146359,9,0.561610292265054,16.9217302936808,-0.333573218729818,6.7447274948966935
2.08521245223812,97.34,22.0362947838956,15,10,97.34,2.58543689283405,3.67237046097541,3.67237046097541,4,0.221986016628874,9.69053095413065,-0.165742825587534,5.943095148663527
2.08525417543728,97.34,22.8631813169876,15,10,97.34,3.00930550608103,4.90686711179175,4.90686711179175,2,0.292280801209373,9.88413714206322,-0.138899023130044,6.036212172654444
2.08506564352015,97.34,23.1714010109862,15,10,97.34,3.34171270280855,4.54804515296877,4.54804515296877,4,0.246677374653565,12.5480970179185,-0.245830059853816,5.300162274132754
2.08490830692647,97.34,23.224999464125,15,10,97.34,3.04933271434724,4.64917308397103,4.64917308397103,2,0.267589443184681,15.9971528811877,-0.274281292224312,5.896196279044043
2.08691350922283,85.31,20.4662462782889,18,7,85.31,5.11088072850646,4.91811089292111,4.91811089292111,9,0.351229843789368,9.67909729159307,-0.192032640490341,5.152427340857888
2.08794321269317,85.31,20.6782578714763,20,9,85.31,4.36715160679809,5.51054217360109,5.51054217360109,9,0.40162037037037,10.1520799792103,-0.204862676390479,5.079876673709276
2.09898601626382,87.53,41.7683658090263,28,12,87.53,8.88453871772025,6.38210842523171,6.38210842523171,11,0.530895691609978,17.8615829133217,-0.2608951812277,5.634512015109101
2.09964145368162,84.73,29.8865067090001,31,9,84.73,6.04925023429303,6.32925033821234,6.32925033821234,14,0.467395754598136,13.8822804077467,-0.147902106495202,4.522878745280337
2.09963830267315,84.73,35.3387240997859,32,9,84.73,8.84901700600648,6.49417609521297,6.49417609521297,16,0.413225938523558,15.8922553962376,-0.170868590513185,4.672028376376989
2.08635950387746,85.31,16.915393007153,18,7,85.31,2.16831378707832,3.67142699205507,3.67142699205507,9,0.21164808515999,9.19530422508334,-0.141767384735862,6.070581074285707
2.08646359850713,85.31,17.2891347320739,18,7,85.31,2.3005589188337,4.43901142022849,4.43901142022849,7,0.2975639329806,9.45190282360633,-0.130663395114295,5.139063379299906
2.08645048357548,85.31,17.6237355769322,18,7,85.31,2.29670448173302,4.96257486685741,4.96257486685741,5,0.253472222222222,9.22740169327527,-0.109485609892672,6.337242168318426
2.08559786896648,85.31,18.3887769777102,18,7,85.31,3.8164349346498,3.67548185366589,3.67548185366589,7,0.277659674981104,15.7061829519223,-0.209554464531137,6.1938200260161125
2.08575397895544,85.31,19.5963509428749,18,7,85.31,3.55257540634476,3.67563296206769,3.67563296206769,7,0.273376480221718,14.9036727800679,-0.255096390364553,5.91721462968355
2.08571046051047,85.31,18.5557573326857,18,7,85.31,3.15612269224074,4.96257486685741,4.96257486685741,5,0.253472222222222,15.0550394864703,-0.292322608756422,5.531652669587842
2.100315590279,75.5,29.3795485653636,34,10,75.5,7.69680587263125,5.65005878132736,5.65005878132736,18,0.413729843789368,12.4691918121484,-0.1826189783388,4.522878745280337
2.1001994768437,75.5,33.3065542851964,33,11,75.5,6.67547650283844,5.62731081166063,5.62731081166063,16,0.389542391030486,10.9115452115224,-0.146523746594557,4.522878745280337
2.09968011700452,93.96,33.3083755131298,32,9,93.96,11.4732917872972,5.69077803822141,5.69077803822141,14,0.409446649029982,11.6894845088271,-0.206861790361035,5.023650020996727
2.09889675568643,87.53,28.0203003380735,28,12,87.53,6.74056677885334,5.50586654999091,5.50586654999091,11,0.382747543461829,14.6482689084379,-0.222977604080861,5.133122185662502
2.09881867871683,87.53,38.9955929726704,28,12,87.53,9.58641165858474,5.66350972088193,5.66350972088193,9,0.403659611992945,17.3153590772983,-0.302531431400482,4.799149501908922
2.09885133000887,87.53,40.9278056762081,28,12,87.53,9.60917887803535,5.80968920509455,5.80968920509455,11,0.432130259511212,16.7103032418104,-0.318459974545979,5.350665141287858
2.0990711683359,87.53,40.0398636177422,28,12,87.53,7.66760133792055,5.90349006326854,5.90349006326854,11,0.481512975560595,11.435769897309,-0.231667506402939,5.367542707815276
2.09906885319117,87.53,42.8779365826156,29,13,87.53,7.30578381483983,5.88582086960403,5.88582086960403,11,0.432130259511212,11.5451539505546,-0.237361160179188,5.521433504406157
2.09921921010724,87.53,43.6410507070662,28,12,87.53,9.42728847584167,7.12159812368595,7.12159812368595,11,0.604969765684052,12.0658455821637,-0.273441867842935,5.681936665037238
2.08507729453642,97.34,23.9605387320833,15,10,97.34,3.77245428425445,4.71661643116515,4.71661643116515,4,0.296060090702948,12.7721257338146,-0.241606249665444,5.36251027048749
2.08504544582534,97.34,24.5691949265137,15,10,97.34,2.7822145556469,4.67894940078546,4.67894940078546,4,0.271368732678257,9.97910816349565,-0.175775626792225,5.333482019445119
2.08546367246724,97.34,25.3237376612035,15,10,97.34,3.63437953047078,4.98795979456423,4.98795979456423,4,0.345442806752331,10.0885616688625,-0.196508193005681,5.281498311132726
