F06[C-C],F03[C-N],L1v,P_VSA_p_2,L1p,HOMA,SpMin1_Bh(p),H6v,RNCG,Tv,H6p,L1e,SpMax_B(v),RDF115v,Tp,SpDiam_B(v),SpMax_B(p),Eig07_EA,SM15_AEA(bo),HOMT,H4s,SpDiam_B(p),TPSA(Tot),H6i,RDF060p,Eig07_AEA(ri),TPSA(NO),SpMin1_Bh(e),SpMax5_Bh(i),VE3sign_RG,F05[C-C],F05[C-N],DP15,MATS1p,SpMax1_Bh(e),Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),DP18,H7u,L1u,SP18,DP16,F06[C-N],DP20,DP19,CATS3D_14_AP,Mor19p,GGI2,Eig12_EA,SM5_RG,RDF115m,T(N..Cl),SM3_Dz(p),ALOGP2,MATS4m,J_D/Dt,alvo
25,10,7.31397812032684,119.433935643089,7.31252837068396,0.777438276923076,2.06619545627947,0.100371940518328,0.150586894151745,15.321535096307,0.0963908390735381,7.28979730989835,3.96559315824151,0.262611783405263,15.3691927609509,5.87591823825168,3.95496578428625,2.04175179551789,2.04175179551789,20.2133952,16.6410466054512,5.88740643086387,100.3,0.696593077904272,22.0702502034002,2.97861760223671,91.92,1.98635321747897,3.46639436599873,-4.17522430973857,26,7,6.32586984103322,-0.0385384310153089,4.1515181027797,6.06520454741165,0.0328660076724958,0.0,6.06520454741165,4.66274064050154,0.139915815933435,7.14451063921502,4.90445820414445,5.81695758452435,9,3.3528975433896,4.02441907857274,0,0.119289892698967,4.88888888888888,1.0,7.0974750267259,0.226872422151425,29,15.4918698767612,27.94496769,-0.0926048916907234,14.5539051947444,6.431798275933005
18,9,18.9492209314067,110.910406475419,18.6612174449171,0.7521839904,2.0860263639504,0.107851910905194,0.153070870033617,22.656809117069,0.131162838760754,19.2647252421217,3.90790530332113,2.49638729108369,22.5068068511614,5.80003843451148,3.87394118668875,1.54755973755737,1.54755973755737,18.80459976,5.97112074593844,5.81360215202647,85.31,0.671057120493831,4.02813649783267,2.48375978133153,85.31,1.95307888375824,3.314174691162,-2.74115419292797,19,7,11.2688363968308,0.0267416993365248,4.13557734323005,3.67563296206769,0.0404797458838575,7.42023348909804,3.67563296206769,10.6045556309853,0.237653187417651,18.5162863797223,10.7342514147137,11.0977993790067,8,9.92573017139542,10.2872707254012,0,-0.199919769288358,3.77777777777778,0.729994983679456,6.43707814274624,3.79368214040822,52,14.8899182086772,10.48917769,-0.136950549334792,13.1878312043837,6.468521082957745
18,9,19.0328634219781,110.910406475419,18.7414448344759,0.7521839904,2.08573258080707,0.113729952831197,0.150630953418243,23.1010011262075,0.139840402456291,19.253656128923,3.90902373291,3.04776354353789,22.9750260979419,5.80154557549116,3.87594617072494,1.78229778538887,1.78229778538887,18.80459976,6.80479008158369,5.8157631103903,85.31,0.674238014629608,4.02025970796527,2.70683956370264,85.31,1.95258147595368,3.31379490517628,-2.74268029692436,19,7,11.2454507584093,0.0336337887759437,4.1356640447088,5.22488835159337,0.0407787359887795,8.40586969078612,5.22488835159337,10.5756802184287,0.238733230071688,18.4827582185188,10.7352078563132,11.0722084530482,8,9.89465536984442,10.2571865829769,0,-0.307296382956628,4.0,0.730061722870233,6.40123265558301,6.82378675396108,104,15.0336370961735,15.23418961,0.0827393332916234,13.414184708961,5.388276691992658
18,9,20.1442680959814,110.910406475419,20.5437499234767,0.7521839904,2.0863418790973,0.120410204370051,0.159800840019806,24.0966731317824,0.145548899779305,21.2777202210934,3.90799891767132,2.61057977698656,24.6984759806506,5.80009732348639,3.87420408920662,1.54755973755737,1.54755973755737,18.80459976,5.88730114211353,5.81383171869221,85.31,0.662008624910751,4.03743669080994,2.48383255587962,85.31,1.95747220831746,3.35359310978206,-2.95585926589957,20,7,11.2943048643727,0.0222604784196788,4.13596277149691,3.67563296206769,0.0485405129441552,6.78264405708544,3.67563296206769,10.6313707798835,0.253419025244891,21.1351593228299,10.7640268299443,11.1238854080973,9,9.95268370739051,10.3142224127877,0,-0.0928267129860043,3.77777777777778,0.729994983679454,6.58039683432478,3.83053549680861,52,14.7598586767569,12.38617636,-0.21946924010003,13.1878312043837,5.6439741428068775
18,9,18.5234552832771,110.910406475419,19.1978828179858,0.7521839904,2.08594024176855,0.101331075250972,0.163573424861437,22.4940767426887,0.124495187771319,18.604781762698,3.90737605429951,3.48794566217624,23.3926706160892,5.79929033303554,3.87337050789927,1.54755346745117,1.54755346745117,18.80459976,4.62598664061148,5.81291036290411,85.31,0.661822441775028,4.05301436860767,2.48362658442028,85.31,1.95408266064458,3.305992187273,-2.74127406481273,19,7,10.7162110551746,0.0266470284477692,4.13542073287751,3.67452144824141,0.0458679651156349,1.69926760753675,3.67452144824141,9.92987583549807,0.239261414497417,18.4292869867181,10.0449616640063,10.5051039480256,8,9.16697303247559,9.57078444965445,0,-0.0375873193107677,3.33333333333333,0.729984994730519,6.45354197190404,11.0491754846423,0,14.5688742568485,9.71693584,-0.0995542015463853,12.9711855443681,6.1249387366083
19,9,21.1613743533249,110.910406475419,19.6646352389803,0.7521839904,2.0870028368817,0.138321295667378,0.134243550335054,24.7066277533379,0.132123587278673,23.0520678675773,3.90785843774006,3.52656049759849,23.4828823818165,5.79995619025425,3.87370951016758,1.69651910641302,1.69651910641302,18.80459976,9.35848355501896,5.81337402654049,85.31,0.828063464276495,4.7733647723058,2.65271307273733,85.31,1.95712618473005,3.36976264907078,-2.950406947182,19,8,12.3768897258756,0.0150029018508288,4.13616032971546,4.83133959414419,0.0489198733681286,0.261130536745629,4.83133959414419,11.8697155400072,0.279161998156336,21.7584635904281,11.9180799360358,12.2604228292774,8,11.285576218975,11.600683651314,0,-0.0266261260853796,4.0,1.0,6.54238188065278,5.40056603529959,0,15.4682835824572,10.96338321,-0.166557288742917,13.5485370793446,5.681936665037238
29,12,45.5405471390169,132.168784606408,41.4421463014787,0.738783943030303,2.09330762417941,0.46434413537853,0.110475722938088,49.8739500976107,0.415895156765159,48.4910813293805,3.91377484368388,9.62338466451644,46.0536833477091,5.81486937916492,3.88002156786439,2.35718527862919,2.35718527862919,24.37987012,20.1871468887152,5.82974957719216,97.62,1.9588830259971,9.86613975404913,3.29346031182826,97.62,1.95774810700654,3.49802046559818,-7.65122073383183,28,13,19.0139147907933,-0.0391212572387991,4.14444666507868,7.071334727584,0.239263668543801,74.4385390783607,7.071334727584,19.7661809938392,0.708920908724766,44.7260637401834,19.7453831363499,19.3185533095114,14,20.0156906744951,19.914519115551,0,0.0966426144326278,5.77777777777777,1.37040995593325,6.83403443575887,15.0590287624017,57,18.0498004560941,58.16655289,-0.0228919227168476,14.8159603870624,5.882728704344236
30,12,41.4681164417656,121.168896718802,40.5850816075545,0.740322333939394,2.09496805780448,0.422237271072755,0.096258603742711,46.2898436980635,0.417686216989039,43.9978602163825,3.91481216108337,9.63645191590146,45.6749501474706,5.81701604853122,3.8815030518489,2.26834921038088,2.26834921038088,24.43063702,18.0837857633435,5.83191537005261,88.39,1.85949911487972,11.1923518674152,3.22120021489705,88.39,1.96219070540602,3.48154758637916,-5.93800291090434,27,15,17.251358787584,-0.0117000875686904,4.14547681139231,6.60116699146359,0.222509637903099,32.2989394469648,6.60116699146359,17.6555473913302,0.769103067327394,42.6886575082687,17.6375575266547,17.4396155870964,14,17.6750657633503,17.6886576750092,0,0.170672821616343,5.33333333333333,1.34808955869005,6.99506661501143,13.333741537603,57,17.2454418129066,41.98003264,0.100784416020976,14.7389832897475,6.7447274948966935
15,11,22.0362947838956,128.921157158449,22.3927557189748,0.850856193043478,2.08521245223812,0.135958520656468,0.145390832683488,25.1676972378121,0.154478541941262,23.3127698431065,3.90619885937806,2.58543689283405,25.7432622254248,5.79768497476451,3.87161244427657,1.54702149620521,1.54702149620521,19.56969244,4.29237411166693,5.81092879741412,97.34,0.800332615472111,6.17871750899665,2.48281447872464,97.34,1.94714833430867,3.35636632026297,-2.87734253881981,16,10,11.7411911201724,0.0187824106329185,4.13471956513554,3.67237046097541,0.0781112142611241,6.67425153842937,3.67237046097541,11.1368923574344,0.322451379140471,23.4645849459802,11.3002853834317,11.5917955393326,11,10.4906782022969,10.8365690526097,0,-0.0843516967274767,2.44444444444444,0.730300935845916,6.54963670524683,2.12527131342793,0,14.9245190482941,5.18472899999999,-0.0101025163271367,12.8195331744065,5.943095148663527
15,11,22.8631813169876,128.921157158449,22.3050342332064,0.850856193043478,2.08525417543728,0.151047927270853,0.133763223895318,26.0510104374739,0.151271089185397,24.064987239305,3.90661078942767,3.00930550608103,25.6650059106412,5.79819064465882,3.87205574203491,1.71104761281999,1.71104761281999,19.56969244,9.64276044548635,5.81144540858591,97.34,0.837215633773858,6.20128835865412,2.66552241356662,97.34,1.94677418614307,3.35758667251441,-2.87763334426732,16,10,12.6622241205699,0.0168009871723548,4.13491354437138,4.90686711179175,0.0857255302632834,4.02256270927796,4.90686711179175,12.2831501067824,0.320566001149159,23.53971743604,12.3381851854295,12.5863375531251,11,11.7940769881592,12.0607759576813,0,-0.169022845277937,3.33333333333333,0.730383521335029,6.50508273899623,3.49250066548356,0,15.503483398416,7.225344,-0.0700639574575297,13.1961896071847,6.036212172654444
