F06[C-C],F03[C-N],TPSA(Tot),RNCG,F05[C-N],RDF060p,B05[N-O],RDF025p,Mor20v,VE1sign_B(m),R8p+,alvo
25,10,100.3,0.150586894151745,7,22.0702502034002,1,20.9575124737321,1.47052386326863,0.0678837867516793,0.0117327050420475,6.431798275933005
18,9,85.31,0.153070870033617,7,4.02813649783267,0,18.5666082396984,1.25843247780182,0.160346790847805,0.0132543805138671,6.468521082957745
18,9,85.31,0.150630953418243,7,4.02025970796527,0,18.4992528663436,1.31717479710244,0.141755169160436,0.0147069290618325,5.388276691992658
18,9,85.31,0.159800840019806,7,4.03743669080994,0,20.5389966434788,1.2982093606094,0.165011296927125,0.010731769271948,5.6439741428068775
18,9,85.31,0.163573424861437,7,4.05301436860767,0,18.436951229423,1.08941408096986,0.161376802352776,0.0179653577281751,6.1249387366083
19,9,85.31,0.134243550335054,8,4.7733647723058,0,20.7840028959633,1.33755054052322,0.16380455718362,0.0085660023934441,5.681936665037238
29,12,97.62,0.110475722938088,13,9.86613975404913,1,28.276256912733,1.99747094436862,0.18262873220052,0.0104754075181615,5.882728704344236
30,12,88.39,0.096258603742711,15,11.1923518674152,1,32.0545297124104,1.95138399814116,0.0814094006710847,0.0107150392239084,6.7447274948966935
15,11,97.34,0.145390832683488,10,6.17871750899665,0,17.3818564781758,1.46979986304107,0.170150049955389,0.0089949112517729,5.943095148663527
15,11,97.34,0.133763223895318,10,6.20128835865412,0,17.2973229986502,1.49367621594696,0.159536005825528,0.0088989736732653,6.036212172654444
15,11,97.34,0.146303706524086,10,6.08128424431615,0,17.1357332805999,1.53063521393471,0.17351646772482,0.0112459666276392,5.300162274132754
15,11,97.34,0.143091485721548,10,5.91553921196361,0,17.5004300802332,1.48501575517974,0.171708243202438,0.014713883562439,5.896196279044043
18,9,85.31,0.134307147447364,7,4.00511244583995,0,20.7360000980651,1.34561529806507,0.148268237092363,0.0076902409396104,5.152427340857888
20,9,85.31,0.115396358000517,9,6.59591062064236,0,22.9102144643122,1.41018723824938,0.166386572449678,0.0083547218894741,5.079876673709276
28,15,87.53,0.0959822119974778,12,10.3980100251704,1,28.1043988705465,2.11183161932641,0.152118889239787,0.0100627356243377,5.634512015109101
31,13,84.73,0.130249133270545,9,8.50258822359166,1,28.1832476196914,1.85046834092339,0.131763894768004,0.0100425876478751,4.522878745280337
32,13,84.73,0.130412421036889,9,7.80135293750855,1,28.495556810802,1.7478436095455,0.157706388994849,0.0085745136608277,4.672028376376989
18,9,85.31,0.160380919819661,7,4.16071149353949,0,18.7488123352172,1.18966522094996,0.15789421967093,0.010196279193456,6.070581074285707
18,9,85.31,0.146777119096961,7,4.33209873170574,0,18.7258504522971,1.18144520259156,0.205335316519209,0.0101492581447453,5.139063379299906
18,9,85.31,0.14938087488123,7,4.42620459952364,0,18.6525603813153,1.23519634162437,0.112736189723331,0.0101020192855065,6.337242168318426
18,9,85.31,0.158158999834749,7,5.12700102901298,0,17.9217919675883,1.42121151008891,0.158959343795884,0.0174246871972779,6.1938200260161125
18,9,85.31,0.160350682281801,7,5.178418320964,0,18.4565410498624,1.29599710402571,0.155668166108503,0.0131434033152064,5.91721462968355
18,9,85.31,0.162565111551043,7,4.14166144618413,0,18.3790167134623,1.3295796486588,0.134972067528937,0.0148357295123308,5.531652669587842
34,13,75.5,0.118869953518586,10,9.61005386484823,1,31.3435987433306,1.64920250260514,0.1489084582311,0.0093831915370854,4.522878745280337
33,13,75.5,0.118955393491684,11,9.27800727333373,1,31.8150255615524,1.7956721598022,0.0943699163657112,0.0095507631486538,4.522878745280337
32,13,93.96,0.152393647823095,9,11.2876641803363,1,28.6937967152646,2.06638153904603,0.144006855466742,0.0080864595525442,5.023650020996727
28,15,87.53,0.111841114650388,12,9.27078208213911,1,26.1887781898295,1.93406279626071,0.15823433763857,0.0106485393941556,5.133122185662502
28,15,87.53,0.109691432302794,12,9.41510269247601,1,26.3909186751626,1.91066061921027,0.15673209168455,0.0131965905002833,4.799149501908922
28,15,87.53,0.111169157848155,12,10.0668732501948,1,25.9502000113127,2.0221850067679,0.156929453117956,0.0109335037471285,5.350665141287858
28,15,87.53,0.0963391729421129,12,9.95107666333367,1,28.2867781857187,2.03532648207634,0.155469768890429,0.0100719409391886,5.367542707815276
29,15,87.53,0.0964046439942992,13,9.61742061080721,1,28.2713477254081,2.08282811069213,0.158514637054872,0.0100013020619743,5.521433504406157
28,15,87.53,0.0849395497354287,12,11.1184957572905,1,30.4554914107604,2.21467596079986,0.154586487952443,0.0095837203132277,5.681936665037238
15,11,97.34,0.139306338433438,10,6.17074111181713,0,17.1685500248366,1.54976292642435,0.170788596415292,0.0112421454106043,5.36251027048749
15,11,97.34,0.148003136128507,10,6.59843221270595,0,17.0752031474277,1.39698956381502,0.169213109519048,0.0089303846381709,5.333482019445119
15,11,97.34,0.123533899455079,10,6.51105518609581,0,19.3939233184528,1.59428232572211,0.169947886497873,0.0071081632783862,5.281498311132726
16,11,97.34,0.123628172649771,11,6.17628959176484,0,19.3791851556841,1.61694763530643,0.174228824995034,0.007606779058406,5.958607314841775
15,11,97.34,0.107355865937632,10,7.67580123275432,0,21.5528323294829,1.7867634176991,0.167530709865459,0.0059407174154966,5.042871802323187
15,11,97.34,0.123020180351105,10,6.95373342572201,0,19.2094718986978,1.6855548012946,0.165165472915757,0.007064201247243,4.9503943874050265
16,11,97.34,0.144024388622942,11,6.21633363799412,0,19.4207379810685,1.51511044832134,0.165987194281914,0.0076771393285515,5.568636235841013
15,11,106.57,0.184532238023741,10,6.91181186720396,1,17.7502424960122,1.70524067493278,0.168605981836931,0.0080670353895648,5.522878745280337
24,14,100.42,0.0977605520379153,15,9.94836439968026,1,24.5684486783096,1.92997556044843,0.143658693987744,0.0089341073716331,5.701146923590294
24,14,100.42,0.0929478100131784,15,10.24019936405,1,24.4640012625382,1.94284645910991,0.0849870482576632,0.0088382494349094,5.235077015350112
24,14,100.42,0.0967985314564983,15,10.4669986354368,1,23.7197476094316,2.12209247958988,0.142101147140965,0.0178891944547648,6.769551078621726
24,14,100.42,0.0977475994138074,15,10.968875561967,1,24.2715303327347,2.01037207575657,0.139100118893006,0.0113351866316471,5.723538195826756
24,14,100.42,0.0986923525887486,15,9.91929115176267,1,24.1925610216765,1.99611614151262,0.11282501694638,0.0180541865525787,7.221848749616356
24,14,100.42,0.0945863660265337,15,9.83016073140164,1,24.3875529635383,1.98896489928426,0.144323081108734,0.011241019170355,5.809668301829708
24,14,100.42,0.0935073998428528,15,9.80379359057374,1,24.3104879297861,2.013740259489,0.119864528762816,0.0179609591441805,6.4089353929735005
24,14,100.42,0.0975118141344335,15,9.78717363035874,1,26.3573245353361,1.97372732745926,0.149389124561432,0.0107869985180761,5.703334809738469
19,9,85.31,0.128479174521818,8,4.91726742772916,0,20.814229228871,1.26809629157961,0.201000165953788,0.0085005422149477,5.671620396561262
20,9,94.54,0.198324582013161,7,6.46660617575614,1,20.6846473262859,1.55094741567266,0.178821143542104,0.0074869261104504,4.997402019280091
18,9,94.54,0.146119214896193,7,5.85097858823775,1,19.7885637389791,1.26225459502626,0.138192098409435,0.0091225296748615,4.861697301833718
19,9,85.31,0.133642365596854,8,6.04583900616821,0,20.6181356829565,1.39064113289294,0.184334276041771,0.0111914135557955,5.85078088734462
20,9,85.31,0.157063715313508,9,5.75348186275282,0,22.9218292760026,1.24469349944563,0.0824366872663713,0.0084399041851119,6.086186147616283
19,9,94.54,0.146324749508522,7,4.46060504043739,0,19.1368905828554,1.28944585007379,0.172798766161111,0.0069076511966166,6.366531544420414
19,9,103.77,0.17025182472354,7,7.37501174052927,1,19.8024289156701,1.5397291363795,0.153123019632532,0.0087932197850132,5.4156687756324695
28,12,88.39,0.0945166876968622,13,9.73251571595473,1,27.7172072704565,1.98233903700468,0.168860612901791,0.0114358847866868,5.966576244513051
27,12,97.62,0.120992514189746,12,8.83442083808097,1,26.3753254903393,1.80059127951198,0.120375207510727,0.0119617690803052,5.823908740944319
24,14,100.42,0.0991199796852808,15,9.83206237042497,1,24.2557867320098,1.90645274787535,0.147891970206823,0.0121538441821901,5.425968732272281
25,14,100.42,0.085994871586899,16,10.4343818635902,1,26.6052403391999,2.03140308852063,0.147820337686144,0.0087758050501079,6.356547323513813
20,9,113.0,0.148111299004496,7,9.71557307154095,1,20.0587852042852,1.7400100915573,0.105476373405271,0.006815785455268,5.812479279163537
27,12,88.39,0.094899665986564,12,7.59658665882848,1,27.8289017368285,1.81141315824008,0.132067853461101,0.0107092734397813,6.251811972993799
29,12,88.39,0.0837234375374113,14,9.96756085512474,1,29.9970313862357,1.93293161051222,0.148196331054664,0.0105911585163686,5.935542010773082
28,12,88.39,0.0915180656179078,13,8.59658297455426,1,27.9145534557736,1.88998124212628,0.183534009181896,0.0114472569510486,5.943095148663527
24,14,109.65,0.110427610526827,15,11.0189319519448,1,25.1031116845671,1.97828489759168,0.117274616057548,0.0088888024407583,6.022276394711152
28,12,97.62,0.121133404872878,12,8.07790102981183,1,26.2230750956362,1.74720597638013,0.162039326355846,0.0103029806073734,6.356547323513813
25,14,109.65,0.110544958735799,15,10.2470663765994,1,24.9557963530055,1.98389368981155,0.161604277311487,0.0088490492318512,5.421360790031928
26,14,100.42,0.0963308750250069,17,11.5030461336304,1,28.7320528150776,2.0839964070383,0.0503130842877241,0.0087936750820882,6.920818753952375
24,14,100.42,0.0910605739631306,15,10.7082796117392,1,26.4779954293791,2.11766074188272,0.148722517814768,0.0088253937276385,5.85078088734462
24,14,100.42,0.0868707688287794,15,10.9945944257752,1,26.3727619000479,2.13721579964042,0.0897354183418684,0.0086828664725862,5.7121982700697735
24,14,100.42,0.0918685022905276,15,10.6664938984841,1,26.1014685427756,2.25035049624099,0.117732603277832,0.0153126368222647,7.522878745280337
29,12,88.39,0.107598630252621,14,9.49322232097807,1,30.0299135346367,1.79050595697949,0.0573883312187927,0.0136197936299017,5.785156151952302
31,13,75.5,0.119672194146179,9,9.16531861141798,1,26.973941648371,1.80827252616891,0.148027698779368,0.0141574016757522,4.522878745280337
31,13,75.5,0.116330831337114,9,7.56227494299381,1,27.4551355804594,1.83632303497264,0.148702815807949,0.0114934210608837,5.094743951251549
31,13,75.5,0.114718111759137,9,7.54524652898872,1,27.3901516529204,1.88294038230543,0.136360467962552,0.0120763190623797,5.13430394008393
21,9,85.31,0.156933298971348,8,5.3836326114122,0,22.2984733713809,1.32615325937449,0.155736517677355,0.0097963333136238,5.563837352959244
27,12,88.39,0.1093854263302,12,7.75922047108329,1,25.8364196371613,1.73477065424398,0.145161031600944,0.0121565452191672,5.935542010773082
27,12,88.39,0.103395116743929,12,8.22905025425034,1,25.7635603924737,1.68850813656119,0.0900334653435418,0.0137470794938014,6.346787486224656
27,12,88.39,0.108182419471468,12,8.30226233797649,1,24.9883926903491,1.87362672973873,0.143795668833847,0.0118696116721183,4.633017024022149
28,12,88.39,0.0976861204636099,13,9.62677812527989,1,27.8890767469293,1.83486881034325,0.167354435648446,0.0101090172452153,5.739928612014925
28,12,88.39,0.0928805240434246,13,9.93146662958557,1,27.7909299098284,1.84921173619946,0.113589505907585,0.010805042658156,5.790484985457369
28,12,88.39,0.097673187554068,13,10.819131677496,1,27.6083399738813,1.92966312415079,0.16250013850815,0.0134149064760119,6.180456064458132
28,12,88.39,0.0934393015442376,13,9.49799570083696,1,27.6338540541805,1.91556178263315,0.143850022187196,0.0148638629561867,4.522878745280337
28,12,88.39,0.0974377606960562,13,9.46136414159713,1,29.6730981381083,1.84298904401503,0.170993294931348,0.0116608073854136,5.554395796726403
28,12,88.39,0.0990434644840064,13,9.51247764722932,1,27.5776557702329,1.73189503272751,0.170972007287587,0.0113710859996974,5.7447274948966935
