F06[C-C],SpMin1_Bh(p),F03[C-N],RNCG,F05[C-N],F02[C-S],alvo
25,2.06619545627947,10,0.150586894151745,7,2,6.431798275933005
18,2.0860263639504,9,0.153070870033617,7,0,6.468521082957745
18,2.08573258080707,9,0.150630953418243,7,0,5.388276691992658
18,2.0863418790973,9,0.159800840019806,7,0,5.6439741428068775
18,2.08594024176855,9,0.163573424861437,7,0,6.1249387366083
19,2.0870028368817,9,0.134243550335054,8,0,5.681936665037238
29,2.09330762417941,12,0.110475722938088,13,0,5.882728704344236
30,2.09496805780448,12,0.096258603742711,15,0,6.7447274948966935
15,2.08521245223812,11,0.145390832683488,10,0,5.943095148663527
15,2.08525417543728,11,0.133763223895318,10,0,6.036212172654444
15,2.08506564352015,11,0.146303706524086,10,0,5.300162274132754
15,2.08490830692647,11,0.143091485721548,10,0,5.896196279044043
18,2.08691350922283,9,0.134307147447364,7,0,5.152427340857888
20,2.08794321269317,9,0.115396358000517,9,0,5.079876673709276
28,2.09898601626382,15,0.0959822119974778,12,0,5.634512015109101
31,2.09964145368162,13,0.130249133270545,9,0,4.522878745280337
32,2.09963830267315,13,0.130412421036889,9,0,4.672028376376989
18,2.08635950387746,9,0.160380919819661,7,0,6.070581074285707
18,2.08646359850713,9,0.146777119096961,7,0,5.139063379299906
18,2.08645048357548,9,0.14938087488123,7,0,6.337242168318426
18,2.08559786896648,9,0.158158999834749,7,0,6.1938200260161125
18,2.08575397895544,9,0.160350682281801,7,0,5.91721462968355
18,2.08571046051047,9,0.162565111551043,7,0,5.531652669587842
34,2.100315590279,13,0.118869953518586,10,0,4.522878745280337
33,2.1001994768437,13,0.118955393491684,11,0,4.522878745280337
32,2.09968011700452,13,0.152393647823095,9,0,5.023650020996727
28,2.09889675568643,15,0.111841114650388,12,0,5.133122185662502
28,2.09881867871683,15,0.109691432302794,12,0,4.799149501908922
28,2.09885133000887,15,0.111169157848155,12,0,5.350665141287858
28,2.0990711683359,15,0.0963391729421129,12,0,5.367542707815276
29,2.09906885319117,15,0.0964046439942992,13,0,5.521433504406157
28,2.09921921010724,15,0.0849395497354287,12,0,5.681936665037238
15,2.08507729453642,11,0.139306338433438,10,0,5.36251027048749
15,2.08504544582534,11,0.148003136128507,10,0,5.333482019445119
15,2.08546367246724,11,0.123533899455079,10,0,5.281498311132726
16,2.08545128357926,11,0.123628172649771,11,0,5.958607314841775
15,2.08584475145002,11,0.107355865937632,10,0,5.042871802323187
15,2.08526639805938,11,0.123020180351105,10,0,4.9503943874050265
16,2.0854202267248,11,0.144024388622942,11,0,5.568636235841013
15,2.08524944045023,11,0.184532238023741,10,0,5.522878745280337
24,2.09228447187331,14,0.0977605520379153,15,0,5.701146923590294
24,2.09242824118356,14,0.0929478100131784,15,0,5.235077015350112
24,2.09103003531457,14,0.0967985314564983,15,0,6.769551078621726
24,2.0913009199319,14,0.0977475994138074,15,0,5.723538195826756
24,2.09122472469306,14,0.0986923525887486,15,0,7.221848749616356
24,2.0917472751288,14,0.0945863660265337,15,0,5.809668301829708
24,2.09126142626994,14,0.0935073998428528,15,0,6.4089353929735005
24,2.09224919650276,14,0.0975118141344335,15,0,5.703334809738469
19,2.08706497115682,9,0.128479174521818,8,0,5.671620396561262
20,2.08728002724137,9,0.198324582013161,7,0,4.997402019280091
18,2.08647931227245,9,0.146119214896193,7,0,4.861697301833718
19,2.08651415006922,9,0.133642365596854,8,0,5.85078088734462
20,2.08769753705472,9,0.157063715313508,9,0,6.086186147616283
19,2.08647003622582,9,0.146324749508522,7,0,6.366531544420414
19,2.08656870304183,9,0.17025182472354,7,0,5.4156687756324695
28,2.09305075387095,12,0.0945166876968622,13,0,5.966576244513051
27,2.09301384624112,12,0.120992514189746,12,0,5.823908740944319
24,2.09161171450811,14,0.0991199796852808,15,0,5.425968732272281
25,2.09324728909685,14,0.085994871586899,16,0,6.356547323513813
20,2.08668915621692,9,0.148111299004496,7,0,5.812479279163537
27,2.093654664768,12,0.094899665986564,12,0,6.251811972993799
29,2.09502005934863,12,0.0837234375374113,14,0,5.935542010773082
28,2.09385106569626,12,0.0915180656179078,13,0,5.943095148663527
24,2.09246748562478,14,0.110427610526827,15,0,6.022276394711152
28,2.09299346952684,12,0.121133404872878,12,0,6.356547323513813
25,2.09244823997926,14,0.110544958735799,15,0,5.421360790031928
26,2.09422151040059,14,0.0963308750250069,17,0,6.920818753952375
24,2.09229262573043,14,0.0910605739631306,15,0,5.85078088734462
24,2.09243623032813,14,0.0868707688287794,15,0,5.7121982700697735
24,2.09123414170093,14,0.0918685022905276,15,0,7.522878745280337
29,2.09470000639501,12,0.107598630252621,14,0,5.785156151952302
31,2.09920015290761,13,0.119672194146179,9,0,4.522878745280337
31,2.0994241493746,13,0.116330831337114,9,0,5.094743951251549
31,2.09927559450978,13,0.114718111759137,9,0,5.13430394008393
21,2.08794145987161,9,0.156933298971348,8,0,5.563837352959244
27,2.09283659612082,12,0.1093854263302,12,0,5.935542010773082
27,2.09297577905092,12,0.103395116743929,12,0,6.346787486224656
27,2.09162207236245,12,0.108182419471468,12,0,4.633017024022149
28,2.09315556474637,12,0.0976861204636099,13,0,5.739928612014925
28,2.09329160306068,12,0.0928805240434246,13,0,5.790484985457369
28,2.0922263947321,12,0.097673187554068,13,0,6.180456064458132
28,2.09218740119937,12,0.0934393015442376,13,0,4.522878745280337
28,2.09312502937637,12,0.0974377606960562,13,0,5.554395796726403
28,2.09252115135988,12,0.0990434644840064,13,0,5.7447274948966935
29,2.09405637219457,12,0.0859372726038141,14,0,4.897223385116559
31,2.09956922025163,13,0.120744160442093,9,0,5.150580586203101
27,2.09188505279968,12,0.10936921037421,12,0,6.045757490560675
27,2.0918104571356,12,0.110553330231632,12,0,5.939302159646388
24,2.093128232789,14,0.0860249536033771,15,0,5.563837352959244
26,2.0945533137629,14,0.0767390456172651,17,0,6.958607314841775
25,2.09333860058524,14,0.0832369621693857,16,0,6.3872161432802645
25,2.09250978605232,14,0.0857101370105555,16,0,6.096910013008056
28,2.09215283495727,12,0.098616495920139,13,0,7.397940008672037
28,2.0926470541677,12,0.0945166876968622,13,0,5.543633966870957
24,2.09175610488989,14,0.0883004198000314,15,0,5.892790030352131
28,2.09395705442434,12,0.0859673143291468,13,0,5.795880017344075
31,2.09938233441598,13,0.123195894785218,9,0,5.197226274708024
32,2.09988921613502,13,0.103707568408682,10,0,4.522878745280337
31,2.0998383859168,13,0.103750910617322,9,0,5.769551078621726
32,2.09991777308681,13,0.0997588878773194,10,0,4.522878745280337
32,2.09965997635001,13,0.103297614591051,10,0,4.522878745280337
24,2.0922558099583,14,0.0908447243955066,15,0,5.935542010773082
25,2.09325706699376,14,0.0807674415250543,16,0,6.251811972993799
24,2.09313356134136,14,0.080793976901747,15,0,5.756961951313706
26,2.09456508418728,14,0.0725489231451442,17,0,8.0
30,2.09528030953292,12,0.076693175081904,15,0,6.259637310505756
27,2.09231636091756,12,0.105426745819386,12,0,6.050609993355088
27,2.09184591237346,12,0.104088040628961,12,0,5.889410289700751
27,2.09280371723642,12,0.109074109765944,12,0,6.008773924307505
27,2.09218640060216,12,0.111090198931021,12,0,6.309803919971486
28,2.09376289501069,12,0.0948630583449304,13,0,5.966576244513051
31,2.09958922659715,13,0.121122175946141,9,0,4.522878745280337
31,2.09963352848223,13,0.113889203535103,9,0,5.100179497572904
