F06[C-C],SssNH,alvo
25,2.07495899272942,6.431798275933005
18,2.77994708994709,6.468521082957745
18,2.74852733686067,5.388276691992658
18,2.90239606953893,5.6439741428068775
18,2.91850970017637,6.1249387366083
19,2.62567334341144,5.681936665037238
29,5.12456921639121,5.882728704344236
30,5.43833620981515,6.7447274948966935
15,5.62476269905473,5.943095148663527
15,4.96002606829131,6.036212172654444
15,5.55753102860877,5.300162274132754
15,5.46245386811494,5.896196279044043
18,2.69130944507433,5.152427340857888
20,2.33699420508944,5.079876673709276
28,7.88209271026229,5.634512015109101
31,5.57227068440353,4.522878745280337
32,5.63076891345171,4.672028376376989
18,2.91435248173343,6.070581074285707
18,2.61220017636684,5.139063379299906
18,2.63546359284455,6.337242168318426
18,2.8393216175359,6.1938200260161125
18,2.85931216931217,5.91721462968355
18,2.85151297556059,5.531652669587842
34,5.9588970056873,4.522878745280337
33,5.94453590687565,4.522878745280337
32,5.87176981044283,5.023650020996727
28,8.53174371649812,5.133122185662502
28,8.43041898794354,4.799149501908922
28,8.47714115209273,5.350665141287858
28,7.93669527466768,5.367542707815276
29,8.08765719793781,5.521433504406157
28,7.26895534883624,5.681936665037238
15,5.33895180525276,5.36251027048749
15,5.63404805903205,5.333482019445119
15,5.01421966239562,5.281498311132726
16,5.15871382811746,5.958607314841775
15,4.40367662573651,5.042871802323187
15,4.96442901928652,4.9503943874050265
16,5.66660014236538,5.568636235841013
15,5.61787289683754,5.522878745280337
24,7.76188558538179,5.701146923590294
24,7.39081323365182,5.235077015350112
24,7.66311703124608,6.769551078621726
24,7.68605327445058,5.723538195826756
24,7.67692710049485,7.221848749616356
24,7.57594788153088,5.809668301829708
24,7.53346863908741,6.4089353929735005
24,7.74582477346413,5.703334809738469
19,2.52268770471151,5.671620396561262
20,2.95094545225498,4.997402019280091
18,2.66760574137062,4.861697301833718
19,2.60205278407659,5.85078088734462
20,2.96879692617788,6.086186147616283
19,2.71903112402368,6.366531544420414
19,2.9067757149156,5.4156687756324695
28,5.2114482273594,5.966576244513051
27,5.28541717026063,5.823908740944319
24,7.76706940441594,5.425968732272281
25,7.35749391971059,6.356547323513813
20,2.9025353521038,5.812479279163537
27,5.313951208465,6.251811972993799
29,4.88686606620215,5.935542010773082
28,5.11479919737704,5.943095148663527
24,7.40408618641711,6.022276394711152
28,5.34391539930882,6.356547323513813
25,7.46760337961527,5.421360790031928
26,7.83224605678107,6.920818753952375
24,7.75037145732892,5.85078088734462
24,7.37929910559894,5.7121982700697735
24,7.66541297244198,7.522878745280337
29,5.65768239273276,5.785156151952302
31,5.79254782915497,4.522878745280337
31,5.7176479244199,5.094743951251549
31,5.67998060327273,5.13430394008393
21,2.98240803728899,5.563837352959244
27,5.59419113429645,5.935542010773082
27,5.26312456960351,6.346787486224656
27,5.50569431501208,4.633017024022149
28,5.37484495137883,5.739928612014925
28,5.0437783866859,5.790484985457369
28,5.30809725734176,6.180456064458132
28,5.17378090621222,4.522878745280337
28,5.3605638736179,5.554395796726403
28,5.37959173898276,5.7447274948966935
29,5.02118241733169,4.897223385116559
31,5.86676357067841,5.150580586203101
27,5.52744344025937,6.045757490560675
27,5.5188564920021,5.939302159646388
24,7.43634707647333,5.563837352959244
26,6.95310225403939,6.958607314841775
25,7.21403545830315,6.3872161432802645
25,7.32414085122285,6.096910013008056
28,5.29951030908448,7.397940008672037
28,5.2114482273594,5.543633966870957
24,7.56443375347801,5.892790030352131
28,5.09460502554739,5.795880017344075
31,5.88579143604327,5.197226274708024
32,5.52738211439219,4.522878745280337
31,5.60080472260789,5.769551078621726
32,5.40165271151993,4.522878745280337
32,5.49830174150229,4.522878745280337
24,7.73431064541125,5.935542010773082
25,7.34597979165771,6.251811972993799
24,7.42483294842045,5.756961951313706
26,6.94158812598651,8.0
30,4.66751988328454,6.259637310505756
27,5.43079441027701,6.050609993355088
27,5.39312708912984,5.889410289700751
27,5.57991005653551,6.008773924307505
27,5.59893792190038,6.309803919971486
28,5.2405286002493,5.966576244513051
31,5.88104464843934,4.522878745280337
31,5.5499780837464,5.100179497572904
25,7.20252133025027,7.221848749616356
29,4.89545301445943,6.337242168318426
29,4.99210204444179,5.609064892896621
28,5.06607098734302,5.987162775294828
