F06[C-C],P_VSA_LogP_7,nBM,VE1_RG,Mor03p,alvo
25,164.795427952264,25,2.664094952029,-5.13875743205739,6.431798275933005
18,82.3977139761322,23,2.05938018526506,-2.25009632598517,6.468521082957745
18,70.6266119795419,23,2.05967527635993,-2.74635368678267,5.388276691992658
18,117.711019965903,23,2.06388608380222,-2.31913531512758,5.6439741428068775
18,94.1688159727225,23,2.05932456995741,-2.33090950714502,6.1249387366083
19,94.1688159727225,23,2.06017423306837,-2.20451912512258,5.681936665037238
29,129.482121962493,30,4.54454873417649,-3.54765609050346,5.882728704344236
30,188.337631945445,30,2.84219311443026,-3.96608638039742,6.7447274948966935
15,105.939917969313,23,2.06079530183307,-1.90135904460013,5.943095148663527
15,82.3977139761322,23,2.06011401510742,-2.0140751171618,6.036212172654444
15,94.1688159727225,23,2.06098947664133,-2.18615730059795,5.300162274132754
15,82.3977139761322,23,2.06014597730003,-2.37572097907137,5.896196279044043
18,94.1688159727225,23,2.05991520271018,-2.15398329492358,5.152427340857888
20,82.3977139761322,23,2.06190622419338,-2.73585158225704,5.079876673709276
28,164.795427952264,30,4.73874588818613,-3.49260632232564,5.634512015109101
31,176.566529948855,30,4.81050866708013,-3.39742486540444,4.522878745280337
32,176.566529948855,30,4.8329030600824,-3.21632887354127,4.672028376376989
18,105.939917969313,23,2.05923959185078,-1.78511865808652,6.070581074285707
18,82.3977139761322,23,2.05934463463398,-1.90156455005568,5.139063379299906
18,82.3977139761322,23,2.05988864593669,-1.90941166006518,6.337242168318426
18,82.3977139761322,23,2.05999606109514,-2.39935588811267,6.1938200260161125
18,82.3977139761322,23,2.05936048782375,-2.49615809871879,5.91721462968355
18,82.3977139761322,23,2.05989048584561,-2.70960746658988,5.531652669587842
34,235.422039931806,30,3.18237388068058,-3.17226080021675,4.522878745280337
33,235.422039931806,30,2.82154014366154,-3.52343283424674,4.522878745280337
32,235.422039931806,30,3.25584308771175,-3.35345493781687,5.023650020996727
28,176.566529948855,30,4.76644880033627,-3.48799783042449,5.133122185662502
28,164.795427952264,30,4.73457274297096,-3.44632230587167,4.799149501908922
28,164.795427952264,30,4.73113817448486,-3.43511698890731,5.350665141287858
28,176.566529948855,30,4.7440153290339,-3.33987450650586,5.367542707815276
29,176.566529948855,30,4.74649848816834,-3.21813363339979,5.521433504406157
28,164.795427952264,30,4.73124909238627,-3.84255948558628,5.681936665037238
15,82.3977139761322,23,2.06106410303125,-2.22066921938342,5.36251027048749
15,94.1688159727225,23,2.06034739396052,-2.20907441351987,5.333482019445119
15,94.1688159727225,23,2.06156138939679,-2.19178889682121,5.281498311132726
16,94.1688159727225,23,2.06130226577634,-2.06425292188939,5.958607314841775
15,82.3977139761322,23,2.06231555386872,-2.6561095699113,5.042871802323187
15,82.3977139761322,23,2.06148685780406,-2.33915037530127,4.9503943874050265
16,129.482121962493,23,2.06405291949787,-1.80967447085047,5.568636235841013
15,129.482121962493,23,2.06455669485768,-1.93908554504338,5.522878745280337
24,141.253223959084,30,4.20047706000035,-2.95578083670153,5.701146923590294
24,117.711019965903,30,4.82116542149996,-3.07149780926883,5.235077015350112
24,117.711019965903,30,4.71310863566537,-3.37422754546138,6.769551078621726
24,117.711019965903,30,4.8434679490819,-3.45596495373856,5.723538195826756
24,117.711019965903,30,4.79350517417291,-3.71532904827181,7.221848749616356
24,117.711019965903,30,4.86233041587369,-3.33969966037011,5.809668301829708
