F06[C-C],SpMin1_Bh(p),SpDiam_B(p),nArCONHR,CATS3D_08_DP,RDF070i,alvo
25,2.06619545627947,5.88740643086387,0,0,44.6204983023616,6.431798275933005
18,2.0860263639504,5.81360215202647,1,1,15.9243700703221,6.468521082957745
18,2.08573258080707,5.8157631103903,1,1,16.8144102703322,5.388276691992658
18,2.0863418790973,5.81383171869221,1,1,19.7093587731819,5.6439741428068775
18,2.08594024176855,5.81291036290411,1,1,18.5177100175194,6.1249387366083
19,2.0870028368817,5.81337402654049,1,1,16.9017416499197,5.681936665037238
29,2.09330762417941,5.82974957719216,2,0,25.9306778239393,5.882728704344236
30,2.09496805780448,5.83191537005261,2,0,22.6123439824212,6.7447274948966935
15,2.08521245223812,5.81092879741412,0,1,16.3565747820292,5.943095148663527
15,2.08525417543728,5.81144540858591,0,1,17.36619558361,6.036212172654444
15,2.08506564352015,5.81119089889248,0,1,17.4817364229736,5.300162274132754
15,2.08490830692647,5.81190257626986,0,1,15.6713267560579,5.896196279044043
18,2.08691350922283,5.81317139359221,1,1,22.3342208157797,5.152427340857888
20,2.08794321269317,5.81591053382654,1,1,23.4380240148632,5.079876673709276
28,2.09898601626382,5.81414767986047,1,0,27.6506253308067,5.634512015109101
31,2.09964145368162,5.814826737443,2,0,28.6102000038426,4.522878745280337
32,2.09963830267315,5.81470678117088,2,0,32.3115259160475,4.672028376376989
18,2.08635950387746,5.8121775097366,1,1,18.0543828315149,6.070581074285707
18,2.08646359850713,5.81373161063582,1,1,18.2251767063575,5.139063379299906
18,2.08645048357548,5.81334172719985,1,1,16.0485781127581,6.337242168318426
18,2.08559786896648,5.81507790454784,1,1,18.8126966905532,6.1938200260161125
18,2.08575397895544,5.81397275687355,1,1,15.9283226259941,5.91721462968355
18,2.08571046051047,5.81391888953644,1,1,16.8783582319406,5.531652669587842
34,2.100315590279,5.81601962252365,2,0,30.8207289714728,4.522878745280337
33,2.1001994768437,5.8154959316774,2,0,26.5628835861014,4.522878745280337
32,2.09968011700452,5.81532815018943,2,0,32.6867940102199,5.023650020996727
28,2.09889675568643,5.81323949554472,1,0,26.9426690804583,5.133122185662502
28,2.09881867871683,5.81390911129692,1,0,22.0840698436359,4.799149501908922
28,2.09885133000887,5.81368944132382,1,0,24.3804329803872,5.350665141287858
28,2.0990711683359,5.81352319516937,1,0,25.1594091268963,5.367542707815276
29,2.09906885319117,5.81346864623789,1,0,24.9371124301095,5.521433504406157
28,2.09921921010724,5.81453848678124,1,0,27.8159068711753,5.681936665037238
15,2.08507729453642,5.8114993688159,0,1,17.5178369988962,5.36251027048749
15,2.08504544582534,5.81125322650018,0,1,18.3306547231055,5.333482019445119
15,2.08546367246724,5.81145934094929,0,1,19.1235524563974,5.281498311132726
16,2.08545128357926,5.81140586599502,0,1,18.8937794491861,5.958607314841775
15,2.08584475145002,5.81247834220892,0,1,21.7899853693759,5.042871802323187
15,2.08526639805938,5.81211967277179,0,1,21.6006256906031,4.9503943874050265
16,2.0854202267248,5.81113688629105,0,1,19.1476999952059,5.568636235841013
15,2.08524944045023,5.81112158012367,0,1,22.0756148892205,5.522878745280337
24,2.09228447187331,5.8247431661214,1,0,20.6326739100635,5.701146923590294
24,2.09242824118356,5.82855423101921,1,0,18.962016122318,5.235077015350112
24,2.09103003531457,5.83163528352519,1,0,22.7871259794939,6.769551078621726
24,2.0913009199319,5.8286176526699,1,0,19.54526596812,5.723538195826756
24,2.09122472469306,5.82866881412825,1,0,19.9760737807799,7.221848749616356
24,2.0917472751288,5.82835359939541,1,0,19.3985729325782,5.809668301829708
24,2.09126142626994,5.8328910036398,1,0,19.935803466274,6.4089353929735005
24,2.09224919650276,5.82845156735274,1,0,23.5979100256234,5.703334809738469
19,2.08706497115682,5.81451198472529,1,1,19.3148731270073,5.671620396561262
20,2.08728002724137,5.81436220766032,1,1,26.2790442608292,4.997402019280091
18,2.08647931227245,5.8128707774013,1,1,23.1311208000693,4.861697301833718
19,2.08651415006922,5.8149727873644,1,1,18.613969403522,5.85078088734462
20,2.08769753705472,5.81367748267197,1,1,20.1745120878708,6.086186147616283
19,2.08647003622582,5.81275485861368,1,1,20.3636493388513,6.366531544420414
19,2.08656870304183,5.81340066185761,1,0,18.8075172940047,5.4156687756324695
28,2.09305075387095,5.83348653180416,2,0,20.601837522233,5.966576244513051
27,2.09301384624112,5.82884265196669,2,0,26.3864016376687,5.823908740944319
24,2.09161171450811,5.8262001950927,1,0,21.2337499426753,5.425968732272281
25,2.09324728909685,5.82794450457889,1,0,20.2354047919719,6.356547323513813
20,2.08668915621692,5.81474632169287,1,1,39.5196305292111,5.812479279163537
27,2.093654664768,5.82929552795401,2,0,23.0566339100492,6.251811972993799
29,2.09502005934863,5.83667318883624,2,0,24.9184407222571,5.935542010773082
28,2.09385106569626,5.83349753397915,2,0,20.4889119213218,5.943095148663527
24,2.09246748562478,5.82672702856492,1,0,27.8017238688764,6.022276394711152
28,2.09299346952684,5.82834984313131,2,0,21.4782895700219,6.356547323513813
25,2.09244823997926,5.82623081857974,1,0,23.3527270971968,5.421360790031928
26,2.09422151040059,5.82841288369521,1,0,22.0212899123907,6.920818753952375
24,2.09229262573043,5.82549538266317,1,0,24.8606630000018,5.85078088734462
