F06[C-C],SpMin1_Bh(p),TPSA(Tot),TPSA(NO),HATS5s,Mor30i,alvo
25,2.06619545627947,100.3,91.92,1.97616608170271,0.269165765594346,6.431798275933005
18,2.0860263639504,85.31,85.31,1.46111102146797,-0.0093507164657193,6.468521082957745
18,2.08573258080707,85.31,85.31,1.66118148122098,-0.0214614108151781,5.388276691992658
18,2.0863418790973,85.31,85.31,1.27210744624444,0.15191891095504,5.6439741428068775
18,2.08594024176855,85.31,85.31,1.25532288133006,-0.0102673196535993,6.1249387366083
19,2.0870028368817,85.31,85.31,1.56266352128167,0.105661932288903,5.681936665037238
29,2.09330762417941,97.62,97.62,1.67722215147108,0.435799016430388,5.882728704344236
30,2.09496805780448,88.39,88.39,1.12546682515637,0.299416803409539,6.7447274948966935
15,2.08521245223812,97.34,97.34,1.13292362652433,-0.302397991256771,5.943095148663527
15,2.08525417543728,97.34,97.34,1.42024189878049,-0.216396499486502,6.036212172654444
15,2.08506564352015,97.34,97.34,1.16407403245561,-0.296918819909151,5.300162274132754
15,2.08490830692647,97.34,97.34,1.28336572100264,-0.285378903969936,5.896196279044043
18,2.08691350922283,85.31,85.31,1.42327278138551,0.0557076449411847,5.152427340857888
20,2.08794321269317,85.31,85.31,1.72171551178734,0.056031767385761,5.079876673709276
28,2.09898601626382,87.53,87.53,1.17866927685328,-0.376879855550217,5.634512015109101
31,2.09964145368162,84.73,84.73,1.38781923929688,-0.108990228086657,4.522878745280337
32,2.09963830267315,84.73,84.73,1.29992402983406,-0.320649901011329,4.672028376376989
18,2.08635950387746,85.31,85.31,1.27401611191412,-0.110254770909551,6.070581074285707
18,2.08646359850713,85.31,85.31,1.32219752566227,-0.0291159069579695,5.139063379299906
18,2.08645048357548,85.31,85.31,2.04131424140399,-0.0388760472300182,6.337242168318426
18,2.08559786896648,85.31,85.31,1.48746316408746,0.141504488214425,6.1938200260161125
18,2.08575397895544,85.31,85.31,1.43096221121181,0.0731349047157129,5.91721462968355
18,2.08571046051047,85.31,85.31,1.64575838683036,0.0128951567135156,5.531652669587842
34,2.100315590279,75.5,75.5,0.656540360899033,-0.300281644514892,4.522878745280337
33,2.1001994768437,75.5,75.5,0.842911455685103,-0.305490388312437,4.522878745280337
32,2.09968011700452,93.96,93.96,0.873019365983657,-0.109776886451566,5.023650020996727
28,2.09889675568643,87.53,87.53,0.892082094509395,-0.417465158248296,5.133122185662502
28,2.09881867871683,87.53,87.53,1.10983334628284,-0.587176129683205,4.799149501908922
28,2.09885133000887,87.53,87.53,1.02923221441146,-0.564836414060562,5.350665141287858
28,2.0990711683359,87.53,87.53,1.17772516516676,-0.487562205522825,5.367542707815276
29,2.09906885319117,87.53,87.53,1.11145639460061,-0.29013862024507,5.521433504406157
28,2.09921921010724,87.53,87.53,1.32297918355856,-0.3758183996609,5.681936665037238
15,2.08507729453642,97.34,97.34,1.18630528517064,-0.30963856720985,5.36251027048749
15,2.08504544582534,97.34,97.34,1.13154154594564,-0.222504255858329,5.333482019445119
15,2.08546367246724,97.34,97.34,1.49242022103071,-0.265201157444244,5.281498311132726
16,2.08545128357926,97.34,97.34,1.36821899836843,-0.0695815643985595,5.958607314841775
15,2.08584475145002,97.34,97.34,1.64072224555709,-0.13097580158602,5.042871802323187
15,2.08526639805938,97.34,97.34,1.48568544787985,-0.163099169221931,4.9503943874050265
16,2.0854202267248,97.34,97.34,1.06249047937363,-0.127646798870688,5.568636235841013
15,2.08524944045023,106.57,106.57,1.05501087749472,-0.0983277750738279,5.522878745280337
24,2.09228447187331,100.42,100.42,1.16782908523052,-0.303464336318648,5.701146923590294
24,2.09242824118356,100.42,100.42,2.47181689095547,-0.209220156117292,5.235077015350112
24,2.09103003531457,100.42,100.42,1.77321214498157,-0.14346188245298,6.769551078621726
24,2.0913009199319,100.42,100.42,1.34120758519552,-0.250833951329049,5.723538195826756
24,2.09122472469306,100.42,100.42,1.80591969648831,-0.140823184911761,7.221848749616356
24,2.0917472751288,100.42,100.42,1.36823580297148,-0.193146686337114,5.809668301829708
24,2.09126142626994,100.42,100.42,1.8250306205496,-0.138706509425431,6.4089353929735005
24,2.09224919650276,100.42,100.42,1.22463814053861,-0.189477164474982,5.703334809738469
19,2.08706497115682,85.31,85.31,1.56613905419677,0.0623284058690843,5.671620396561262
20,2.08728002724137,94.54,94.54,1.22746902225073,0.348846769312895,4.997402019280091
18,2.08647931227245,94.54,94.54,1.86090089198465,0.187596265251462,4.861697301833718
19,2.08651415006922,85.31,85.31,1.53919767290834,0.155170086347096,5.85078088734462
20,2.08769753705472,85.31,85.31,1.1546412604039,-0.0284276820494062,6.086186147616283
19,2.08647003622582,94.54,94.54,1.7987209216074,0.297956126641379,6.366531544420414
19,2.08656870304183,103.77,103.77,0.892755280978061,0.176934945516726,5.4156687756324695
28,2.09305075387095,88.39,88.39,1.43055490657142,0.16577846754896,5.966576244513051
27,2.09301384624112,97.62,97.62,1.72738505247849,0.236988200158726,5.823908740944319
24,2.09161171450811,100.42,100.42,1.26620300823395,-0.240648250305403,5.425968732272281
25,2.09324728909685,100.42,100.42,1.55071066934387,-0.110290996226256,6.356547323513813
20,2.08668915621692,113.0,113.0,1.08913132594653,0.243334904178663,5.812479279163537
27,2.093654664768,88.39,88.39,1.33243215975903,0.0251878971388722,6.251811972993799
29,2.09502005934863,88.39,88.39,1.68139848205098,0.174797339065783,5.935542010773082
28,2.09385106569626,88.39,88.39,1.46192814855781,0.141136505787452,5.943095148663527
24,2.09246748562478,109.65,109.65,1.78184835071149,0.0774148277282313,6.022276394711152
28,2.09299346952684,97.62,97.62,1.62546473291369,0.274109483485991,6.356547323513813
25,2.09244823997926,109.65,109.65,1.76143882436759,0.0654472415650583,5.421360790031928
26,2.09422151040059,100.42,100.42,1.01677192898718,-0.06881571791535,6.920818753952375
24,2.09229262573043,100.42,100.42,1.21683220335167,-0.25425523150545,5.85078088734462
24,2.09243623032813,100.42,100.42,2.47594718365187,-0.176032717791029,5.7121982700697735
24,2.09123414170093,100.42,100.42,1.84939076976415,-0.147929827492192,7.522878745280337
29,2.09470000639501,88.39,88.39,0.973792896042933,0.035291489975675,5.785156151952302
31,2.09920015290761,75.5,75.5,0.964228446641123,-0.352726231101392,4.522878745280337
31,2.0994241493746,75.5,75.5,1.03876092910879,-0.257822982788502,5.094743951251549
31,2.09927559450978,75.5,75.5,1.15182193995165,-0.309534405897198,5.13430394008393
21,2.08794145987161,85.31,85.31,1.08811607758424,-0.12890007869235,5.563837352959244
27,2.09283659612082,88.39,88.39,1.19017338052901,-0.116351161313407,5.935542010773082
27,2.09297577905092,88.39,88.39,2.30312458115772,-0.100241638478681,6.346787486224656
27,2.09162207236245,88.39,88.39,1.34121837646924,0.0653415307052477,4.633017024022149
