F03[C-N],HOMA,RNCG,SpMin1_Bh(p),F05[C-N],F06[C-C],alvo
10,0.777438276923076,0.150586894151745,2.06619545627947,7,25,6.431798275933005
9,0.7521839904,0.153070870033617,2.0860263639504,7,18,6.468521082957745
9,0.7521839904,0.150630953418243,2.08573258080707,7,18,5.388276691992658
9,0.7521839904,0.159800840019806,2.0863418790973,7,18,5.6439741428068775
9,0.7521839904,0.163573424861437,2.08594024176855,7,18,6.1249387366083
9,0.7521839904,0.134243550335054,2.0870028368817,8,19,5.681936665037238
12,0.738783943030303,0.110475722938088,2.09330762417941,13,29,5.882728704344236
12,0.740322333939394,0.096258603742711,2.09496805780448,15,30,6.7447274948966935
11,0.850856193043478,0.145390832683488,2.08521245223812,10,15,5.943095148663527
11,0.850856193043478,0.133763223895318,2.08525417543728,10,15,6.036212172654444
11,0.850856193043478,0.146303706524086,2.08506564352015,10,15,5.300162274132754
11,0.850856193043478,0.143091485721548,2.08490830692647,10,15,5.896196279044043
9,0.7521839904,0.134307147447364,2.08691350922283,7,18,5.152427340857888
9,0.7521839904,0.115396358000517,2.08794321269317,9,20,5.079876673709276
15,0.767293484516129,0.0959822119974778,2.09898601626382,12,28,5.634512015109101
13,0.697954366060606,0.130249133270545,2.09964145368162,9,31,4.522878745280337
13,0.699866145454545,0.130412421036889,2.09963830267315,9,32,4.672028376376989
9,0.7521839904,0.160380919819661,2.08635950387746,7,18,6.070581074285707
9,0.7521839904,0.146777119096961,2.08646359850713,7,18,5.139063379299906
9,0.7521839904,0.14938087488123,2.08645048357548,7,18,6.337242168318426
9,0.7521839904,0.158158999834749,2.08559786896648,7,18,6.1938200260161125
9,0.7542146664,0.160350682281801,2.08575397895544,7,18,5.91721462968355
9,0.7521839904,0.162565111551043,2.08571046051047,7,18,5.531652669587842
13,0.699155518181818,0.118869953518586,2.100315590279,10,34,4.522878745280337
13,0.697954366060606,0.118955393491684,2.1001994768437,11,33,4.522878745280337
13,0.699492756969697,0.152393647823095,2.09968011700452,9,32,5.023650020996727
15,0.767664089032258,0.111841114650388,2.09889675568643,12,28,5.133122185662502
15,0.767664089032258,0.109691432302794,2.09881867871683,12,28,4.799149501908922
15,0.767305092903226,0.111169157848155,2.09885133000887,12,28,5.350665141287858
15,0.767293484516129,0.0963391729421129,2.0990711683359,12,28,5.367542707815276
15,0.767664089032258,0.0964046439942992,2.09906885319117,13,29,5.521433504406157
15,0.767293484516129,0.0849395497354287,2.09921921010724,12,28,5.681936665037238
11,0.850856193043478,0.139306338433438,2.08507729453642,10,15,5.36251027048749
11,0.850856193043478,0.148003136128507,2.08504544582534,10,15,5.333482019445119
11,0.850856193043478,0.123533899455079,2.08546367246724,10,15,5.281498311132726
11,0.850856193043478,0.123628172649771,2.08545128357926,11,16,5.958607314841775
11,0.850856193043478,0.107355865937632,2.08584475145002,10,15,5.042871802323187
11,0.850856193043478,0.123020180351105,2.08526639805938,10,15,4.9503943874050265
11,0.850856193043478,0.144024388622942,2.0854202267248,11,16,5.568636235841013
11,0.850856193043478,0.184532238023741,2.08524944045023,10,15,5.522878745280337
14,0.811127832258064,0.0977605520379153,2.09228447187331,15,24,5.701146923590294
14,0.810955876129032,0.0929478100131784,2.09242824118356,15,24,5.235077015350112
14,0.811248503225806,0.0967985314564983,2.09103003531457,15,24,6.769551078621726
14,0.810955876129032,0.0977475994138074,2.0913009199319,15,24,5.723538195826756
14,0.811127832258064,0.0986923525887486,2.09122472469306,15,24,7.221848749616356
14,0.810955876129032,0.0945863660265337,2.0917472751288,15,24,5.809668301829708
14,0.811127832258064,0.0935073998428528,2.09126142626994,15,24,6.4089353929735005
14,0.810955876129032,0.0975118141344335,2.09224919650276,15,24,5.703334809738469
9,0.7542146664,0.128479174521818,2.08706497115682,8,19,5.671620396561262
9,0.7521839904,0.198324582013161,2.08728002724137,7,20,4.997402019280091
9,0.7542146664,0.146119214896193,2.08647931227245,7,18,4.861697301833718
9,0.7521839904,0.133642365596854,2.08651415006922,8,19,5.85078088734462
9,0.7521839904,0.157063715313508,2.08769753705472,9,20,6.086186147616283
9,0.7521839904,0.146324749508522,2.08647003622582,7,19,6.366531544420414
9,0.7521839904,0.17025182472354,2.08656870304183,7,19,5.4156687756324695
12,0.738622408484848,0.0945166876968622,2.09305075387095,13,28,5.966576244513051
12,0.738783943030303,0.120992514189746,2.09301384624112,12,27,5.823908740944319
14,0.811127832258064,0.0991199796852808,2.09161171450811,15,24,5.425968732272281
14,0.811127832258064,0.085994871586899,2.09324728909685,16,25,6.356547323513813
9,0.7521839904,0.148111299004496,2.08668915621692,7,20,5.812479279163537
12,0.740322333939394,0.094899665986564,2.093654664768,12,27,6.251811972993799
12,0.738622408484848,0.0837234375374113,2.09502005934863,14,29,5.935542010773082
12,0.738622408484848,0.0915180656179078,2.09385106569626,13,28,5.943095148663527
14,0.811127832258064,0.110427610526827,2.09246748562478,15,24,6.022276394711152
12,0.738783943030303,0.121133404872878,2.09299346952684,12,28,6.356547323513813
14,0.810955876129032,0.110544958735799,2.09244823997926,15,25,5.421360790031928
14,0.810955876129032,0.0963308750250069,2.09422151040059,17,26,6.920818753952375
14,0.811127832258064,0.0910605739631306,2.09229262573043,15,24,5.85078088734462
14,0.812748848387097,0.0868707688287794,2.09243623032813,15,24,5.7121982700697735
14,0.812748848387097,0.0918685022905276,2.09123414170093,15,24,7.522878745280337
12,0.739058835151515,0.107598630252621,2.09470000639501,14,29,5.785156151952302
13,0.697954366060606,0.119672194146179,2.09920015290761,9,31,4.522878745280337
13,0.699155518181818,0.116330831337114,2.0994241493746,9,31,5.094743951251549
13,0.697617127272727,0.114718111759137,2.09927559450978,9,31,5.13430394008393
9,0.7521839904,0.156933298971348,2.08794145987161,8,21,5.563837352959244
12,0.738783943030303,0.1093854263302,2.09283659612082,12,27,5.935542010773082
12,0.738783943030303,0.103395116743929,2.09297577905092,12,27,6.346787486224656
12,0.738783943030303,0.108182419471468,2.09162207236245,12,27,4.633017024022149
12,0.741845106666666,0.0976861204636099,2.09315556474637,13,28,5.739928612014925
12,0.740322333939394,0.0928805240434246,2.09329160306068,13,28,5.790484985457369
12,0.738783943030303,0.097673187554068,2.0922263947321,13,28,6.180456064458132
12,0.740322333939394,0.0934393015442376,2.09218740119937,13,28,4.522878745280337
12,0.738783943030303,0.0974377606960562,2.09312502937637,13,28,5.554395796726403
12,0.740189579393939,0.0990434644840064,2.09252115135988,13,28,5.7447274948966935
12,0.740322333939394,0.0859372726038141,2.09405637219457,14,29,4.897223385116559
13,0.700203384242424,0.120744160442093,2.09956922025163,9,31,5.150580586203101
12,0.738622408484848,0.10936921037421,2.09188505279968,12,27,6.045757490560675
12,0.740322333939394,0.110553330231632,2.0918104571356,12,27,5.939302159646388
14,0.811127832258064,0.0860249536033771,2.093128232789,15,24,5.563837352959244
14,0.811127832258065,0.0767390456172651,2.0945533137629,17,26,6.958607314841775
14,0.811127832258064,0.0832369621693857,2.09333860058524,16,25,6.3872161432802645
14,0.811127832258064,0.0857101370105555,2.09250978605232,16,25,6.096910013008056
12,0.738560061818182,0.098616495920139,2.09215283495727,13,28,7.397940008672037
12,0.740670477575758,0.0945166876968622,2.0926470541677,13,28,5.543633966870957
14,0.812748848387097,0.0883004198000314,2.09175610488989,15,24,5.892790030352131
12,0.738622408484848,0.0859673143291468,2.09395705442434,13,28,5.795880017344075
13,0.697268983636363,0.123195894785218,2.09938233441598,9,31,5.197226274708024
13,0.699144613333333,0.103707568408682,2.09988921613502,10,32,4.522878745280337
13,0.699492756969697,0.103750910617322,2.0998383859168,9,31,5.769551078621726
13,0.699492756969697,0.0997588878773194,2.09991777308681,10,32,4.522878745280337
13,0.697954366060606,0.103297614591051,2.09965997635001,10,32,4.522878745280337
14,0.812748848387097,0.0908447243955066,2.0922558099583,15,24,5.935542010773082
14,0.810889507096774,0.0807674415250543,2.09325706699376,16,25,6.251811972993799
14,0.810889507096774,0.080793976901747,2.09313356134136,15,24,5.756961951313706
14,0.811127832258065,0.0725489231451442,2.09456508418728,17,26,8.0
12,0.738783943030303,0.076693175081904,2.09528030953292,15,30,6.259637310505756
12,0.738783943030303,0.105426745819386,2.09231636091756,12,27,6.050609993355088
12,0.738783943030303,0.104088040628961,2.09184591237346,12,27,5.889410289700751
12,0.738783943030303,0.109074109765944,2.09280371723642,12,27,6.008773924307505
12,0.738783943030303,0.111090198931021,2.09218640060216,12,27,6.309803919971486
12,0.738783943030303,0.0948630583449304,2.09376289501069,13,28,5.966576244513051
13,0.697617127272727,0.121122175946141,2.09958922659715,9,31,4.522878745280337
13,0.699155518181818,0.113889203535103,2.09963352848223,9,31,5.100179497572904
14,0.811127832258064,0.0783298831318575,2.09334837401139,16,25,7.221848749616356
12,0.740322333939394,0.0831829972560538,2.09414241529169,14,29,6.337242168318426
12,0.738783943030303,0.0856529186970186,2.09336158898645,14,29,5.609064892896621
12,0.740322333939394,0.110358521598692,2.09332913109663,13,28,5.987162775294828
