F06[C-C],F03[C-N],SpMin1_Bh(p),F05[C-N],nCsp2,RDF075p,F04[S-F],F05[N-Br],alvo
25,10,2.06619545627947,7,20,15.0460000971666,1,0,6.431798275933005
18,9,2.0860263639504,7,19,5.75172411518358,0,0,6.468521082957745
18,9,2.08573258080707,7,19,6.0894435345943,0,0,5.388276691992658
18,9,2.0863418790973,7,19,5.72260815686839,0,0,5.6439741428068775
18,9,2.08594024176855,7,19,5.49011347404307,0,0,6.1249387366083
19,9,2.0870028368817,8,19,5.99326872659364,0,0,5.681936665037238
29,12,2.09330762417941,13,26,9.04247216633065,0,0,5.882728704344236
30,12,2.09496805780448,15,26,9.81324884127648,0,0,6.7447274948966935
15,11,2.08521245223812,10,19,5.17378226154855,0,0,5.943095148663527
15,11,2.08525417543728,10,19,4.88528418603512,0,0,6.036212172654444
15,11,2.08506564352015,10,19,5.38873372545988,0,0,5.300162274132754
15,11,2.08490830692647,10,19,5.25877767771983,0,0,5.896196279044043
18,9,2.08691350922283,7,19,5.50610898108139,0,0,5.152427340857888
20,9,2.08794321269317,9,19,8.41483357242803,0,0,5.079876673709276
28,15,2.09898601626382,12,27,9.72186901606999,0,0,5.634512015109101
31,13,2.09964145368162,9,27,11.9318381686119,0,0,4.522878745280337
32,13,2.09963830267315,9,27,13.0559945399119,0,0,4.672028376376989
18,9,2.08635950387746,7,19,5.89228860408523,0,0,6.070581074285707
18,9,2.08646359850713,7,19,5.86406175899293,0,0,5.139063379299906
18,9,2.08645048357548,7,19,5.78501665874946,0,0,6.337242168318426
18,9,2.08559786896648,7,19,7.93032741489296,0,0,6.1938200260161125
18,9,2.08575397895544,7,19,5.74306517966232,0,0,5.91721462968355
18,9,2.08571046051047,7,19,6.42562302168456,0,0,5.531652669587842
34,13,2.100315590279,10,27,16.5525861006768,0,0,4.522878745280337
33,13,2.1001994768437,11,27,12.5808634331039,0,0,4.522878745280337
32,13,2.09968011700452,9,27,14.3977317501535,0,0,5.023650020996727
28,15,2.09889675568643,12,27,14.1201231281514,0,0,5.133122185662502
28,15,2.09881867871683,12,27,10.2007347933543,0,0,4.799149501908922
28,15,2.09885133000887,12,27,9.90045753403472,0,0,5.350665141287858
28,15,2.0990711683359,12,27,10.0250108027035,0,0,5.367542707815276
29,15,2.09906885319117,13,27,9.85650893781492,0,0,5.521433504406157
28,15,2.09921921010724,12,27,10.5533325718772,0,0,5.681936665037238
15,11,2.08507729453642,10,19,5.15500376016349,0,0,5.36251027048749
15,11,2.08504544582534,10,19,4.86956108833088,0,1,5.333482019445119
15,11,2.08546367246724,10,19,5.42438767522612,0,0,5.281498311132726
16,11,2.08545128357926,11,19,5.25284484049616,0,0,5.958607314841775
15,11,2.08584475145002,10,19,5.9511695769245,0,0,5.042871802323187
15,11,2.08526639805938,10,19,5.12125443844629,0,0,4.9503943874050265
16,11,2.0854202267248,11,19,4.88896674502652,0,0,5.568636235841013
15,11,2.08524944045023,10,19,4.69827513261292,0,0,5.522878745280337
24,14,2.09228447187331,15,26,8.25894453423034,0,0,5.701146923590294
24,14,2.09242824118356,15,26,8.24016872699198,0,0,5.235077015350112
24,14,2.09103003531457,15,26,8.7371523415601,0,0,6.769551078621726
24,14,2.0913009199319,15,26,8.98440391553464,0,0,5.723538195826756
24,14,2.09122472469306,15,26,9.29232777779493,0,0,7.221848749616356
24,14,2.0917472751288,15,26,8.79423665907411,0,0,5.809668301829708
24,14,2.09126142626994,15,26,9.05653815321183,0,0,6.4089353929735005
24,14,2.09224919650276,15,26,8.90018443910305,0,0,5.703334809738469
