NddssS,NsF,CATS2D_08_PL,CATS2D_01_LL,T(Cl..Br),B07[N-F],B08[C-F],B08[N-S],F01[O-S],F02[C-Cl],F06[C-C],alvo
1,2,0,10,0,1,1,1,2,2,25,6.431798275933005
0,1,1,7,0,0,1,0,0,2,18,6.468521082957745
0,1,1,6,0,0,1,0,0,4,18,5.388276691992658
0,0,1,9,0,0,0,0,0,2,18,5.6439741428068775
0,0,1,8,0,0,0,0,0,0,18,6.1249387366083
0,3,1,10,0,0,1,0,0,0,19,5.681936665037238
0,6,0,12,0,0,1,0,0,2,29,5.882728704344236
0,3,0,16,0,0,1,0,0,2,30,6.7447274948966935
0,0,1,8,0,0,0,0,0,0,15,5.943095148663527
0,2,1,5,0,1,1,0,0,0,15,6.036212172654444
0,0,1,6,0,0,0,0,0,2,15,5.300162274132754
0,0,1,6,0,0,0,0,0,4,15,5.896196279044043
0,3,1,10,0,1,1,0,0,0,18,5.152427340857888
0,6,1,10,0,0,1,0,0,0,20,5.079876673709276
0,3,0,13,0,1,1,0,0,2,28,5.634512015109101
0,3,0,15,0,1,1,0,0,0,31,4.522878745280337
0,3,0,15,0,0,0,0,0,0,32,4.672028376376989
0,0,1,10,0,0,0,0,0,0,18,6.070581074285707
0,2,1,6,0,0,1,0,0,0,18,5.139063379299906
0,2,1,6,0,0,1,0,0,0,18,6.337242168318426
0,0,1,7,0,0,0,0,0,4,18,6.1938200260161125
0,0,1,7,0,0,0,0,0,4,18,5.91721462968355
0,0,1,6,0,0,0,0,0,4,18,5.531652669587842
0,0,0,19,0,0,0,0,0,0,34,4.522878745280337
0,0,0,19,0,0,0,0,0,0,33,4.522878745280337
0,0,0,14,0,0,0,0,0,0,32,5.023650020996727
0,0,0,13,0,0,0,0,0,2,28,5.133122185662502
0,0,0,13,0,0,0,0,0,4,28,4.799149501908922
0,0,0,12,0,0,0,0,0,4,28,5.350665141287858
0,3,0,15,0,1,1,0,0,0,28,5.367542707815276
0,3,0,15,0,0,0,0,0,0,29,5.521433504406157
0,6,0,15,0,1,1,0,0,0,28,5.681936665037238
0,1,1,5,0,1,1,0,0,2,15,5.36251027048749
0,0,1,6,0,0,0,0,0,0,15,5.333482019445119
0,3,1,8,0,1,1,0,0,0,15,5.281498311132726
0,3,1,8,0,0,0,0,0,0,16,5.958607314841775
0,6,1,8,0,1,1,0,0,0,15,5.042871802323187
0,3,1,6,0,1,1,0,0,2,15,4.9503943874050265
0,0,1,9,0,0,0,0,0,0,16,5.568636235841013
0,0,1,6,0,0,0,0,0,0,15,5.522878745280337
