SpMin1_Bh(p),SpMin2_Bh(p),SpMin4_Bh(s),P_VSA_LogP_3,P_VSA_e_1,F06[C-C],CATS3D_10_DA,CATS3D_03_DL,CATS3D_04_DL,CATS3D_11_AP,CATS3D_02_AL,alvo
2.06619545627947,2.02601826935175,0.931065293103387,81.1885888439456,188.337631945445,25,0,3,3,0,5,6.431798275933005
2.0860263639504,1.99765145799848,0.500273612352428,108.278339862292,117.711019965903,18,0,3,2,1,4,6.468521082957745
2.08573258080707,1.9901811668191,0.499861550665951,98.8020923888614,105.939917969313,18,0,3,1,1,4,5.388276691992658
2.0863418790973,2.00831314784042,0.632947805356888,108.278339862292,153.024325955674,18,0,3,2,1,4,5.6439741428068775
2.08594024176855,1.9947867343708,0.50133524594031,117.754587335722,129.482121962493,18,0,3,3,1,4,6.1249387366083
2.0870028368817,2.02041464859244,0.502462310768158,117.754587335722,129.482121962493,19,0,3,3,1,4,5.681936665037238
2.09330762417941,2.02077790684334,0.921870331431714,113.286142283947,164.795427952264,29,1,4,5,0,8,5.882728704344236
2.09496805780448,2.0316587331376,0.925019334497457,103.809894810516,223.650937935216,30,1,4,5,0,6,6.7447274948966935
2.08521245223812,2.00142833445082,0.50276913639601,127.230834809152,141.253223959084,15,0,4,6,1,3,5.943095148663527
2.08525417543728,2.00377585476209,0.502259110718896,108.278339862292,117.711019965903,15,0,4,4,1,3,6.036212172654444
2.08506564352015,1.99197049609749,0.502617021023897,117.754587335722,129.482121962493,15,0,3,6,1,3,5.300162274132754
2.08490830692647,1.98355584970004,0.502617007143713,108.278339862292,117.711019965903,15,0,4,6,1,3,5.896196279044043
2.08691350922283,2.02005942669178,0.503367048894455,117.754587335722,129.482121962493,18,0,3,3,1,4,5.152427340857888
2.08794321269317,2.03483201932622,0.50298341311034,108.278339862292,117.711019965903,20,0,3,3,1,4,5.079876673709276
2.09898601626382,2.01570956782541,1.01883045878569,141.714884704237,188.337631945445,28,0,6,7,0,8,5.634512015109101
2.09964145368162,2.02070045637634,1.01500904264452,151.191132177667,200.108733942035,31,0,5,4,0,11,4.522878745280337
2.09963830267315,2.02055874896055,1.01501072005369,151.191132177667,200.108733942035,32,1,5,5,0,11,4.672028376376989
2.08635950387746,2.00540545547038,0.501722870497825,127.230834809152,141.253223959084,18,0,3,3,1,4,6.070581074285707
2.08646359850713,2.00750306233123,0.500604407980756,108.278339862292,117.711019965903,18,0,3,3,1,4,5.139063379299906
2.08645048357548,2.0074207811298,0.500406281083722,108.278339862292,117.711019965903,18,0,3,1,1,4,6.337242168318426
2.08559786896648,1.9887011861237,0.501323819748282,108.278339862292,117.711019965903,18,0,2,3,1,3,6.1938200260161125
2.08575397895544,1.99026209521765,0.500602083881207,108.278339862292,117.711019965903,18,0,3,2,1,4,5.91721462968355
2.08571046051047,1.98955853169253,0.500852112643221,108.278339862292,117.711019965903,18,0,3,1,1,4,5.531652669587842
2.100315590279,2.03949561226607,1.01827009496403,141.714884704237,258.964243924987,34,0,7,5,0,9,4.522878745280337
2.1001994768437,2.03834368372498,1.01853795742223,141.714884704237,258.964243924987,33,0,5,5,0,9,4.522878745280337
2.09968011700452,2.02292384629704,1.01523260489464,141.714884704237,258.964243924987,32,1,5,4,0,11,5.023650020996727
2.09889675568643,2.00776564210862,1.01833075488575,151.191132177667,200.108733942035,28,1,5,8,0,8,5.133122185662502
2.09881867871683,2.00468003844823,1.0182329166249,141.714884704237,188.337631945445,28,1,6,8,0,8,4.799149501908922
2.09885133000887,2.00529626260329,1.01822575877239,141.714884704237,188.337631945445,28,1,5,7,0,8,5.350665141287858
2.0990711683359,2.02382564696007,1.0188568600694,151.191132177667,200.108733942035,28,0,6,8,0,8,5.367542707815276
2.09906885319117,2.02345633977803,1.01887221364214,151.191132177667,200.108733942035,29,0,6,8,0,8,5.521433504406157
2.09921921010724,2.03798513371883,1.0190067440647,141.714884704237,188.337631945445,28,0,6,8,0,8,5.681936665037238
2.08507729453642,1.99284191905579,0.502134226776001,108.278339862292,117.711019965903,15,0,3,5,1,3,5.36251027048749
2.08504544582534,1.98969829580124,0.50258455391224,117.754587335722,129.482121962493,15,0,4,5,1,3,5.333482019445119
2.08546367246724,2.01845975502365,0.503093759356635,117.754587335722,129.482121962493,15,0,4,6,1,3,5.281498311132726
2.08545128357926,2.01804149728874,0.50343007551463,117.754587335722,129.482121962493,16,0,4,6,1,3,5.958607314841775
2.08584475145002,2.03465332789726,0.503319171308476,108.278339862292,117.711019965903,15,0,4,6,1,3,5.042871802323187
2.08526639805938,2.00743667562855,0.50272119636466,108.278339862292,117.711019965903,15,0,4,5,1,3,4.9503943874050265
2.0854202267248,2.01617015349516,0.622454734960986,117.754587335722,164.795427952264,16,0,4,6,1,3,5.568636235841013
2.08524944045023,2.00571414114243,0.5763816991492829,117.754587335722,164.795427952264,15,0,4,5,1,5,5.522878745280337
2.09228447187331,2.0124067050695,0.922823814340292,122.762389757377,176.566529948855,24,1,5,6,0,5,5.701146923590294
2.09242824118356,2.0130879619726,0.921235408941594,103.809894810516,153.024325955674,24,1,5,4,0,5,5.235077015350112
2.09103003531457,2.00862297742113,0.922432505730654,103.809894810516,153.024325955674,24,1,4,6,0,4,6.769551078621726
2.0913009199319,2.00894686800964,0.922319354417291,103.809894810516,153.024325955674,24,1,5,5,0,5,5.723538195826756
2.09122472469306,2.00881398891552,0.922351579779621,103.809894810516,153.024325955674,24,1,5,4,0,5,7.221848749616356
2.0917472751288,2.0103258171042,0.921771671877701,103.809894810516,153.024325955674,24,1,5,5,0,5,5.809668301829708
2.09126142626994,2.00891159965833,0.921460162934756,94.3336473370863,141.253223959084,24,1,5,4,0,5,6.4089353929735005
2.09224919650276,2.01334893659617,0.925342893954904,103.809894810516,188.337631945445,24,1,5,5,0,5,5.703334809738469
2.08706497115682,2.02151511619562,0.501256147457605,108.278339862292,117.711019965903,19,0,3,3,1,4,5.671620396561262
2.08728002724137,2.02399897829507,0.605120197337969,108.278339862292,188.337631945445,20,0,5,2,1,6,4.997402019280091
2.08647931227245,2.00975559244239,0.501397410136121,117.754587335722,129.482121962493,18,0,3,2,2,6,4.861697301833718
2.08651415006922,2.0106309332799,0.501632259485693,108.278339862292,117.711019965903,19,0,3,3,1,4,5.85078088734462
2.08769753705472,2.03167675784033,0.718665916907533,108.278339862292,188.337631945445,20,0,3,3,1,4,6.086186147616283
2.08647003622582,2.0095670321853,0.501113820129819,117.754587335722,129.482121962493,19,0,3,3,1,6,6.366531544420414
2.08656870304183,2.01306051465863,0.578795335671293,108.278339862292,188.337631945445,19,0,3,2,0,6,5.4156687756324695
2.09305075387095,2.01412678265201,0.922072194521243,103.809894810516,153.024325955674,28,1,4,4,0,6,5.966576244513051
2.09301384624112,2.01367836083826,0.921118491503839,113.286142283947,164.795427952264,27,1,4,3,0,8,5.823908740944319
2.09161171450811,2.00976399887354,0.922974432799298,113.286142283947,164.795427952264,24,1,5,6,0,5,5.425968732272281
2.09324728909685,2.01937556196839,0.923840769565159,113.286142283947,164.795427952264,25,1,5,6,0,5,6.356547323513813
2.08668915621692,2.01690366418984,0.584346366231319,98.8020923888614,211.879835938626,20,0,3,1,2,6,5.812479279163537
2.093654664768,2.01979170094292,0.922405826990903,113.286142283947,164.795427952264,27,1,4,4,0,6,6.251811972993799
2.09502005934863,2.03140548734206,0.922888297952231,103.809894810516,153.024325955674,29,1,4,4,0,6,5.935542010773082
2.09385106569626,2.0208099895672,0.921716955109987,103.809894810516,153.024325955674,28,1,4,4,0,6,5.943095148663527
2.09246748562478,2.01393417939642,0.922679221092893,113.286142283947,164.795427952264,24,1,5,5,0,7,6.022276394711152
2.09299346952684,2.01358142304027,0.921088399376263,113.286142283947,164.795427952264,28,1,4,4,0,8,6.356547323513813
