F06[C-C],alvo
25,6.431798275933005
18,6.468521082957745
18,5.388276691992658
18,5.6439741428068775
18,6.1249387366083
19,5.681936665037238
29,5.882728704344236
30,6.7447274948966935
15,5.943095148663527
15,6.036212172654444
15,5.300162274132754
15,5.896196279044043
18,5.152427340857888
20,5.079876673709276
28,5.634512015109101
31,4.522878745280337
32,4.672028376376989
18,6.070581074285707
18,5.139063379299906
18,6.337242168318426
18,6.1938200260161125
18,5.91721462968355
18,5.531652669587842
34,4.522878745280337
33,4.522878745280337
32,5.023650020996727
28,5.133122185662502
28,4.799149501908922
28,5.350665141287858
28,5.367542707815276
29,5.521433504406157
28,5.681936665037238
15,5.36251027048749
15,5.333482019445119
15,5.281498311132726
16,5.958607314841775
15,5.042871802323187
15,4.9503943874050265
16,5.568636235841013
15,5.522878745280337
24,5.701146923590294
24,5.235077015350112
24,6.769551078621726
24,5.723538195826756
24,7.221848749616356
24,5.809668301829708
24,6.4089353929735005
24,5.703334809738469
19,5.671620396561262
20,4.997402019280091
18,4.861697301833718
19,5.85078088734462
20,6.086186147616283
19,6.366531544420414
19,5.4156687756324695
28,5.966576244513051
27,5.823908740944319
24,5.425968732272281
25,6.356547323513813
20,5.812479279163537
27,6.251811972993799
29,5.935542010773082
28,5.943095148663527
24,6.022276394711152
28,6.356547323513813
25,5.421360790031928
26,6.920818753952375
24,5.85078088734462
24,5.7121982700697735
24,7.522878745280337
29,5.785156151952302
31,4.522878745280337
31,5.094743951251549
31,5.13430394008393
21,5.563837352959244
27,5.935542010773082
27,6.346787486224656
27,4.633017024022149
28,5.739928612014925
28,5.790484985457369
28,6.180456064458132
28,4.522878745280337
28,5.554395796726403
28,5.7447274948966935
29,4.897223385116559
31,5.150580586203101
27,6.045757490560675
27,5.939302159646388
24,5.563837352959244
26,6.958607314841775
25,6.3872161432802645
25,6.096910013008056
28,7.397940008672037
28,5.543633966870957
24,5.892790030352131
28,5.795880017344075
31,5.197226274708024
32,4.522878745280337
31,5.769551078621726
32,4.522878745280337
32,4.522878745280337
24,5.935542010773082
25,6.251811972993799
24,5.756961951313706
26,8.0
30,6.259637310505756
27,6.050609993355088
27,5.889410289700751
27,6.008773924307505
27,6.309803919971486
28,5.966576244513051
31,4.522878745280337
31,5.100179497572904
25,7.221848749616356
29,6.337242168318426
29,5.609064892896621
28,5.987162775294828
