PJI2,P_VSA_s_1,C-005,SssNH,B08[N-F],B09[C-S],CATS3D_15_AA,alvo
0.888888888888889,5.80743645371953,0,2.07495899272942,0,1,0,6.431798275933005
1.0,0.0,0,2.77994708994709,0,0,0,6.468521082957745
1.0,0.0,0,2.74852733686067,0,0,0,5.388276691992658
1.0,0.0,0,2.90239606953893,0,0,0,5.6439741428068775
1.0,0.0,0,2.91850970017637,0,0,0,6.1249387366083
1.0,0.0,0,2.62567334341144,0,0,0,5.681936665037238
1.0,0.0,0,5.12456921639121,1,0,0,5.882728704344236
0.9,0.0,0,5.43833620981515,0,0,0,6.7447274948966935
1.0,0.0,0,5.62476269905473,0,0,0,5.943095148663527
0.875,0.0,0,4.96002606829131,0,0,0,6.036212172654444
1.0,0.0,0,5.55753102860877,0,0,0,5.300162274132754
1.0,0.0,0,5.46245386811494,0,0,0,5.896196279044043
0.875,0.0,0,2.69130944507433,0,0,0,5.152427340857888
1.0,0.0,0,2.33699420508944,0,0,0,5.079876673709276
1.0,0.0,0,7.88209271026229,0,0,0,5.634512015109101
1.0,0.0,0,5.57227068440353,0,0,0,4.522878745280337
0.909090909090909,0.0,0,5.63076891345171,1,0,1,4.672028376376989
0.857142857142857,0.0,0,2.91435248173343,0,0,0,6.070581074285707
1.0,0.0,0,2.61220017636684,0,0,0,5.139063379299906
0.857142857142857,0.0,0,2.63546359284455,0,0,0,6.337242168318426
0.857142857142857,0.0,0,2.8393216175359,0,0,0,6.1938200260161125
1.0,0.0,0,2.85931216931217,0,0,0,5.91721462968355
0.857142857142857,0.0,0,2.85151297556059,0,0,0,5.531652669587842
1.0,0.0,0,5.9588970056873,0,0,0,4.522878745280337
1.0,0.0,0,5.94453590687565,0,0,0,4.522878745280337
1.0,0.0,2,5.87176981044283,0,0,1,5.023650020996727
0.9,0.0,0,8.53174371649812,0,0,0,5.133122185662502
0.9,0.0,0,8.43041898794354,0,0,0,4.799149501908922
1.0,0.0,0,8.47714115209273,0,0,0,5.350665141287858
1.0,0.0,0,7.93669527466768,0,0,0,5.367542707815276
0.909090909090909,0.0,0,8.08765719793781,1,0,0,5.521433504406157
1.0,0.0,0,7.26895534883624,0,0,0,5.681936665037238
0.875,0.0,0,5.33895180525276,0,0,0,5.36251027048749
0.875,0.0,0,5.63404805903205,0,0,0,5.333482019445119
0.875,0.0,0,5.01421966239562,0,0,0,5.281498311132726
1.0,0.0,0,5.15871382811746,1,0,0,5.958607314841775
0.875,0.0,0,4.40367662573651,0,0,0,5.042871802323187
0.875,0.0,0,4.96442901928652,0,0,0,4.9503943874050265
0.875,0.0,0,5.66660014236538,0,0,0,5.568636235841013
1.0,0.0,1,5.61787289683754,0,0,0,5.522878745280337
1.0,0.0,0,7.76188558538179,0,0,0,5.701146923590294
1.0,0.0,0,7.39081323365182,1,0,0,5.235077015350112
1.0,0.0,0,7.66311703124608,0,0,0,6.769551078621726
0.909090909090909,0.0,0,7.68605327445058,0,0,0,5.723538195826756
1.0,0.0,0,7.67692710049485,0,0,0,7.221848749616356
0.909090909090909,0.0,0,7.57594788153088,1,0,0,5.809668301829708
0.909090909090909,0.0,0,7.53346863908741,1,0,0,6.4089353929735005
0.909090909090909,0.0,0,7.74582477346413,0,0,0,5.703334809738469
1.0,0.0,0,2.52268770471151,0,0,0,5.671620396561262
1.0,0.0,1,2.95094545225498,0,0,0,4.997402019280091
0.875,0.0,0,2.66760574137062,0,0,0,4.861697301833718
1.0,0.0,0,2.60205278407659,0,0,0,5.85078088734462
0.857142857142857,0.0,0,2.96879692617788,0,0,0,6.086186147616283
1.0,0.0,0,2.71903112402368,1,0,0,6.366531544420414
0.875,0.0,2,2.9067757149156,0,0,0,5.4156687756324695
1.0,0.0,0,5.2114482273594,1,0,0,5.966576244513051
0.909090909090909,0.0,0,5.28541717026063,0,0,1,5.823908740944319
0.909090909090909,0.0,0,7.76706940441594,0,0,0,5.425968732272281
0.909090909090909,0.0,0,7.35749391971059,1,0,0,6.356547323513813
0.875,0.0,3,2.9025353521038,0,0,0,5.812479279163537
0.909090909090909,0.0,0,5.313951208465,0,0,0,6.251811972993799
1.0,0.0,0,4.88686606620215,1,0,0,5.935542010773082
1.0,0.0,0,5.11479919737704,1,0,0,5.943095148663527
1.0,0.0,0,7.40408618641711,0,0,1,6.022276394711152
1.0,0.0,0,5.34391539930882,1,0,0,6.356547323513813
0.916666666666667,0.0,0,7.46760337961527,1,0,0,5.421360790031928
1.0,0.0,0,7.83224605678107,0,0,0,6.920818753952375
1.0,0.0,0,7.75037145732892,0,0,0,5.85078088734462
1.0,0.0,0,7.37929910559894,1,0,0,5.7121982700697735
1.0,0.0,0,7.66541297244198,0,0,0,7.522878745280337
0.9,0.0,0,5.65768239273276,0,0,0,5.785156151952302
1.0,0.0,0,5.79254782915497,0,0,0,4.522878745280337
0.9,0.0,0,5.7176479244199,0,0,0,5.094743951251549
0.9,0.0,0,5.67998060327273,0,0,0,5.13430394008393
0.857142857142857,0.0,0,2.98240803728899,0,0,0,5.563837352959244
0.9,0.0,0,5.59419113429645,0,0,0,5.935542010773082
0.9,0.0,0,5.26312456960351,1,0,0,6.346787486224656
0.9,0.0,0,5.37484495137883,0,0,0,5.739928612014925
0.9,0.0,0,5.0437783866859,1,0,0,5.790484985457369
1.0,0.0,0,5.30809725734176,0,0,0,6.180456064458132
1.0,0.0,0,5.3605638736179,0,0,0,5.554395796726403
1.0,0.0,0,5.37959173898276,0,0,0,5.7447274948966935
0.9,0.0,0,5.86676357067841,0,0,0,5.150580586203101
1.0,0.0,0,5.52744344025937,0,0,0,6.045757490560675
0.9,0.0,0,5.5188564920021,0,0,0,5.939302159646388
1.0,0.0,0,7.43634707647333,0,0,0,5.563837352959244
0.909090909090909,0.0,0,6.95310225403939,1,0,0,6.958607314841775
0.909090909090909,0.0,0,7.21403545830315,1,0,0,6.3872161432802645
0.909090909090909,0.0,0,7.32414085122285,1,0,0,6.096910013008056
1.0,0.0,0,5.2114482273594,1,0,0,5.543633966870957
0.909090909090909,0.0,0,7.56443375347801,1,0,0,5.892790030352131
0.909090909090909,0.0,0,5.09460502554739,0,0,0,5.795880017344075
0.9,0.0,0,5.88579143604327,0,0,0,5.197226274708024
0.9,0.0,0,5.52738211439219,0,0,0,4.522878745280337
0.9,0.0,0,5.40165271151993,0,0,0,4.522878745280337
0.9,0.0,0,5.49830174150229,0,0,0,4.522878745280337
0.909090909090909,0.0,0,7.73431064541125,0,0,0,5.935542010773082
0.909090909090909,0.0,0,7.34597979165771,1,0,0,6.251811972993799
1.0,0.0,0,7.42483294842045,0,0,0,5.756961951313706
0.909090909090909,0.0,0,6.94158812598651,1,0,0,8.0
1.0,0.0,0,4.66751988328454,1,0,0,6.259637310505756
1.0,0.0,0,5.43079441027701,1,0,0,6.050609993355088
1.0,0.0,0,5.39312708912984,1,0,0,5.889410289700751
1.0,0.0,0,5.57991005653551,0,0,0,6.008773924307505
1.0,0.0,0,5.59893792190038,0,0,0,6.309803919971486
1.0,0.0,0,5.2405286002493,1,0,0,5.966576244513051
1.0,0.0,0,5.88104464843934,0,0,0,4.522878745280337
1.0,0.0,0,5.5499780837464,0,0,0,5.100179497572904
0.909090909090909,0.0,0,7.20252133025027,1,0,0,7.221848749616356
1.0,0.0,0,4.89545301445943,1,0,0,6.337242168318426
1.0,0.0,0,4.99210204444179,1,0,0,5.609064892896621
0.909090909090909,0.0,0,5.06607098734302,0,0,0,5.987162775294828
