TPSA(Tot),B02[C-Br],alvo
100.3,0,6.431798275933005
85.31,0,6.468521082957745
85.31,0,5.388276691992658
85.31,0,5.6439741428068775
85.31,1,6.1249387366083
85.31,0,5.681936665037238
97.62,0,5.882728704344236
88.39,0,6.7447274948966935
97.34,0,5.943095148663527
97.34,0,6.036212172654444
97.34,0,5.300162274132754
97.34,0,5.896196279044043
85.31,0,5.152427340857888
85.31,0,5.079876673709276
87.53,0,5.634512015109101
84.73,0,4.522878745280337
84.73,0,4.672028376376989
85.31,0,6.070581074285707
85.31,0,5.139063379299906
85.31,0,6.337242168318426
85.31,0,5.531652669587842
75.5,0,4.522878745280337
75.5,0,4.522878745280337
93.96,0,5.023650020996727
87.53,0,5.133122185662502
87.53,0,4.799149501908922
87.53,0,5.350665141287858
87.53,0,5.367542707815276
87.53,0,5.681936665037238
97.34,1,5.333482019445119
97.34,0,5.281498311132726
97.34,0,5.958607314841775
97.34,0,5.042871802323187
97.34,0,4.9503943874050265
97.34,0,5.568636235841013
106.57,0,5.522878745280337
100.42,0,5.235077015350112
100.42,0,6.769551078621726
100.42,0,7.221848749616356
100.42,0,5.809668301829708
100.42,0,6.4089353929735005
100.42,0,5.703334809738469
85.31,0,5.671620396561262
94.54,0,4.997402019280091
94.54,0,4.861697301833718
85.31,0,5.85078088734462
85.31,0,6.086186147616283
94.54,0,6.366531544420414
103.77,0,5.4156687756324695
88.39,0,5.966576244513051
97.62,0,5.823908740944319
100.42,1,5.425968732272281
100.42,0,6.356547323513813
113.0,0,5.812479279163537
88.39,0,6.251811972993799
88.39,0,5.935542010773082
88.39,0,5.943095148663527
109.65,0,6.022276394711152
97.62,0,6.356547323513813
109.65,0,5.421360790031928
100.42,0,6.920818753952375
100.42,0,5.85078088734462
100.42,0,5.7121982700697735
100.42,0,7.522878745280337
88.39,0,5.785156151952302
75.5,0,4.522878745280337
75.5,0,5.094743951251549
75.5,0,5.13430394008393
85.31,0,5.563837352959244
88.39,0,5.935542010773082
88.39,0,6.346787486224656
88.39,0,4.633017024022149
88.39,0,5.739928612014925
88.39,0,5.790484985457369
88.39,0,6.180456064458132
88.39,0,4.522878745280337
88.39,0,5.554395796726403
88.39,1,5.7447274948966935
88.39,0,4.897223385116559
75.5,0,5.150580586203101
88.39,0,6.045757490560675
88.39,0,5.939302159646388
100.42,0,5.563837352959244
100.42,0,6.958607314841775
100.42,0,6.3872161432802645
100.42,0,6.096910013008056
88.39,0,7.397940008672037
88.39,0,5.543633966870957
100.42,0,5.892790030352131
88.39,0,5.795880017344075
75.5,1,5.197226274708024
75.5,0,4.522878745280337
75.5,0,5.769551078621726
75.5,0,4.522878745280337
75.5,0,4.522878745280337
100.42,0,5.935542010773082
100.42,0,6.251811972993799
100.42,0,5.756961951313706
100.42,0,8.0
88.39,0,6.259637310505756
88.39,0,6.050609993355088
88.39,0,5.889410289700751
88.39,0,6.008773924307505
88.39,1,6.309803919971486
88.39,0,5.966576244513051
75.5,0,4.522878745280337
75.5,0,5.100179497572904
100.42,0,7.221848749616356
88.39,0,6.337242168318426
88.39,0,5.609064892896621
97.62,0,5.987162775294828
