F06[C-C],L1p,H6v,L1v,F03[C-N],RNCG,SpMin1_Bh(p),H6p,Tp,F05[C-N],Tv,L1e,P_VSA_p_2,SpMax_B(p),SM15_AEA(bo),Eig07_EA,H4s,SpDiam_B(v),TPSA(Tot),CATS3D_02_AL,SpDiam_B(p),RDF115v,Eig07_AEA(ri),RDF060p,SpMin1_Bh(e),SpMax1_Bh(e),nCsp2,RDF145s,DP15,VE3sign_RG,SpMax5_Bh(i),MATS1p,H7v,SM02_AEA(ri),Eig07_EA(ed),TPSA(NO),SP17,DP17,CATS2D_08_AL,SP18,DP16,nHAcc,SpDiam_AEA(bo),RDF075p,F04[S-F],F05[N-Br],RDF065i,alvo
25,7.31252837068396,0.100371940518328,7.31397812032684,10,0.150586894151745,2.06619545627947,0.0963908390735381,15.3691927609509,7,15.321535096307,7.28979730989835,119.433935643089,3.95496578428625,2.04175179551789,2.04175179551789,16.6410466054512,5.87591823825168,100.3,5,5.88740643086387,0.262611783405263,2.97861760223671,22.0702502034002,1.98635321747897,4.1515181027797,20,0.0,6.32586984103322,-4.17522430973857,3.46639436599873,-0.0385384310153089,0.0328660076724958,6.06520454741165,6.06520454741165,91.92,5.4805295873151,5.26156647157604,6,4.90445820414445,5.81695758452435,7,5.57517760505363,15.0460000971666,1,0,51.6498050217201,6.431798275933005
18,18.6612174449171,0.107851910905194,18.9492209314067,9,0.153070870033617,2.0860263639504,0.131162838760754,22.5068068511614,7,22.656809117069,19.2647252421217,110.910406475419,3.87394118668875,1.54755973755737,1.54755973755737,5.97112074593844,5.80003843451148,85.31,4,5.81360215202647,2.49638729108369,2.48375978133153,4.02813649783267,1.95307888375824,4.13557734323005,19,7.42023348909804,11.2688363968308,-2.74115419292797,3.314174691162,0.0267416993365248,0.0404797458838575,3.67563296206769,3.67563296206769,85.31,10.9774680049463,10.8755048850475,4,10.7342514147137,11.0977993790067,6,5.48003638055347,5.75172411518358,0,0,21.9298231643898,6.468521082957745
18,18.7414448344759,0.113729952831197,19.0328634219781,9,0.150630953418243,2.08573258080707,0.139840402456291,22.9750260979419,7,23.1010011262075,19.253656128923,110.910406475419,3.87594617072494,1.78229778538887,1.78229778538887,6.80479008158369,5.80154557549116,85.31,4,5.8157631103903,3.04776354353789,2.70683956370264,4.02025970796527,1.95258147595368,4.1356640447088,19,8.40586969078612,11.2454507584093,-2.74268029692436,3.31379490517628,0.0336337887759437,0.0407787359887795,5.22488835159337,5.22488835159337,85.31,10.9784014692148,10.8481071925984,4,10.7352078563132,11.0722084530482,6,5.48190928844314,6.0894435345943,0,0,22.6000156893973,5.388276691992658
18,20.5437499234767,0.120410204370051,20.1442680959814,9,0.159800840019806,2.0863418790973,0.145548899779305,24.6984759806506,7,24.0966731317824,21.2777202210934,110.910406475419,3.87420408920662,1.54755973755737,1.54755973755737,5.88730114211353,5.80009732348639,85.31,4,5.81383171869221,2.61057977698656,2.48383255587962,4.03743669080994,1.95747220831746,4.13596277149691,19,6.78264405708544,11.2943048643727,-2.95585926589957,3.35359310978206,0.0222604784196788,0.0485405129441552,3.67563296206769,3.67563296206769,85.31,11.0072585333932,10.9020357542915,4,10.7640268299443,11.1238854080973,5,5.48003638055348,5.72260815686839,0,0,24.6179592104612,5.6439741428068775
18,19.1978828179858,0.101331075250972,18.5234552832771,9,0.163573424861437,2.08594024176855,0.124495187771319,23.3926706160892,7,22.4940767426887,18.604781762698,110.910406475419,3.87337050789927,1.54755346745117,1.54755346745117,4.62598664061148,5.79929033303554,85.31,4,5.81291036290411,3.48794566217624,2.48362658442028,4.05301436860767,1.95408266064458,4.13542073287751,19,1.69926760753675,10.7162110551746,-2.74127406481273,3.305992187273,0.0266470284477692,0.0458679651156349,3.67452144824141,3.67452144824141,85.31,10.33479108482,10.2421074065933,4,10.0449616640063,10.5051039480256,5,5.47784106358798,5.49011347404307,0,0,21.9123073636908,6.1249387366083
19,19.6646352389803,0.138321295667378,21.1613743533249,9,0.134243550335054,2.0870028368817,0.132123587278673,23.4828823818165,8,24.7066277533379,23.0520678675773,110.910406475419,3.87370951016758,1.69651910641302,1.69651910641302,9.35848355501896,5.79995619025425,85.31,4,5.81337402654049,3.52656049759849,2.65271307273733,4.7733647723058,1.95712618473005,4.13616032971546,19,0.261130536745629,12.3768897258756,-2.950406947182,3.36976264907078,0.0150029018508288,0.0489198733681286,4.83133959414419,4.83133959414419,85.31,12.1168556286449,12.0904496841539,4,11.9180799360358,12.2604228292774,8,5.48504202303024,5.99326872659364,0,0,25.2424455929293,5.681936665037238
29,41.4421463014787,0.46434413537853,45.5405471390169,12,0.110475722938088,2.09330762417941,0.415895156765159,46.0536833477091,13,49.8739500976107,48.4910813293805,132.168784606408,3.88002156786439,2.35718527862919,2.35718527862919,20.1871468887152,5.81486937916492,97.62,8,5.82974957719216,9.62338466451644,3.29346031182826,9.86613975404913,1.95774810700654,4.14444666507868,26,74.4385390783607,19.0139147907933,-7.65122073383183,3.49802046559818,-0.0391212572387991,0.239263668543801,7.071334727584,7.071334727584,97.62,19.5323430847301,19.5683718960981,6,19.7453831363499,19.3185533095114,13,5.4998304931415,9.04247216633065,0,0,33.8421039773512,5.882728704344236
30,40.5850816075545,0.422237271072755,41.4681164417656,12,0.096258603742711,2.09496805780448,0.417686216989039,45.6749501474706,15,46.2898436980635,43.9978602163825,121.168896718802,3.8815030518489,2.26834921038088,2.26834921038088,18.0837857633435,5.81701604853122,88.39,6,5.83191537005261,9.63645191590146,3.22120021489705,11.1923518674152,1.96219070540602,4.14547681139231,26,32.2989394469648,17.251358787584,-5.93800291090434,3.48154758637916,-0.0117000875686904,0.222509637903099,6.60116699146359,6.60116699146359,88.39,17.5343691010607,17.5733933757308,12,17.6375575266547,17.4396155870964,9,5.49611419443039,9.81324884127648,0,0,36.6038669357313,6.7447274948966935
15,22.3927557189748,0.135958520656468,22.0362947838956,11,0.145390832683488,2.08521245223812,0.154478541941262,25.7432622254248,10,25.1676972378121,23.3127698431065,128.921157158449,3.87161244427657,1.54702149620521,1.54702149620521,4.29237411166693,5.79768497476451,97.34,3,5.81092879741412,2.58543689283405,2.48281447872464,6.17871750899665,1.94714833430867,4.13471956513554,19,6.67425153842937,11.7411911201724,-2.87734253881981,3.35636632026297,0.0187824106329185,0.0781112142611241,3.67237046097541,3.67237046097541,97.34,11.5360960393216,11.3894498543872,1,11.3002853834317,11.5917955393326,6,5.51514264249289,5.17378226154855,0,0,22.5259726401281,5.943095148663527
15,22.3050342332064,0.151047927270853,22.8631813169876,11,0.133763223895318,2.08525417543728,0.151271089185397,25.6650059106412,10,26.0510104374739,24.064987239305,128.921157158449,3.87205574203491,1.71104761281999,1.71104761281999,9.64276044548635,5.79819064465882,97.34,3,5.81144540858591,3.00930550608103,2.66552241356662,6.20128835865412,1.94677418614307,4.13491354437138,19,4.02256270927796,12.6622241205699,-2.87763334426732,3.35758667251441,0.0168009871723548,0.0857255302632834,4.90686711179175,4.90686711179175,97.34,12.4889371145911,12.4591119231368,1,12.3381851854295,12.5863375531251,8,5.52104398007677,4.88528418603512,0,0,26.2829141213388,6.036212172654444
15,23.555285053707,0.141964595531544,23.1714010109862,11,0.146303706524086,2.08506564352015,0.15880194206667,27.1547243363671,10,26.5580984239565,23.6844635741049,128.921157158449,3.87186479961633,1.65056858795789,1.65056858795789,4.8127855081038,5.7978889352845,97.34,3,5.81119089889248,3.34171270280855,2.61366209016839,6.08128424431615,1.94701175215642,4.13476947844667,19,6.49500945206258,12.1464007320029,-2.87835690274128,3.35627898226896,0.0284157833057165,0.0878469336277225,4.54804515296877,4.54804515296877,97.34,11.8684316865371,11.8211682115522,1,11.6489991462307,12.0105750431638,6,5.51721672741606,5.38873372545988,0,0,23.346538873338,5.300162274132754
