F03[C-N],L1p,H6v,SpMin1_Bh(p),TPSA(Tot),L1v,F06[C-C],H6p,F05[C-N],TPSA(NO),RDF115v,L1e,SpMax_B(v),SpDiam_B(v),SpMax_B(p),SpDiam_B(p),H6i,HOMT,Tp,Eig07_EA,RDF060p,SM15_AEA(bo),MATS1p,CATS3D_02_AL,SpMin1_Bh(e),SpMax1_Bh(i),RDF145s,SpMax5_Bh(i),SpMax1_Bh(e),H7u,SM02_AEA(ri),Eig07_EA(ed),CATS2D_06_LL,L1u,DP15,Eig12_EA(ri),CATS2D_08_AL,SpMax4_Bh(p),F01[C-N],SpMin4_Bh(s),SpMax5_Bh(e),HATS4u,RDF125v,RDF060v,SM12_EA,SpPosLog_Dz(e),VE2sign_B(m),HyWi_X,GGI8,RDF045m,Mor26p,alvo
10,7.31252837068396,0.100371940518328,2.06619545627947,100.3,7.31397812032684,25,0.0963908390735381,7,91.92,0.262611783405263,7.28979730989835,3.96559315824151,5.87591823825168,3.95496578428625,5.88740643086387,0.696593077904272,20.2133952,15.3691927609509,2.04175179551789,22.0702502034002,2.04175179551789,-0.0385384310153089,5,1.98635321747897,4.17947390944095,0.0,3.46639436599873,4.1515181027797,0.139915815933435,6.06520454741165,6.06520454741165,9,7.14451063921502,6.32586984103322,1.0,6,3.74661257806706,5,0.931065293103387,3.41225523267846,0.321317584433561,0.0,19.9621033960408,15.1230660485455,7.25238316653114,0.0020570844470205,2.5191630567601,0.57418430335097,22.4937442678981,-0.401653256552952,6.431798275933005
9,18.6612174449171,0.107851910905194,2.0860263639504,85.31,18.9492209314067,18,0.131162838760754,7,85.31,2.49638729108369,19.2647252421217,3.90790530332113,5.80003843451148,3.87394118668875,5.81360215202647,0.671057120493831,18.80459976,22.5068068511614,1.54755973755737,4.02813649783267,1.54755973755737,0.0267416993365248,4,1.95307888375824,4.18462279930907,7.42023348909804,3.314174691162,4.13557734323005,0.237653187417651,3.67563296206769,3.67563296206769,7,18.5162863797223,11.2688363968308,0.679503139922546,4,3.161382675286,10,0.500273612352428,3.26740730304314,0.367133044483693,1.2297850749416,4.04525717669727,14.434576766006,5.52893259857484,0.0059387700314001,2.34460047801663,0.273376480221718,12.3553421118759,-0.21047407243673,6.468521082957745
9,18.7414448344759,0.113729952831197,2.08573258080707,85.31,19.0328634219781,18,0.139840402456291,7,85.31,3.04776354353789,19.253656128923,3.90902373291,5.80154557549116,3.87594617072494,5.8157631103903,0.674238014629608,18.80459976,22.9750260979419,1.78229778538887,4.02025970796527,1.78229778538887,0.0336337887759437,4,1.95258147595368,4.1846125907593,8.40586969078612,3.31379490517628,4.1356640447088,0.238733230071688,5.22488835159337,5.22488835159337,5,18.4827582185188,11.2454507584093,0.679515658687581,4,3.16466642374991,10,0.499861550665951,3.26876090257378,0.366974073983449,1.20784411220157,4.05274927436342,14.5587066339685,5.80352005424915,0.0050626846128727,2.37319911413999,0.294288548752835,15.3190273769054,-0.312364175122979,5.388276691992658
9,20.5437499234767,0.120410204370051,2.0863418790973,85.31,20.1442680959814,18,0.145548899779305,7,85.31,2.61057977698656,21.2777202210934,3.90799891767132,5.80009732348639,3.87420408920662,5.81383171869221,0.662008624910751,18.80459976,24.6984759806506,1.54755973755737,4.03743669080994,1.54755973755737,0.0222604784196788,4,1.95747220831746,4.18495225322104,6.78264405708544,3.35359310978206,4.13596277149691,0.253419025244891,3.67563296206769,3.67563296206769,7,21.1351593228299,11.2943048643727,0.679517274752758,4,3.21118422013057,10,0.632947805356888,3.28871755141218,0.390004864370573,1.75450165197824,3.96483639253414,14.434576766006,5.53710256311406,0.0061115295158194,2.34460047801663,0.273376480221718,12.2286039009656,-0.188763808392079,5.6439741428068775
9,19.1978828179858,0.101331075250972,2.08594024176855,85.31,18.5234552832771,18,0.124495187771319,7,85.31,3.48794566217624,18.604781762698,3.90737605429951,5.79929033303554,3.87337050789927,5.81291036290411,0.661822441775028,18.80459976,23.3926706160892,1.54755346745117,4.05301436860767,1.54755346745117,0.0266470284477692,4,1.95408266064458,4.18454361700854,1.69926760753675,3.305992187273,4.13542073287751,0.239261414497417,3.67452144824141,3.67452144824141,9,18.4292869867181,10.7162110551746,0.679464539049028,4,3.18044333542076,10,0.50133524594031,3.26172800912353,0.367558599647639,1.68976716872617,3.97936344961384,14.3367531363709,5.25689368059731,0.0062068000904913,2.3151598201551,0.252464411690602,9.46390871082634,-0.165766132062706,6.1249387366083
9,19.6646352389803,0.138321295667378,2.0870028368817,85.31,21.1613743533249,19,0.132123587278673,8,85.31,3.52656049759849,23.0520678675773,3.90785843774006,5.79995619025425,3.87370951016758,5.81337402654049,0.828063464276495,18.80459976,23.4828823818165,1.69651910641302,4.7733647723058,1.69651910641302,0.0150029018508288,4,1.95712618473005,4.18513320157173,0.261130536745629,3.36976264907078,4.13616032971546,0.279161998156336,4.83133959414419,4.83133959414419,9,21.7584635904281,12.3768897258756,0.951805957551812,4,3.1805290951459,10,0.502462310768158,3.3044222545367,0.37780161780717,2.08636192738539,4.86993469722453,15.0466858955634,6.11823019858652,0.0056484330063317,2.39627611243924,0.30663422776518,9.63810602634387,-0.169609050270491,5.681936665037238
12,41.4421463014787,0.46434413537853,2.09330762417941,97.62,45.5405471390169,29,0.415895156765159,13,97.62,9.62338466451644,48.4910813293805,3.91377484368388,5.81486937916492,3.88002156786439,5.82974957719216,1.9588830259971,24.37987012,46.0536833477091,2.35718527862919,9.86613975404913,2.35718527862919,-0.0391212572387991,8,1.95774810700654,4.19186695281194,74.4385390783607,3.49802046559818,4.14444666507868,0.708920908724766,7.071334727584,7.071334727584,9,44.7260637401834,19.0139147907933,1.3250293459989,6,3.72877280732463,11,0.921870331431714,3.47337095265845,0.27072110335764,7.2248649864437,10.6063077750977,15.4514071323612,10.5347052680462,0.0042471798186167,2.74941406084914,0.573719765684051,19.974583924327,-0.344336955724936,5.882728704344236
12,40.5850816075545,0.422237271072755,2.09496805780448,88.39,41.4681164417656,30,0.417686216989039,15,88.39,9.63645191590146,43.9978602163825,3.91481216108337,5.81701604853122,3.8815030518489,5.83191537005261,1.85949911487972,24.43063702,45.6749501474706,2.26834921038088,11.1923518674152,2.26834921038088,-0.0117000875686904,6,1.96219070540602,4.19282890639965,32.2989394469648,3.48154758637916,4.14547681139231,0.769103067327394,6.60116699146359,6.60116699146359,9,42.6886575082687,17.251358787584,1.29745983469001,12,3.7308444834786,11,0.925019334497457,3.44070644224461,0.288034387547284,8.31827372574572,11.504019574127,15.2832777574792,9.51529856535554,0.0020352350167771,2.68902593685278,0.561610292265054,16.9217302936808,-0.333573218729818,6.7447274948966935
11,22.3927557189748,0.135958520656468,2.08521245223812,97.34,22.0362947838956,15,0.154478541941262,10,97.34,2.58543689283405,23.3127698431065,3.90619885937806,5.79768497476451,3.87161244427657,5.81092879741412,0.800332615472111,19.56969244,25.7432622254248,1.54702149620521,6.17871750899665,1.54702149620521,0.0187824106329185,3,1.94714833430867,4.18427839213182,6.67425153842937,3.35636632026297,4.13471956513554,0.322451379140471,3.67237046097541,3.67237046097541,4,23.4645849459802,11.7411911201724,0.679718727310907,1,3.17474682498612,12,0.50276913639601,3.28838396601354,0.363204223159308,1.92879056330868,6.09179509132553,14.2411305189116,5.27840270962201,0.0065442326905918,2.32228743990208,0.221986016628874,9.69053095413065,-0.165742825587534,5.943095148663527
11,22.3050342332064,0.151047927270853,2.08525417543728,97.34,22.8631813169876,15,0.151271089185397,10,97.34,3.00930550608103,24.064987239305,3.90661078942767,5.79819064465882,3.87205574203491,5.81144540858591,0.837215633773858,19.56969244,25.6650059106412,1.71104761281999,6.20128835865412,1.71104761281999,0.0168009871723548,3,1.94677418614307,4.18439485707832,4.02256270927796,3.35758667251441,4.13491354437138,0.320566001149159,4.90686711179175,4.90686711179175,2,23.53971743604,12.6622241205699,0.679775301957316,1,3.17453360824844,12,0.502259110718896,3.28962464424985,0.363524401024486,1.55497733921874,6.20875935875029,14.3868578335396,5.84526936904943,0.0056977144937688,2.37785933943984,0.292280801209373,9.88413714206322,-0.138899023130044,6.036212172654444
