nAT,X4Av,X1Per,TIC3,SpAD_A,SM6_L,J_Dt,SpAD_Dt,SM4_Dt,SM6_D/Dt,VE3_Dz(Z),SpMax_B(v),SpDiam_B(v),VE1_B(v),VE1sign_B(v),Chi_B(e),ChiA_B(e),VE3sign_B(e),VR2_B(e),SpMax_B(p),SpDiam_B(p),SM6_B(p),VE1sign_B(p),SpPos_B(i),SM5_B(i),SM3_B(s),VR2_B(s),MATS1p,GATS6m,GATS6e,SpMax1_Bh(e),SpMax1_Bh(i),SpMax5_Bh(i),SpMin1_Bh(e),SpMin1_Bh(p),SpMin2_Bh(s),P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_MR_3,P_VSA_v_2,P_VSA_p_2,P_VSA_s_6,SpMAD_AEA(bo),SpMAD_AEA(ri),SM09_EA(dm),SM12_AEA(ed),SM15_AEA(bo),SM02_AEA(ri),SM11_AEA(ri),Eig07_EA,Eig08_EA,Eig03_EA(ed),Eig07_EA(ed),Eig15_EA(ri),Eig06_AEA(dm),Eig09_AEA(dm),Eig07_AEA(ri),HOMA,HOMT,H_G,Chi_G,SM3_RG,VE3sign_RG,VR3_RG,SM2_G/D,TDB10s,RDF115v,RDF060p,RDF020i,RDF025i,RDF080i,RDF135i,RDF145s,Mor05u,Mor31m,Mor31p,Mor20s,Mor31s,L1v,L1e,G2e,L1p,Tv,Tp,Ti,Am,Ap,H2u,H7u,HATSm,H6v,H7v,H0e,HATS5e,H6p,H2i,H6i,H4s,R3m,R2v,R7p+,R4s,DP15,DP17,DP18,DP19,SP18,Cl-089,T(O..O),B05[C-F],B06[O-Cl],F01[C-N],F03[C-N],F05[C-N],F05[O-Cl],F06[C-C],F06[C-N],F07[O-Cl],Q2,RNCG,TPSA(NO),TPSA(Tot),BLTA96,CATS3D_13_DL,CATS3D_02_AL,CATS3D_08_LL,alvo
51,0.0506567605040311,7.94636143624946,270.538804938383,41.6939022904302,11.4590709988437,0.76860416153963,723.816626199971,23.602352480634,17.7661130436134,2.37910328341341,3.96559315824151,5.87591823825168,4.95510992219378,0.0022901011641658,9.25714638640689,0.257142955177969,-4.51904091481285,1.07309347339739,3.95496578428625,5.88740643086387,9.5690420280896,0.067209506304211,46.7261132355893,8.37787172188041,8.01912928523844,1.07356769838388,-0.0385384310153089,0.727978585816958,1.18915517001563,4.1515181027797,4.17947390944095,3.46639436599873,1.98635321747897,2.06619545627947,1.18439535944262,81.1885888439456,121.268295012691,0.0,149.354162185114,119.433935643089,155.312279254536,1.53008929312136,1.52500574396084,0.0,24.2210947130618,2.04175179551789,6.06520454741165,4.57598580398284,2.04175179551789,1.6421303170156,10.2399080150948,6.06520454741165,0.303999914614722,2.70158897264409,1.74409165812673,2.97861760223671,0.777438276923076,20.2133952,299.1856558482,0.209460329868287,4.53213892970993,-4.17522430973857,8.8154380170739,7.65754926068149,38.4119151966129,0.262611783405263,22.0702502034002,5.7927414181388,44.4025774438935,26.1120878177225,0.0,0.0,-7.66696509129788,-0.338584398143364,-0.0155743991918109,3.77683577248671,-0.590298128543701,7.31397812032684,7.28979730989835,0.159572475390038,7.31252837068396,15.321535096307,15.3691927609509,16.3804769502947,83.7547627768394,73.3280233152725,3.85940290127979,0.139915815933435,5.72902572364733,0.100371940518328,0.0328660076724958,3.32875904962853,0.370585304077557,0.0963908390735381,4.70421098438385,0.696593077904272,16.6410466054512,1.1075430859059,1.09697197778149,0.0128453829589413,9.66684701815538,6.32586984103322,5.26156647157604,4.66274064050154,4.02441907857274,4.90445820414445,1,16,1,0,5,10,7,0,25,9,0,0.704226884893028,0.150586894151745,91.92,100.3,-4.84534300131346,0,5,3,6.431798275933005
40,0.0390711402907488,6.37139447396297,208.877123795495,35.241796287788,11.1471953608221,0.679541412865761,573.818176960914,22.6804278049124,16.0982462608573,1.8146573906779,3.90790530332113,5.80003843451148,3.87225074871498,0.137764915784242,7.73559045839482,0.257853015279827,-2.22225135395565,1.09001834144611,3.87394118668875,5.81360215202647,9.25198767169625,0.130590518934568,38.4394203095852,8.19794204469244,7.47244365610866,1.09057418139468,0.0267416993365248,0.794322827303112,0.556932223355616,4.13557734323005,4.18462279930907,3.314174691162,1.95307888375824,2.0860263639504,1.0548836065239,108.278339862292,88.6781496457862,0.0,125.870519746432,110.910406475419,145.721930933538,1.5284142175403,1.51182688796314,0.0,23.5724868978681,1.54755973755737,3.67563296206769,4.60938577841752,1.54755973755737,1.4142135623731,8.58059786560392,3.67563296206769,-0.263929559426138,2.14519858025638,1.54759497929926,2.48375978133153,0.7521839904,18.80459976,182.510035731596,0.189868749322578,4.12845388137093,-2.74115419292797,6.51971127349565,7.43346437262273,46.7864979650057,2.49638729108369,4.02813649783267,8.17586352406686,32.5392911308135,13.3934425385284,2.86833188465333,7.42023348909804,-5.71642514488587,-0.171927939547072,-0.0773921943940551,6.50693000181624,0.937265401647805,18.9492209314067,19.2647252421217,0.158179590939782,18.6612174449171,22.656809117069,22.5068068511614,23.793970338557,78.3180678266095,73.6925760982325,2.91137097310021,0.237653187417651,4.51281472843594,0.107851910905194,0.0404797458838575,3.22782042209977,0.464202077723841,0.131162838760754,3.63679089982265,0.671057120493831,5.97112074593844,1.02782437752271,0.915642508094255,0.0123057485209621,4.73125914636378,11.2688363968308,10.8755048850475,10.6045556309853,10.2872707254012,10.7342514147137,1,0,1,0,10,9,7,1,18,8,0,0.798740311463946,0.153070870033617,85.31,85.31,-4.42916091200231,0,4,2,6.468521082957745
40,0.0415962095684656,6.43363238847758,202.877123795495,36.1709265953544,11.2134002046746,0.693367466938351,601.25044390834,22.8681580236133,16.3675949553646,1.91558329841567,3.90902373291,5.80154557549116,3.99756154191657,0.128243040052635,7.96676063703102,0.256992278613904,-3.34396847117407,1.08649858196848,3.87594617072494,5.8157631103903,9.29947660107499,0.12582756012796,39.8766898493619,8.23153595203335,7.51915132413827,1.08718050231061,0.0336337887759437,0.781759046771469,0.589390444260656,4.1356640447088,4.1846125907593,3.31379490517628,1.95258147595368,2.08573258080707,1.05228343627497,98.8020923888614,88.6781496457862,0.0,125.870519746432,110.910406475419,184.87057499532,1.53700545898374,1.52432700872454,0.0,23.6951203516603,1.78229778538887,5.22488835159337,4.60938668565522,1.78229778538887,1.54755667253581,8.63391620189833,5.22488835159337,-0.228883725337683,2.37602348742731,1.5988316184765,2.70683956370264,0.7521839904,18.80459976,181.58456501637,0.18953716335704,4.10054578516423,-2.74268029692436,6.51971143492809,7.44217378015632,49.5252307072715,3.04776354353789,4.02025970796527,7.85298062210687,31.1648755506978,12.3145322521688,2.86998565188161,8.40586969078612,-5.92175714826231,-0.215254084797881,-0.107061433020052,6.2976935967142,0.571089105146001,19.0328634219781,19.253656128923,0.165130084712838,18.7414448344759,23.1010011262075,22.9750260979419,23.8620092427151,99.211243178533,81.4512702793936,2.89777978147468,0.238733230071688,6.18763154025403,0.113729952831197,0.0407787359887795,3.31675465104513,0.467850806111937,0.139840402456291,3.61096458277111,0.674238014629608,6.80479008158369,1.34329829909528,0.959518841116713,0.0135899772103182,5.10944145402229,11.2454507584093,10.8481071925984,10.5756802184287,10.2571865829769,10.7352078563132,2,0,1,0,10,9,7,2,18,8,0,0.810496899433253,0.150630953418243,85.31,85.31,-4.65001573923876,0,4,3,5.388276691992658
43,0.0403608448412168,6.62376402858731,224.574496950027,35.241796287788,11.1471953608221,0.679541412865762,573.818176960914,22.6804278049124,16.0982462608573,1.81517501130254,3.90799891767132,5.80009732348639,3.85990102270777,0.136450050338053,7.76522150655173,0.258840716885058,-2.19629239034935,1.089984040973,3.87420408920662,5.81383171869221,9.2629805347489,0.128575922055225,37.976146115498,8.18408179329983,7.11730211971994,1.0905098809213,0.0222604784196788,0.823990401836203,0.885953945782652,4.13596277149691,4.18495225322104,3.35359310978206,1.95747220831746,2.0863418790973,1.12796194003691,108.278339862292,88.6781496457862,0.0,110.910406475419,110.910406475419,130.761817662526,1.5284142175403,1.51306687633079,0.0,23.5724868978681,1.54755973755737,3.67563296206769,4.60938577841753,1.54755973755737,1.4142135623731,8.58059786560393,3.67563296206769,-0.263931347581891,1.91583001780133,1.54759482838709,2.48383255587962,0.7521839904,18.80459976,203.762872892805,0.178008697678892,4.26288275346882,-2.95585926589957,7.13563162897028,7.56266573323827,34.8817934756942,2.61057977698656,4.03743669080994,8.64721330042708,33.8369221420287,13.6219221271459,4.57572461068019,6.78264405708544,-6.01034983229856,-0.260018984023258,-0.0212877276220105,6.54761314442961,0.329653637411634,20.1442680959814,21.2777202210934,0.167560109227301,20.5437499234767,24.0966731317824,24.6984759806506,26.6015460936996,76.3069784417137,87.4609577673172,3.00950848655896,0.253419025244891,3.13768665567538,0.120410204370051,0.0485405129441552,3.02673754593319,0.445389535104575,0.145548899779305,3.76482374013539,0.662008624910751,5.88730114211353,0.800781405181081,0.856342055360098,0.01202165720159,4.61372266967159,11.2943048643727,10.9020357542915,10.6313707798835,10.3142224127877,10.7640268299443,1,0,0,0,10,9,7,1,18,9,0,0.741033852084174,0.159800840019806,85.31,85.31,-4.54011422610646,0,4,6,5.6439741428068775
40,0.0413613920509842,6.31001619049814,200.122236293331,34.0291092128218,11.0763875591075,0.667342488188475,545.301765308567,22.4753882144143,15.8166614617854,1.72156943311243,3.90737605429951,5.79929033303554,3.79760168175995,0.140667395834029,7.52177171307082,0.259371438381753,-1.98969763247476,1.09359430739443,3.87337050789927,5.81291036290411,9.2398847000054,0.13077016061892,36.562599750711,8.14980984174722,7.06007773079908,1.09408669721973,0.0266470284477692,0.535050096497273,0.745827796098632,4.13542073287751,4.18454361700854,3.305992187273,1.95408266064458,2.08594024176855,1.07776260892407,117.754587335722,88.6781496457862,0.0,110.910406475419,110.910406475419,91.6131736007438,1.52708322992601,1.51259206544926,0.0,23.4757055038095,1.54755346745117,3.67452144824141,4.60938516014864,1.54755346745117,1.33043978587166,8.50180884993468,3.67452144824141,-0.270327764792334,1.96587934280192,1.27987683096243,2.48362658442028,0.7521839904,18.80459976,182.757699792762,0.189943663058573,4.14058341057616,-2.74127406481273,6.5197113313785096,7.4320131344235,37.8264914152174,3.48794566217624,4.05301436860767,8.74106280403848,32.0293146224368,12.8472592772004,1.41818130376018,1.69926760753675,-5.22399197416559,-0.534564344742278,-0.117767036467454,5.10751681422366,-0.177962657338417,18.5234552832771,18.604781762698,0.158179590939782,19.1978828179858,22.4940767426887,23.3926706160892,23.3693803307657,103.363553042824,82.6322347009416,2.90911592298307,0.239261414497417,7.05904003935338,0.101331075250972,0.0458679651156349,3.05323150804608,0.457792376666695,0.124495187771319,3.55079957737024,0.661822441775028,4.62598664061148,0.953703296064102,0.907323395390735,0.0123210455032164,4.24796476239762,10.7162110551746,10.2421074065933,9.92987583549807,9.57078444965445,10.0449616640063,0,0,0,0,10,9,7,0,18,8,0,0.736461180960907,0.163573424861437,85.31,85.31,-4.42916091200231,1,4,4,6.1249387366083
43,0.0373314616826848,6.77296053212499,222.574496950027,37.06571148903,11.3288223220938,0.697733358209239,636.615228179433,23.1009550093788,16.7053114961137,2.01462814261993,3.90785843774006,5.79995619025425,3.88098085879158,0.145992512010596,8.22703837404789,0.257094949188997,-2.26243936017892,1.08382792653418,3.87370951016758,5.81337402654049,9.26691298783345,0.138869762484616,41.6443234960519,8.26191303063626,7.92847284944666,1.08431774152685,0.0150029018508288,0.940378131587624,0.641176097270307,4.13616032971546,4.18513320157173,3.36976264907078,1.95712618473005,2.0870028368817,1.10373737256654,117.754587335722,88.6781496457862,0.0,155.790746288456,110.910406475419,136.493513413781,1.5623861665905,1.53961309222107,12.0742134417903,24.2019370103335,1.69651910641302,4.83133959414419,4.60938562953271,1.69651910641302,1.54709830160896,8.79177351326928,4.83133959414419,-0.263593637133487,2.29210087858628,1.54759114052126,2.65271307273733,0.7521839904,18.80459976,203.567454328641,0.178273245273193,4.219867838918,-2.950406947182,7.13562968252533,7.5765516901079,52.0605049333582,3.52656049759849,4.7733647723058,8.79080561408037,36.053409907261,16.7937109502934,5.09839121630003,0.261130536745629,-5.92967969186731,-0.26105873274962,-0.0774301058435125,7.71060600032578,0.98779938461149,21.1613743533249,23.0520678675773,0.155611391402494,19.6646352389803,24.7066277533379,23.4828823818165,27.5294094775192,78.1496002811505,77.0197902736169,2.94463975967365,0.279161998156336,4.01965013210902,0.138321295667378,0.0489198733681286,3.35818952764542,0.461124033884962,0.132123587278673,3.91380660296315,0.828063464276495,9.35848355501896,0.821346660385755,0.894749039761542,0.0117326007443997,6.2483935503934,12.3768897258756,12.0904496841539,11.8697155400072,11.600683651314,11.9180799360358,0,0,1,0,10,9,8,0,19,8,0,0.994315050999744,0.134243550335054,85.31,85.31,-4.65001573923876,1,4,6,5.681936665037238
59,0.0371883168567769,9.55096494484924,321.566164908022,53.4808099287258,11.7567105073223,0.636637273991455,1228.78505672558,25.7526224940421,19.5654801830291,3.28048426439554,3.91377484368388,5.81486937916492,4.45867429568253,0.177282903679562,12.0320895101553,0.256001904471389,-2.91522254606933,1.07951533235439,3.88002156786439,5.82974957719216,9.60933377134474,0.180889453160676,61.9891068218564,8.62557522469641,8.53450928520596,1.07991597392536,-0.0391212572387991,0.847937750754617,0.737995812264069,4.14444666507868,4.19186695281194,3.49802046559818,1.95774810700654,2.09330762417941,1.10356270633313,113.286142283947,118.527726613271,44.8803398130374,221.929464232483,132.168784606408,223.770124736559,1.55923775888914,1.53786191373491,13.0323468396355,24.5432862660837,2.35718527862919,7.071334727584,4.61591205179798,2.35718527862919,2.24310251089636,10.1956954117583,7.071334727584,1.08784207051797,2.96675897154552,2.39379273286382,3.29346031182826,0.738783943030303,24.37987012,314.751747951533,0.132765102933477,4.49560699496736,-7.65122073383183,10.5948384995975,8.20698245366001,54.8916284766141,9.62338466451644,9.86613975404913,11.6247831978509,49.5682984382603,20.0938073601247,18.5634345076941,74.4385390783607,-8.09901604600065,-0.399860703710997,-0.106128159574556,6.31367565327594,1.54464145582665,45.5405471390169,48.4910813293805,0.15342793062519,41.4421463014787,49.8739500976107,46.0536833477091,52.4402448729099,247.715140569518,194.374072492514,3.29184965808008,0.708920908724766,6.89428085261984,0.46434413537853,0.239263668543801,3.63468976995856,0.323205064728382,0.415895156765159,4.42474057916604,1.9588830259971,20.1871468887152,1.09775212313108,1.0344963849191,0.0097388546147987,10.3026368394151,19.0139147907933,19.5683718960981,19.7661809938392,19.914519115551,19.7453831363499,1,34,1,1,11,12,13,0,29,14,0,1.66182374661647,0.110475722938088,97.62,97.62,-5.38307610208857,2,8,8,5.882728704344236
61,0.0408432814476787,9.53210509440553,326.755427582682,50.250192965939,11.6408524320999,0.62342253210289,1104.11530424738,25.3190897835005,18.7628246539304,3.01133235265094,3.91481216108337,5.81701604853122,4.49936758768407,0.115322422645431,11.3012023868187,0.256845508791334,-3.76333348732326,1.08544583379052,3.8815030518489,5.83191537005261,9.60640890158699,0.120175850348846,56.6842550032931,8.55508715112454,8.13512381330922,1.08584744676603,-0.0117000875686904,0.791459652377941,0.829548685403728,4.14547681139231,4.19282890639965,3.48154758637916,1.96219070540602,2.09496805780448,1.15551859428518,103.809894810516,118.527726613271,0.0,166.049236531839,121.168896718802,167.889897035915,1.55570368444762,1.53329033785192,12.0742134417903,24.4323843775796,2.26834921038088,6.60116699146359,4.61593968441776,2.26834921038088,2.1559592496282,9.14422328880011,6.60116699146359,1.08782075197442,2.78704706128936,2.14683606358965,3.22120021489705,0.740322333939394,24.43063702,336.463408243953,0.132926259069259,4.62720875501232,-5.93800291090434,11.041395119101,8.26654516701308,39.698052253595,9.63645191590146,11.1923518674152,12.2418302388052,54.8679528819642,20.4572267147664,19.9113744049031,32.2989394469648,-8.42551380849924,-0.455648617668782,-0.0514089227940223,10.303075085909,0.703683068608479,41.4681164417656,43.9978602163825,0.15209996634983,40.5850816075545,46.2898436980635,45.6749501474706,49.5921775926369,224.971916809926,212.106202885656,3.64047413567301,0.769103067327394,4.56989503805772,0.422237271072755,0.222509637903099,3.25658469186925,0.261434050524624,0.417686216989039,4.64807998619213,1.85949911487972,18.0837857633435,0.942601803131422,0.973954109908392,0.0092389021889086,8.4049478481617,17.251358787584,17.5733933757308,17.6555473913302,17.6886576750092,17.6375575266547,1,12,1,1,11,12,15,0,30,14,0,1.1071612863872,0.096258603742711,88.39,88.39,-6.0378117330446,3,6,8,6.7447274948966935
42,0.0383674069584525,6.46980327136331,200.967556752381,34.1765763129308,11.0155917480525,0.660255410404415,552.839451490827,22.5304106407658,15.8747484478297,1.71531322512852,3.90619885937806,5.79768497476451,3.70964681915311,0.144008216184937,7.59321476800325,0.261834992000112,-2.00212459127293,1.09370551867259,3.87161244427657,5.81092879741412,9.16770823773517,0.135548505589792,36.7799334604229,8.14207858342824,7.06021093720366,1.09414298975456,0.0187824106329185,0.944642336662918,1.22030855998072,4.13471956513554,4.18427839213182,3.35636632026297,1.94714833430867,2.08521245223812,1.06049333420127,127.230834809152,83.9734997107189,0.0,128.921157158449,128.921157158449,91.6131736007438,1.50539245046148,1.48461859507861,4.46440051400798,23.3608974037161,1.54702149620521,3.67237046097541,4.60937674161132,1.54702149620521,1.39302063761247,7.59547248644426,3.67237046097541,-0.330440181814901,1.84424160026213,1.27991710353489,2.48281447872464,0.850856193043478,19.56969244,195.168823283364,0.175714379596667,4.22754882405585,-2.87734253881981,6.92928415668277,7.53272953635145,36.6729001926169,2.58543689283405,6.17871750899665,10.4078018418952,32.5251822871218,10.418322077073,6.19770533242458,6.67425153842937,-5.67410976552583,-0.335792960237922,-0.0685827147665713,7.54325230882812,-0.000989845285188,22.0362947838956,23.3127698431065,0.179995788838212,22.3927557189748,25.1676972378121,25.7432622254248,27.7069347367552,59.6833430634525,76.5739166322936,2.8627005021221,0.322451379140471,2.41609116525237,0.135958520656468,0.0781112142611241,2.95340584785099,0.446242447951483,0.154478541941262,3.53535863713087,0.800332615472111,4.29237411166693,0.623094377527569,0.832845540507029,0.0118911104294429,3.81106752656026,11.7411911201724,11.3894498543872,11.1368923574344,10.8365690526097,11.3002853834317,0,0,0,0,12,11,10,0,15,11,0,0.857053735631249,0.145390832683488,97.34,97.34,-3.73648255888985,1,3,9,5.943095148663527
42,0.0361645262699962,6.57755273292415,220.477331756708,36.1713266420469,11.1524576227928,0.681047695436553,613.493807703664,22.9501112267914,16.5020717163485,1.91635342880189,3.90661078942767,5.79819064465882,3.76696567150887,0.137001891188836,8.02792168735611,0.258965215721165,-2.24066184150739,1.08699311842536,3.87205574203491,5.81144540858591,9.23243063887072,0.128917228874919,40.391844821254,8.23276039644355,7.7169800676114,1.08741457478534,0.0168009871723548,0.969864397490657,0.92105001708116,4.13491354437138,4.18439485707832,3.35758667251441,1.94677418614307,2.08525417543728,1.02922758201063,108.278339862292,83.9734997107189,0.0,158.841383700474,128.921157158449,121.533400142769,1.52205011325244,1.5068597535583,4.46440051400797,23.5053651418172,1.71104761281999,4.90686711179175,4.60937688083628,1.71104761281999,1.54696458137657,8.6080407955547,4.90686711179175,-0.262898946787864,2.36955970024575,1.54759625865766,2.66552241356662,0.850856193043478,19.56969244,194.326965822629,0.175477050378753,4.1968929004508,-2.87763334426732,6.92928543676609,7.53876096463906,50.6988234222961,3.00930550608103,6.20128835865412,9.98888098877163,31.2620029974181,11.3967450268584,7.14903642469307,4.02256270927796,-6.09510056987317,-0.215602843253166,-0.099103598293021,9.29098759945613,0.84163431179362,22.8631813169876,24.064987239305,0.179995788838212,22.3050342332064,26.0510104374739,25.6650059106412,28.2377840059393,72.998290867697,76.5015529824778,2.85621108963586,0.320566001149159,3.43298937180264,0.151047927270853,0.0857255302632834,3.20191442121546,0.452562313237635,0.151271089185397,3.61942341260458,0.837215633773858,9.64276044548635,0.779834334167184,0.877083606801896,0.0118470718134629,6.006037092327,12.6622241205699,12.4591119231368,12.2831501067824,12.0607759576813,12.3381851854295,0,0,0,0,12,11,10,0,15,11,0,0.961684613117224,0.133763223895318,97.34,97.34,-3.96398415199497,1,3,4,6.036212172654444
