F03[C-N],L1v,RNCG,TPSA(NO),P_VSA_p_2,H6p,SM15_AEA(bo),Tp,HOMT,TPSA(Tot),SpMax_B(p),H4s,SpDiam_B(p),L1e,Eig07_AEA(ri),SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),H7v,RDF145s,SM02_AEA(ri),SpMax1_Bh(e),SpMax5_Bh(i),F06[C-N],F01[C-N],DP15,Eig12_EA(ri),H7u,F07[C-N],L1u,DP17,SM1_Dz(m),nPyrazines,CATS3D_09_AL,SM1_Dz(e),RDF015m,J_H2,HTu,Eig15_EA,VE1sign_B(m),O-058,Mor16e,SM15_EA(ri),Qneg,MATS5e,R4e,R8e+,Wap,nS,GATS1e,SM12_AEA(dm),RDF125i,RDF150i,F07[C-S],S3K,TDB03s,alvo
10,7.31397812032684,0.150586894151745,91.92,119.433935643089,0.0963908390735381,2.04175179551789,15.3691927609509,20.2133952,100.3,3.95496578428625,16.6410466054512,5.88740643086387,7.28979730989835,2.97861760223671,4.17947390944095,-4.17522430973857,6.06520454741165,0.0328660076724958,0.0,6.06520454741165,4.1515181027797,3.46639436599873,9,5,6.32586984103322,1.0,0.139915815933435,7,7.14451063921502,5.26156647157604,1.43487021661258,0,1,1.11815344387495,17.5905780277262,62.9758781986817,34.822239821938,0.338068325392099,0.0678837867516793,3,0.331646183572067,18.1322790696473,-2.29170000180602,0.0178250325536276,1.62729280267351,0.0151177235384578,38804,1,0.521287874699329,10.2399080150948,0.0,0.0,2,4.7287847821364,13.6457009889309,6.431798275933005
9,18.9492209314067,0.153070870033617,85.31,110.910406475419,0.131162838760754,1.54755973755737,22.5068068511614,18.80459976,85.31,3.87394118668875,5.97112074593844,5.81360215202647,19.2647252421217,2.48375978133153,4.18462279930907,-2.74115419292797,3.67563296206769,0.0404797458838575,7.42023348909804,3.67563296206769,4.13557734323005,3.314174691162,8,10,11.2688363968308,0.679503139922546,0.237653187417651,8,18.5162863797223,10.8755048850475,1.09610915844999,1,5,0.899510731834149,9.37824597315,45.2644935741124,25.528021084529,-0.288978643649451,0.160346790847805,1,0.540056776820571,17.0532782987546,-2.22249998897314,0.0110590235826952,1.26416140793796,0.0218915359048143,22486,0,0.703638337171023,8.58059786560392,2.74609726053807,1.35064112889836,0,3.37090744901595,13.9878031810716,6.468521082957745
9,19.0328634219781,0.150630953418243,85.31,110.910406475419,0.139840402456291,1.78229778538887,22.9750260979419,18.80459976,85.31,3.87594617072494,6.80479008158369,5.8157631103903,19.253656128923,2.70683956370264,4.1846125907593,-2.74268029692436,5.22488835159337,0.0407787359887795,8.40586969078612,5.22488835159337,4.1356640447088,3.31379490517628,8,10,11.2454507584093,0.679515658687581,0.238733230071688,8,18.4827582185188,10.8481071925984,1.29574035277904,1,6,0.981404087762574,9.40367715994129,47.7132227166568,25.5456188275922,-0.288853824390621,0.141755169160436,1,0.51112454322588,17.0901153073,-2.25849999114871,0.111985627724743,1.27361507357525,0.0216268112848509,24859,0,0.699240553642547,8.63391620189833,2.66615033419065,1.34218861780063,0,3.57482166077679,15.3716513080283,5.388276691992658
9,20.1442680959814,0.159800840019806,85.31,110.910406475419,0.145548899779305,1.54755973755737,24.6984759806506,18.80459976,85.31,3.87420408920662,5.88730114211353,5.81383171869221,21.2777202210934,2.48383255587962,4.18495225322104,-2.95585926589957,3.67563296206769,0.0485405129441552,6.78264405708544,3.67563296206769,4.13596277149691,3.35359310978206,9,10,11.2943048643727,0.679517274752758,0.253419025244891,8,21.1351593228299,10.9020357542915,0.964928503480047,1,6,0.763559044800333,10.2460003101272,45.2644935741124,27.356095562919,-0.288978643649451,0.165011296927125,1,0.547780987378762,17.0858431604528,-2.1288999915123,0.0588782856551814,1.39327365483239,0.0202512266382658,22486,0,0.798250630890914,8.58059786560393,5.26022207710017,3.01369662757623,0,3.39327931096673,11.5468528362916,5.6439741428068775
9,18.5234552832771,0.163573424861437,85.31,110.910406475419,0.124495187771319,1.54755346745117,23.3926706160892,18.80459976,85.31,3.87337050789927,4.62598664061148,5.81291036290411,18.604781762698,2.48362658442028,4.18454361700854,-2.74127406481273,3.67452144824141,0.0458679651156349,1.69926760753675,3.67452144824141,4.13542073287751,3.305992187273,8,10,10.7162110551746,0.679464539049028,0.239261414497417,8,18.4292869867181,10.2421074065933,1.03428707811156,1,5,0.733376999779024,9.23062276345144,42.8595693729822,25.490496799536,-0.336167484097646,0.161376802352776,1,0.508317057454022,17.0082484443578,-2.07979998737574,-0.180047821572532,1.23602446328499,0.0218290385597187,20123,0,0.848572968820458,8.50180884993468,3.14703998147594,1.57620593419715,0,3.37119800993761,11.3764272177326,6.1249387366083
9,21.1613743533249,0.134243550335054,85.31,110.910406475419,0.132123587278673,1.69651910641302,23.4828823818165,18.80459976,85.31,3.87370951016758,9.35848355501896,5.81337402654049,23.0520678675773,2.65271307273733,4.18513320157173,-2.950406947182,4.83133959414419,0.0489198733681286,0.261130536745629,4.83133959414419,4.13616032971546,3.36976264907078,8,10,12.3768897258756,0.951805957551812,0.279161998156336,8,21.7584635904281,12.0904496841539,1.12073248975217,1,7,1.05556559912576,11.0035505335466,50.6583120446962,27.5121761090648,-0.288244512008532,0.16380455718362,1,0.819321811188724,17.3109341068585,-2.53420001268387,-0.132217299198163,1.45038869670185,0.0207415412250482,27704,0,0.634343427170565,8.79177351326928,5.55032897532368,2.75243978985442,0,3.80011539028695,13.5789726707547,5.681936665037238
12,45.5405471390169,0.110475722938088,97.62,132.168784606408,0.415895156765159,2.35718527862919,46.0536833477091,24.37987012,97.62,3.88002156786439,20.1871468887152,5.82974957719216,48.4910813293805,3.29346031182826,4.19186695281194,-7.65122073383183,7.071334727584,0.239263668543801,74.4385390783607,7.071334727584,4.14444666507868,3.49802046559818,14,11,19.0139147907933,1.3250293459989,0.708920908724766,14,44.7260637401834,19.5683718960981,1.67350132072349,1,6,1.50720583145083,15.6294738955162,87.9192782149658,38.8233573883035,1.14191570629509,0.18262873220052,2,2.0307669219348,17.57770911561,-3.67230000719428,-0.16759147979585,1.60375012142887,0.020458359326031,149088,0,0.636864146411614,10.1956954117583,20.7089408313987,10.16069442399,0,6.9780050158062,14.1887103749689,5.882728704344236
12,41.4681164417656,0.096258603742711,88.39,121.168896718802,0.417686216989039,2.26834921038088,45.6749501474706,24.43063702,88.39,3.8815030518489,18.0837857633435,5.83191537005261,43.9978602163825,3.22120021489705,4.19282890639965,-5.93800291090434,6.60116699146359,0.222509637903099,32.2989394469648,6.60116699146359,4.14547681139231,3.48154758637916,14,11,17.251358787584,1.29745983469001,0.769103067327394,15,42.6886575082687,17.5733933757308,1.38070376280668,1,7,1.20297230399234,16.1709538895523,77.1022348864077,40.3906651390205,1.13415953856464,0.0814094006710847,2,1.34108103462512,17.6442576078085,-3.06570002064109,-0.0699374471322308,1.64784462836055,0.0113607893194657,113578,0,0.593303938560098,9.14422328880011,25.1447327962325,19.193777786287,0,5.89130306599601,12.805164561205,6.7447274948966935
11,22.0362947838956,0.145390832683488,97.34,128.921157158449,0.154478541941262,1.54702149620521,25.7432622254248,19.56969244,97.34,3.87161244427657,4.29237411166693,5.81092879741412,23.3127698431065,2.48281447872464,4.18427839213182,-2.87734253881981,3.67237046097541,0.0781112142611241,6.67425153842937,3.67237046097541,4.13471956513554,3.35636632026297,11,12,11.7411911201724,0.679718727310907,0.322451379140471,8,23.4645849459802,11.3894498543872,0.74488537596434,1,2,0.729479109807372,9.41620358271889,43.6740367837017,26.5876444003551,-0.330333445332267,0.170150049955389,1,0.65048690258105,16.8161325258184,-2.33989998325706,-0.230487497013571,1.23590146491595,0.0227922376547871,19527,0,0.942678929246955,7.59547248644426,7.57567663587485,3.87307232412127,0,3.45122035013811,10.5835439890854,5.943095148663527
11,22.8631813169876,0.133763223895318,97.34,128.921157158449,0.151271089185397,1.71104761281999,25.6650059106412,19.56969244,97.34,3.87205574203491,9.64276044548635,5.81144540858591,24.064987239305,2.66552241356662,4.18439485707832,-2.87763334426732,4.90686711179175,0.0857255302632834,4.02256270927796,4.90686711179175,4.13491354437138,3.35758667251441,11,12,12.6622241205699,0.679775301957316,0.320566001149159,8,23.53971743604,12.4591119231368,1.0445080296749,1,1,0.992881334035899,9.66089654622992,48.6933542581072,26.5716697002979,-0.287730469179487,0.159536005825528,1,0.721290613511884,16.9270961803433,-2.5432999972254,0.0761780520459318,1.30423922007735,0.0226765621626725,24583,0,0.70895720725919,8.6080407955547,4.74926948625836,3.18973294164442,0,3.72338832135551,13.7167551712652,6.036212172654444
