F03[C-N],SpMin1_Bh(p),RNCG,H6v,TPSA(NO),P_VSA_p_2,Tv,Eig07_EA,TPSA(Tot),H6p,SpMax_B(v),SpMax_B(p),H4s,SpDiam_B(p),RDF060p,H6i,HOMT,F01[C-N],VE3sign_RG,SpMax1_Bh(i),SpMax5_Bh(i),DP15,MATS1p,Eig06_AEA(bo),Eig07_EA(ed),F06[C-N],SM02_AEA(ri),H7v,CATS2D_08_AL,F05[C-N],H7u,RDF025v,SM6_H2,VE3_Dz(v),SM07_EA(ri),VE2_Dz(Z),VE2_G,F09[N-O],P_VSA_ppp_con,HATS7u,P_VSA_m_5,JGI8,AVS_Dz(v),GATS3i,Mor19p,SpDiam_AEA(dm),HyWi_Dz(p),R6p,VE1sign_Dz(v),RDF075e,P_VSA_p_1,CATS3D_16_AL,alvo
10,2.06619545627947,0.150586894151745,0.100371940518328,91.92,119.433935643089,15.321535096307,2.04175179551789,100.3,0.0963908390735381,3.96559315824151,3.95496578428625,16.6410466054512,5.88740643086387,22.0702502034002,0.696593077904272,20.2133952,5,-4.17522430973857,4.17947390944095,3.46639436599873,6.32586984103322,-0.0385384310153089,3.63347135608533,6.06520454741165,9,6.06520454741165,0.0328660076724958,6,7,0.139915815933435,21.4362653419837,9.06995546486517,2.34384888284079,9.06568014143119,0.159377294068505,0.123068460977533,2,185.519725945997,0.369586006620574,0.0,0.0147226744448967,165.393791161212,1.04563715937377,0.119289892698967,6.45927038352015,9.37129558325253,0.46462527878822,0.191658163872916,27.351657065437,218.25785848747,0,6.431798275933005
9,2.0860263639504,0.153070870033617,0.107851910905194,85.31,110.910406475419,22.656809117069,1.54755973755737,85.31,0.131162838760754,3.90790530332113,3.87394118668875,5.97112074593844,5.81360215202647,4.02813649783267,0.671057120493831,18.80459976,10,-2.74115419292797,4.18462279930907,3.314174691162,11.2688363968308,0.0267416993365248,3.17913040994756,3.67563296206769,8,3.67563296206769,0.0404797458838575,4,7,0.237653187417651,19.0049546906509,8.75780669035115,1.83113571909302,8.45521651269766,0.174073060781083,0.141759722718413,0,183.730818368127,0.322350478016154,0.0,0.0105144800085276,130.586971604938,0.981056402323957,-0.199919769288358,5.58553210579416,9.07109334850244,0.323574833770638,0.165917744623244,12.8819188060656,132.671133236916,0,6.468521082957745
9,2.08573258080707,0.150630953418243,0.113729952831197,85.31,110.910406475419,23.1010011262075,1.78229778538887,85.31,0.139840402456291,3.90902373291,3.87594617072494,6.80479008158369,5.8157631103903,4.02025970796527,0.674238014629608,18.80459976,10,-2.74268029692436,4.1846125907593,3.31379490517628,11.2454507584093,0.0336337887759437,3.23205080756888,5.22488835159337,8,5.22488835159337,0.0407787359887795,4,7,0.238733230071688,18.9620234663116,8.82443900419221,1.93180395855383,8.49145601994215,0.172575388980112,0.141746802944733,0,177.755177426356,0.317421616521027,0.0,0.0105103053126012,138.185038095238,0.990782791562251,-0.307296382956628,5.61538767169934,9.16963816712588,0.328804224653384,0.115103857232368,13.2892637434732,120.900031240325,0,5.388276691992658
9,2.0863418790973,0.159800840019806,0.120410204370051,85.31,110.910406475419,24.0966731317824,1.54755973755737,85.31,0.145548899779305,3.90799891767132,3.87420408920662,5.88730114211353,5.81383171869221,4.03743669080994,0.662008624910751,18.80459976,10,-2.95585926589957,4.18495225322104,3.35359310978206,11.2943048643727,0.0222604784196788,3.17913040994757,3.67563296206769,9,3.67563296206769,0.0485405129441552,4,7,0.253419025244891,20.7744812519514,8.75780669035115,1.83037870342021,8.49529844761611,0.174149919107227,0.137809423295558,0,177.795375253641,0.287743199004767,0.0,0.0105144800085276,129.555260493827,1.0176572303711,-0.0928267129860043,5.58168811279401,9.01101445836117,0.308629629004421,0.145411527749577,12.6190066754831,153.024325955674,0,5.6439741428068775
9,2.08594024176855,0.163573424861437,0.101331075250972,85.31,110.910406475419,22.4940767426887,1.54755346745117,85.31,0.124495187771319,3.90737605429951,3.87337050789927,4.62598664061148,5.81291036290411,4.05301436860767,0.661822441775028,18.80459976,10,-2.74127406481273,4.18454361700854,3.305992187273,10.7162110551746,0.0266470284477692,3.17643741301496,3.67452144824141,8,3.67452144824141,0.0458679651156349,4,7,0.239261414497417,18.6912618186009,8.69519242120436,1.72716600875957,8.38864229700289,0.17667241340429,0.141795981156347,0,183.640545693037,0.319484166169159,45.9540935969929,0.0105193504871084,121.196502564103,0.962841670950257,-0.0375873193107677,5.57321851123305,8.88488426625046,0.330881632413622,0.181599539566618,12.4875671733315,129.482121962493,0,6.1249387366083
9,2.0870028368817,0.134243550335054,0.138321295667378,85.31,110.910406475419,24.7066277533379,1.69651910641302,85.31,0.132123587278673,3.90785843774006,3.87370951016758,9.35848355501896,5.81337402654049,4.7733647723058,0.828063464276495,18.80459976,10,-2.950406947182,4.18513320157173,3.36976264907078,12.3768897258756,0.0150029018508288,3.25713202254654,4.83133959414419,8,4.83133959414419,0.0489198733681286,4,8,0.279161998156336,21.3031494151984,8.84862954628242,2.03064697424902,8.66690387383831,0.170726666881887,0.137110525440166,0,183.771016195412,0.28153106496471,0.0,0.010221140925506,151.701397701149,0.877264476917894,-0.0266261260853796,6.46052922216532,9.41073842701699,0.305969637761745,0.160387521233342,13.6769261269785,174.362461775531,0,5.681936665037238
12,2.09330762417941,0.110475722938088,0.46434413537853,97.62,132.168784606408,49.8739500976107,2.35718527862919,97.62,0.415895156765159,3.91377484368388,3.88002156786439,20.1871468887152,5.82974957719216,9.86613975404913,1.9588830259971,24.37987012,11,-7.65122073383183,4.19186695281194,3.49802046559818,19.0139147907933,-0.0391212572387991,4.00640808033334,7.071334727584,14,7.071334727584,0.239263668543801,6,13,0.708920908724766,28.7335328959049,9.26527291623494,3.26617449094752,8.98131381557257,0.134720864717673,0.114821702778623,2,253.978945160171,0.239423475851319,0.0,0.0098917200980008,340.712220930233,0.774594230513807,0.0966426144326278,6.47488160440709,11.0691701300313,0.361113900312649,0.176704548580178,19.5638660956919,254.556107578339,1,5.882728704344236
12,2.09496805780448,0.096258603742711,0.422237271072755,88.39,121.168896718802,46.2898436980635,2.26834921038088,88.39,0.417686216989039,3.91481216108337,3.8815030518489,18.0837857633435,5.83191537005261,11.1923518674152,1.85949911487972,24.43063702,11,-5.93800291090434,4.19282890639965,3.48154758637916,17.251358787584,-0.0117000875686904,3.75457580545017,6.60116699146359,14,6.60116699146359,0.222509637903099,12,15,0.769103067327394,32.10768692588,9.22189153390767,2.99896656588618,9.0028675525162,0.141505427209382,0.113903876228776,0,245.630419493637,0.178270102272373,0.0,0.010211096223001,280.567405833333,0.963532441973164,0.170672821616343,6.47488160440709,10.5831114258386,0.355018852162641,0.024012159380746,21.3668325808084,268.531277748253,0,6.7447274948966935
11,2.08521245223812,0.145390832683488,0.135958520656468,97.34,128.921157158449,25.1676972378121,1.54702149620521,97.34,0.154478541941262,3.90619885937806,3.87161244427657,4.29237411166693,5.81092879741412,6.17871750899665,0.800332615472111,19.56969244,12,-2.87734253881981,4.18427839213182,3.35636632026297,11.7411911201724,0.0187824106329185,3.1283259240489,3.67237046097541,11,3.67237046097541,0.0781112142611241,1,10,0.322451379140471,17.6831073410848,8.64405885653348,1.73340206874171,8.24389052513187,0.175696256345397,0.138190745232369,0,159.783284353402,0.281717065648033,0.0,0.0092494173595364,132.203117948718,0.95751183009448,-0.0843516967274767,5.5626480126607,9.12705193502499,0.288211687062684,0.331653932389885,13.5856200853038,141.253223959084,0,5.943095148663527
11,2.08525417543728,0.133763223895318,0.151047927270853,97.34,128.921157158449,26.0510104374739,1.71104761281999,97.34,0.151271089185397,3.90661078942767,3.87205574203491,9.64276044548635,5.81144540858591,6.20128835865412,0.837215633773858,19.56969244,12,-2.87763334426732,4.18439485707832,3.35758667251441,12.6622241205699,0.0168009871723548,3.35691395584222,4.90686711179175,11,4.90686711179175,0.0857255302632834,1,10,0.320566001149159,18.1132370728341,8.755826004992,1.930395837807,8.38934543953023,0.172684718718293,0.138173453306637,0,159.072825536993,0.27921228708115,0.0,0.0108252148596064,153.950619047619,0.967162000817734,-0.169022845277937,5.57568272247537,9.4818139173185,0.285835988873733,0.281196252685442,12.3454296364403,147.631246507928,0,6.036212172654444
