F06[C-C],L1p,F03[C-N],HOMA,H6v,P_VSA_p_2,Eig07_EA,SpMax_B(v),SpDiam_B(v),SpMax_B(p),H6i,SpDiam_B(p),RDF115v,TPSA(NO),RDF060p,MATS1p,SpMax1_Bh(i),VE3sign_RG,Eig07_EA(ed),SM02_AEA(ri),H7v,SpMax1_Bh(e),H7u,F05[C-C],L1u,DP18,DP17,SP18,SP17,TDB05p,P_VSA_LogP_7,RDF125e,SPI,nBM,HATS5u,SpDiam_B(m),VE1_RG,F08[N-N],Mor03p,N-070,Ho_Dt,SpAD_EA(bo),H_G/D,SM2_RG,Mor21u,Mor26u,alvo
25,7.31252837068396,10,0.777438276923076,0.100371940518328,119.433935643089,2.04175179551789,3.96559315824151,5.87591823825168,3.95496578428625,0.696593077904272,5.88740643086387,0.262611783405263,91.92,22.0702502034002,-0.0385384310153089,4.17947390944095,-4.17522430973857,6.06520454741165,6.06520454741165,0.0328660076724958,4.1515181027797,0.139915815933435,26,7.14451063921502,4.66274064050154,5.26156647157604,4.90445820414445,5.4805295873151,2.63611174244035,164.795427952264,0.0,20.1042387751038,25,0.331307542955203,6.5150706690211,2.664094952029,1,-5.13875743205739,1,58.7032263997173,75.1757992486604,1729.5412442665,4.07307584926907,-0.932311732605191,-0.0772446988201717,6.431798275933005
18,18.6612174449171,9,0.7521839904,0.107851910905194,110.910406475419,1.54755973755737,3.90790530332113,5.80003843451148,3.87394118668875,0.671057120493831,5.81360215202647,2.49638729108369,85.31,4.02813649783267,0.0267416993365248,4.18462279930907,-2.74115419292797,3.67563296206769,3.67563296206769,0.0404797458838575,4.13557734323005,0.237653187417651,19,18.5162863797223,10.6045556309853,10.8755048850475,10.7342514147137,10.9774680049463,2.60918779200952,82.3977139761322,2.44483865522779,13.5434532844664,23,0.46182167112507,5.80831267604814,2.05938018526506,2,-2.25009632598517,0,50.7552202683893,62.9977565977894,783.177454060643,3.83423536099915,-0.524414957200575,0.0458716625553263,6.468521082957745
18,18.7414448344759,9,0.7521839904,0.113729952831197,110.910406475419,1.78229778538887,3.90902373291,5.80154557549116,3.87594617072494,0.674238014629608,5.8157631103903,3.04776354353789,85.31,4.02025970796527,0.0336337887759437,4.1846125907593,-2.74268029692436,5.22488835159337,5.22488835159337,0.0407787359887795,4.1356640447088,0.238733230071688,19,18.4827582185188,10.5756802184287,10.8481071925984,10.7352078563132,10.9784014692148,2.697162055865,70.6266119795419,2.37684710526308,15.4363140337262,23,0.458990296594003,5.85067581127078,2.05967527635993,2,-2.74635368678267,0,52.1143053091674,65.0639827617779,780.725367025866,3.80378926147412,-0.519133011724207,-0.0371304001979622,5.388276691992658
18,20.5437499234767,9,0.7521839904,0.120410204370051,110.910406475419,1.54755973755737,3.90799891767132,5.80009732348639,3.87420408920662,0.662008624910751,5.81383171869221,2.61057977698656,85.31,4.03743669080994,0.0222604784196788,4.18495225322104,-2.95585926589957,3.67563296206769,3.67563296206769,0.0485405129441552,4.13596277149691,0.253419025244891,20,21.1351593228299,10.6313707798835,10.9020357542915,10.7640268299443,11.0072585333932,2.50562429699656,117.711019965903,4.13161974551277,13.5434532844664,23,0.449854473729446,5.80830505881915,2.06388608380222,2,-2.31913531512758,0,50.7552202683893,62.9977565977894,912.312004385714,3.94079575330743,-0.745415498601051,0.0449489463833029,5.6439741428068775
18,19.1978828179858,9,0.7521839904,0.101331075250972,110.910406475419,1.54755346745117,3.90737605429951,5.79929033303554,3.87337050789927,0.661822441775028,5.81291036290411,3.48794566217624,85.31,4.05301436860767,0.0266470284477692,4.18454361700854,-2.74127406481273,3.67452144824141,3.67452144824141,0.0458679651156349,4.13542073287751,0.239261414497417,19,18.4292869867181,9.92987583549807,10.2421074065933,10.0449616640063,10.33479108482,2.62443104830679,94.1688159727225,2.73346228208302,11.4604996187546,23,0.461155892421281,8.65317370277753,2.05932456995741,2,-2.33090950714502,0,49.3949269516646,61.1045201979337,783.699364421112,3.85143275036437,-0.593715652371012,0.0208576297686372,6.1249387366083
19,19.6646352389803,9,0.7521839904,0.138321295667378,110.910406475419,1.69651910641302,3.90785843774006,5.79995619025425,3.87370951016758,0.828063464276495,5.81337402654049,3.52656049759849,85.31,4.7733647723058,0.0150029018508288,4.18513320157173,-2.950406947182,4.83133959414419,4.83133959414419,0.0489198733681286,4.13616032971546,0.279161998156336,19,21.7584635904281,11.8697155400072,12.0904496841539,11.9180799360358,12.1168556286449,2.46363864558979,94.1688159727225,4.78206436586519,15.8523538922998,23,0.446322548506298,5.80698964428942,2.06017423306837,2,-2.20451912512258,0,53.3055208685928,66.5486376892098,904.796707090684,3.91068724401697,-0.705356498868411,-0.0442439090851227,5.681936665037238
29,41.4421463014787,12,0.738783943030303,0.46434413537853,132.168784606408,2.35718527862919,3.91377484368388,5.81486937916492,3.88002156786439,1.9588830259971,5.82974957719216,9.62338466451644,97.62,9.86613975404913,-0.0391212572387991,4.19186695281194,-7.65122073383183,7.071334727584,7.071334727584,0.239263668543801,4.14444666507868,0.708920908724766,28,44.7260637401834,19.7661809938392,19.5683718960981,19.7453831363499,19.5323430847301,2.48046248560156,129.482121962493,17.6222228187487,28.557554080187,30,0.27975875618187,5.82279031283169,4.54454873417649,2,-3.54765609050346,0,75.0259573125082,94.6879714225397,1706.97721975039,4.1593710607193,-0.627359521623315,-0.0927602895250647,5.882728704344236
30,40.5850816075545,12,0.740322333939394,0.422237271072755,121.168896718802,2.26834921038088,3.91481216108337,5.81701604853122,3.8815030518489,1.85949911487972,5.83191537005261,9.63645191590146,88.39,11.1923518674152,-0.0117000875686904,4.19282890639965,-5.93800291090434,6.60116699146359,6.60116699146359,0.222509637903099,4.14547681139231,0.769103067327394,27,42.6886575082687,17.6555473913302,17.5733933757308,17.6375575266547,17.5343691010607,2.6033285834492,188.337631945445,20.5768589311839,25.3062871732179,30,0.244041731821029,5.82628890663842,2.84219311443026,2,-3.96608638039742,0,71.149955020574,90.3340250439816,1834.95366074966,4.25508198090865,-1.16493196901696,0.0915364719601788,6.7447274948966935
15,22.3927557189748,11,0.850856193043478,0.135958520656468,128.921157158449,1.54702149620521,3.90619885937806,5.79768497476451,3.87161244427657,0.800332615472111,5.81092879741412,2.58543689283405,97.34,6.17871750899665,0.0187824106329185,4.18427839213182,-2.87734253881981,3.67237046097541,3.67237046097541,0.0781112142611241,4.13471956513554,0.322451379140471,16,23.4645849459802,11.1368923574344,11.3894498543872,11.3002853834317,11.5360960393216,2.4126478430733,105.939917969313,5.66990009497546,9.17034484778235,23,0.455287336488283,5.80241935460946,2.06079530183307,3,-1.90135904460013,0,49.3853793064776,60.3119714003463,857.514082325989,3.9431374164144,-0.710783592101768,0.0085344452116669,5.943095148663527
15,22.3050342332064,11,0.850856193043478,0.151047927270853,128.921157158449,1.71104761281999,3.90661078942767,5.79819064465882,3.87205574203491,0.837215633773858,5.81144540858591,3.00930550608103,97.34,6.20128835865412,0.0168009871723548,4.18439485707832,-2.87763334426732,4.90686711179175,4.90686711179175,0.0857255302632834,4.13491354437138,0.320566001149159,16,23.53971743604,12.2831501067824,12.4591119231368,12.3381851854295,12.4889371145911,2.40644738706352,82.3977139761322,3.71041771812785,13.928452735631,23,0.453059307353537,5.80303567798112,2.06011401510742,3,-2.0140751171618,0,52.1043461928828,64.3582246839663,855.337238951987,3.90751485145398,-0.387810994700617,0.128126365209386,6.036212172654444
