F06[C-C],F03[C-N],L1p,P_VSA_p_2,HOMA,L1v,SpMin1_Bh(p),RNCG,H6p,SpMax_B(v),SpDiam_B(v),Eig07_EA,H6i,RDF115v,RDF060p,MATS1p,Eig07_AEA(ri),SpMax1_Bh(i),F07[C-N],H7v,SpMax5_Bh(i),VE3sign_RG,SM02_AEA(ri),SP17,Eig07_EA(ed),DP16,DP20,Mor24m,Wi_Dz(m),Cl-089,SpPosLog_B(s),SpMaxA_Dz(p),B03[Cl-Cl],Mor03s,Eig13_AEA(bo),Mor32u,SpAbs_Dz(v),Mor30v,H%,SM09_EA(bo),alvo
25,10,7.31252837068396,119.433935643089,0.777438276923076,7.31397812032684,2.06619545627947,0.150586894151745,0.0963908390735381,3.96559315824151,5.87591823825168,2.04175179551789,0.696593077904272,0.262611783405263,22.0702502034002,-0.0385384310153089,2.97861760223671,4.17947390944095,7,0.0328660076724958,3.46639436599873,-4.17522430973857,6.06520454741165,5.4805295873151,6.06520454741165,5.81695758452435,3.3528975433896,0.520450962181366,2333.3215572,1,6.52477542738689,5.49246997067018,0,-41.4511174225106,2.1822693342099,-0.427874545859896,348.194538483192,0.331538077130199,35.2941176470588,14.5844422215401,6.431798275933005
18,9,18.6612174449171,110.910406475419,0.7521839904,18.9492209314067,2.0860263639504,0.153070870033617,0.131162838760754,3.90790530332113,5.80003843451148,1.54755973755737,0.671057120493831,2.49638729108369,4.02813649783267,0.0267416993365248,2.48375978133153,4.18462279930907,8,0.0404797458838575,3.314174691162,-2.74115419292797,3.67563296206769,10.9774680049463,3.67563296206769,11.0977993790067,9.92573017139542,0.156743670401067,1447.88436666667,1,5.00195710890159,5.63195437639411,0,-19.2199262600115,1.36593037888229,-0.431395235135568,272.076205037898,0.230284690167722,32.5,14.0754326751478,6.468521082957745
18,9,18.7414448344759,110.910406475419,0.7521839904,19.0328634219781,2.08573258080707,0.150630953418243,0.139840402456291,3.90902373291,5.80154557549116,1.78229778538887,0.674238014629608,3.04776354353789,4.02025970796527,0.0336337887759437,2.70683956370264,4.1846125907593,8,0.0407787359887795,3.31379490517628,-2.74268029692436,5.22488835159337,10.9784014692148,5.22488835159337,11.0722084530482,9.89465536984442,-0.0746496219820789,1582.42283333333,2,5.2513855425299,5.70460061948835,0,-23.6851906737744,1.55121406163271,-0.415715567801959,287.066461162008,0.236074101032645,30.0,14.1553614860657,5.388276691992658
18,9,20.5437499234767,110.910406475419,0.7521839904,20.1442680959814,2.0863418790973,0.159800840019806,0.145548899779305,3.90799891767132,5.80009732348639,1.54755973755737,0.662008624910751,2.61057977698656,4.03743669080994,0.0222604784196788,2.48383255587962,4.18495225322104,8,0.0485405129441552,3.35359310978206,-2.95585926589957,3.67563296206769,11.0072585333932,3.67563296206769,11.1238854080973,9.95268370739051,0.2076789913614,1457.08186666667,1,4.90089828321064,5.42439432647349,0,-13.9243770748193,1.36593037888229,-0.48030155508315,268.793311290001,0.261314790519419,37.2093023255814,14.0754326751479,5.6439741428068775
18,9,19.1978828179858,110.910406475419,0.7521839904,18.5234552832771,2.08594024176855,0.163573424861437,0.124495187771319,3.90737605429951,5.79929033303554,1.54755346745117,0.661822441775028,3.48794566217624,4.05301436860767,0.0266470284477692,2.48362658442028,4.18454361700854,8,0.0458679651156349,3.305992187273,-2.74127406481273,3.67452144824141,10.33479108482,3.67452144824141,10.5051039480256,9.16697303247559,0.517040946919614,1303.79363333333,0,4.66264391119117,5.2814330196776,0,-11.0521140383127,1.1887606762862,-0.443172870693821,251.731378616334,0.24544291989132,35.0,14.0006688134329,6.1249387366083
19,9,19.6646352389803,110.910406475419,0.7521839904,21.1613743533249,2.0870028368817,0.134243550335054,0.132123587278673,3.90785843774006,5.79995619025425,1.69651910641302,0.828063464276495,3.52656049759849,4.7733647723058,0.0150029018508288,2.65271307273733,4.18513320157173,8,0.0489198733681286,3.36976264907078,-2.950406947182,4.83133959414419,12.1168556286449,4.83133959414419,12.2604228292774,11.285576218975,0.060840991996349,1805.99616666666,0,5.59194918771271,6.30707364799409,0,-65.7769002305048,2.17673023819993,-0.518262271437013,317.498150846539,0.28203504649068,32.5581395348837,14.0845589930028,5.681936665037238
29,12,41.4421463014787,132.168784606408,0.738783943030303,45.5405471390169,2.09330762417941,0.110475722938088,0.415895156765159,3.91377484368388,5.81486937916492,2.35718527862919,1.9588830259971,9.62338466451644,9.86613975404913,-0.0391212572387991,3.29346031182826,4.19186695281194,14,0.239263668543801,3.49802046559818,-7.65122073383183,7.071334727584,19.5323430847301,7.071334727584,19.3185533095114,20.0156906744951,0.282998613574363,5773.6888,1,9.18395320045447,9.99520935093512,0,-120.179680543399,2.7632224247183,-0.972649766796068,720.573509232468,0.476006612348497,27.1186440677966,14.2951033011653,5.882728704344236
30,12,40.5850816075545,121.168896718802,0.740322333939394,41.4681164417656,2.09496805780448,0.096258603742711,0.417686216989039,3.91481216108337,5.81701604853122,2.26834921038088,1.85949911487972,9.63645191590146,11.1923518674152,-0.0117000875686904,3.22120021489705,4.19282890639965,15,0.222509637903099,3.48154758637916,-5.93800291090434,6.60116699146359,17.5343691010607,6.60116699146359,17.4396155870964,17.6750657633503,0.429635771054669,4575.10106666667,1,8.19319315021142,8.29035780671332,0,-79.0354408288627,2.68563787481628,-0.830367490468471,586.019202773725,0.378626138793866,34.4262295081967,14.3120031251329,6.7447274948966935
15,11,22.3927557189748,128.921157158449,0.850856193043478,22.0362947838956,2.08521245223812,0.145390832683488,0.154478541941262,3.90619885937806,5.79768497476451,1.54702149620521,0.800332615472111,2.58543689283405,6.17871750899665,0.0187824106329185,2.48281447872464,4.18427839213182,8,0.0781112142611241,3.35636632026297,-2.87734253881981,3.67237046097541,11.5360960393216,3.67237046097541,11.5917955393326,10.4906782022969,0.236974953466885,1345.20083333333,0,4.66156768015073,5.97643894626973,0,-14.7310299973215,1.21832375353449,-0.283574127056616,275.823198541243,0.168638189727098,38.0952380952381,13.9271893373053,5.943095148663527
15,11,22.3050342332064,128.921157158449,0.850856193043478,22.8631813169876,2.08525417543728,0.133763223895318,0.151271089185397,3.90661078942767,5.79819064465882,1.71104761281999,0.837215633773858,3.00930550608103,6.20128835865412,0.0168009871723548,2.66552241356662,4.18439485707832,8,0.0857255302632834,3.35758667251441,-2.87763334426732,4.90686711179175,12.4889371145911,4.90686711179175,12.5863375531251,11.7940769881592,0.248591235223663,1656.44916666667,0,5.29087697115112,6.69946629529036,0,-20.8183983667319,1.58303117711141,-0.464956771222459,321.485778595522,0.183058396502504,33.3333333333333,14.0447933411952,6.036212172654444
